,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms
56,Multi Family,1956,Gas,Central,4 spaces,,,No Data,"$525,000","5032 Crain St, Skokie, IL 60077",, No, 8,,,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 78.2% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5032-Crain-St-Skokie-IL-60077/2078402056_zpid/,
57,Multiple Occupancy,1928,"Radiant, Gas",No Data,3 spaces,,,$146,"$399,000","4826 Wright Ter, Skokie, IL 60077","2,740", No, 6, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 35.4% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4826-Wright-Ter-Skokie-IL-60077/2112799383_zpid/,
58,Single Family,1969,Gas,Central,2 spaces,,"3,123 sqft",$137,"$309,800","7704 Laramie Ave, Skokie, IL 60077","2,268", No, 3, 2, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Fairview will decrease 2.1% (↓) in the next year.This home is valued 5.1% higher (↑) than the median home in Fairview.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/7704-Laramie-Ave-Skokie-IL-60077/3548708_zpid/, 1
59,Condo,1976,Forced air,Central,2 spaces,$312/month,,$172,"$214,900","5005 Enfield Ave APT 301, Skokie, IL 60077","1,250", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 27.1% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5005-Enfield-Ave-APT-301-Skokie-IL-60077/3526705_zpid/,
60,Condo,2006,Forced air,Central,2 spaces,$626/mo,,$225,"$314,500","9655 Woods Dr UNIT 1210, Skokie, IL 60077","1,400", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 6.7% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9655-Woods-Dr-UNIT-1210-Skokie-IL-60077/89887941_zpid/,
61,Condo,1981,"Forced air, Electric",Central,1 space,$340/mo,,$138,"$165,000","7601 Lincoln Ave APT 610, Skokie, IL 60077","1,200", No, 1, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 44% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/7601-Lincoln-Ave-APT-610-Skokie-IL-60077/3549170_zpid/,
62,Single Family,1941,Gas,Central,2 spaces,,"7,448 sqft",$207,"$389,000","4903 Fargo Ave, Skokie, IL 60077","1,875", No, 4, 3, 3,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Fairview will fall 2.1% (↓) in the next year.This home is valued 32% higher (↑) than the median home in Fairview.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4903-Fargo-Ave-Skokie-IL-60077/3549918_zpid/,
63,Single Family,1952,No Data,Central,1 space,,"3,920 sqft",,"$298,137","5301 Crain St, Skokie, IL 60077","2,458", No, 3, 4,,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 1.2% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5301-Crain-St-Skokie-IL-60077/3533319_zpid/,
64,Single Family,1961,Gas,Central,2 spaces,,"5,532 sqft",$241,"$479,000","8440 Le Claire Ave, Skokie, IL 60077","1,984", No, 4, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 62.5% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8440-Le-Claire-Ave-Skokie-IL-60077/3534589_zpid/,
65,Single Family,1955,Gas,Central,1 space,,"6,098 sqft",,"$305,535","8122 Kenton Ave, Skokie, IL 60076","1,151", No, 3, 1,,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 2.2% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8122-Kenton-Ave-Skokie-IL-60076/3536940_zpid/,
66,Single Family,1953,Forced air,Central,2 spaces,None,"3,898 sqft",$208,"$499,500","5400 Main St, Skokie, IL 60077","2,400", No, 5, 4, 4,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 69.5% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5400-Main-St-Skokie-IL-60077/3534102_zpid/,
67,Single Family,1953,Forced air,Central,1 space,,"4,961 sqft",$148,"$385,000","5039 Chase Ave, Skokie, IL 60077","2,605", No, 5, 3, 3,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Fairview will fall 2.1% (↓) in the next year.This home is valued 30.6% higher (↑) than the median home in Fairview.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5039-Chase-Ave-Skokie-IL-60077/3550142_zpid/,
68,Single Family,1963,"Forced air, Gas",Central,3 spaces,,"6,011 sqft",$281,"$379,000","8800 Lowell Ter, Skokie, IL 60076","1,349", No, 3, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will decrease 2.1% (↓) in the next year.This home is valued 21.4% higher (↑) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8800-Lowell-Ter-Skokie-IL-60076/3523640_zpid/,
69,Single Family,1892,"Forced air, Gas",Central,2 spaces,,"7,379 sqft",$222,"$579,000","9617 Kenneth Ave, Skokie, IL 60076","2,604", No, 5, 4, 4,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will fall 2.1% (↓) in the next year.This home is valued 85.4% higher (↑) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9617-Kenneth-Ave-Skokie-IL-60076/3514541_zpid/,
70,Condo,1978,"Forced air, Gas",Central,1 space,$518/mo,,$165,"$210,000","4901 Golf Rd APT 410, Skokie, IL 60077","1,273", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 28.7% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4901-Golf-Rd-APT-410-Skokie-IL-60077/3525301_zpid/,
71,Single Family,1960,"Forced air, Gas",Central,1 space,,"7,801 sqft",$243,"$416,900","9053 Tamaroa Ter, Skokie, IL 60076","1,717", No, 4, 4, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60076 will fall 2.1% (↓) in the next year.This home is valued 33.5% higher (↑) than the median home in 60076.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9053-Tamaroa-Ter-Skokie-IL-60076/3521092_zpid/, 2
72,Single Family,1954,"Forced air, Gas",Central,2 spaces,,"3,913 sqft",$212,"$434,900","4201 Keeney St, Skokie, IL 60076","2,052", No, 4, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 39.3% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4201-Keeney-St-Skokie-IL-60076/3537851_zpid/, 1
73,Condo,1964,Other,Wall,1 space,$326/month,,$114,"$199,500","10015 Beverly Dr APT 206, Skokie, IL 60076","1,750", No, 3, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 36.1% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/10015-Beverly-Dr-APT-206-Skokie-IL-60076/3514354_zpid/,
74,Condo,1963,Gas,No Data,1 space,$271/mo,,$139,"$202,000","10015 Beverly Dr APT 305, Skokie, IL 60076","1,450", No, 2, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 35.3% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/10015-Beverly-Dr-APT-305-Skokie-IL-60076/3514364_zpid/,
75,Single Family,1955,Forced air,Central,2 spaces,,"4,961 sqft",$295,"$374,000","5136 Grove St, Skokie, IL 60077","1,269", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 26.9% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5136-Grove-St-Skokie-IL-60077/3526435_zpid/,
76,Condo,2006,Electric,Central,1 space,$602/mo,,$275,"$350,000","9655 Woods Dr UNIT 512, Skokie, IL 60077","1,273", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 18.8% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9655-Woods-Dr-UNIT-512-Skokie-IL-60077/89954488_zpid/,
77,Condo,2006,Forced air,Central,2 spaces,$846/month,,$468,"$795,000","9655 Woods Dr UNIT 1810, Skokie, IL 60077","1,700", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 169.8% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9655-Woods-Dr-UNIT-1810-Skokie-IL-60077/89945217_zpid/,
78,Condo,1966,Electric,Central,1 space,$405/mo,,$114,"$199,999","4840 Foster St APT 113, Skokie, IL 60077","1,749", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 32.1% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4840-Foster-St-APT-113-Skokie-IL-60077/3525405_zpid/,
79,Single Family,1932,No Data,No Data,1 space,,"4,059 sqft",$226,"$294,900","8044 Tripp Ave, Skokie, IL 60076","1,303", No, 3, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 5.6% lower (↓) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8044-Tripp-Ave-Skokie-IL-60076/3537834_zpid/, 1
80,Condo,1977,Gas,Central,2 spaces,$517/month,,$128,"$249,900","7601 Lincoln Ave APT 604, Skokie, IL 60077","1,950", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.1% (↓) in the next year.This home is valued 15.2% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/7601-Lincoln-Ave-APT-604-Skokie-IL-60077/3549164_zpid/,
81,Condo,1964,Baseboard,No Data,2 spaces,$326/mo,,$114,"$199,400","10015 Beverly Dr APT 306, Skokie, IL 60076","1,750", No, 3, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 36.2% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/10015-Beverly-Dr-APT-306-Skokie-IL-60076/3514365_zpid/,
82,Single Family,1966,Gas,Central,2 spaces,,"7,788 sqft",$232,"$695,000","4630 Elm Ter, Skokie, IL 60076","3,000", No, 3, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 122.5% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4630-Elm-Ter-Skokie-IL-60076/3536030_zpid/, 1
83,Condo,2006,Forced air,Central,1 space,$495/month,,$195,"$350,000","9360 Skokie Blvd UNIT 221, Skokie, IL 60077","1,792", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 18.8% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9360-Skokie-Blvd-UNIT-221-Skokie-IL-60077/89922344_zpid/,
84,Single Family,1956,"Forced air, Gas",Central,2 spaces,,"4,965 sqft",$337,"$345,000","4612 Birchwood Ave, Skokie, IL 60076","1,025", No, 4, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 10.5% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4612-Birchwood-Ave-Skokie-IL-60076/3546742_zpid/,
85,Townhouse,2001,"Forced air, Gas",Central,2 spaces,,"2,041 sqft",$157,"$414,900","8213 Lincoln Ave, Skokie, IL 60077","2,639", No, 3, 4, 3,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 40.8% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8213-Lincoln-Ave-Skokie-IL-60077/63691242_zpid/, 1
86,Condo,1977,Forced air,Central,2 spaces,$325/month,,$133,"$194,500","9801 Gross Point Rd APT 310, Skokie, IL 60076","1,465", No, 2, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will fall 2.1% (↓) in the next year.This home is valued 37.7% lower (↓) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9801-Gross-Point-Rd-APT-310-Skokie-IL-60076/3514649_zpid/,
87,Single Family,1955,Forced air,Central,3 spaces,None,"8,733 sqft",$124,"$439,000","3729 Roth Ter, Skokie, IL 60076","3,537", No, 6, 5, 4,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 40.6% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/3729-Roth-Ter-Skokie-IL-60076/3538497_zpid/, 1
88,Single Family,1959,Gas,Central,2 spaces,,"4,791 sqft",,"$319,547","7849 Kostner Ave, Skokie, IL 60076","1,350", No, 3, 2,,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 2.3% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7849-Kostner-Ave-Skokie-IL-60076/3546034_zpid/,
89,Single Family,1955,No Data,Central,2 spaces,,"3,621 sqft",,"$303,428","7555 Keeler Ave, Skokie, IL 60076","2,170", No, 4, 4,,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 2.8% lower (↓) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7555-Keeler-Ave-Skokie-IL-60076/3547280_zpid/,
90,Single Family,1958,Forced air,Central,None,,"3,720 sqft",$297,"$279,900","8637 Monticello Ave, Skokie, IL 60076",943, No, 2, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60076 will fall 2.1% (↓) in the next year.This home is valued 10.4% lower (↓) than the median home in 60076.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8637-Monticello-Ave-Skokie-IL-60076/3538321_zpid/,
91,Single Family,1976,Forced air,Central,2 spaces,None,"5,880 sqft",$188,"$490,000","10019 La Crosse Ave, Skokie, IL 60077","2,612", No, 3, 3, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 66.3% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/10019-La-Crosse-Ave-Skokie-IL-60077/3514061_zpid/, 1
92,Condo,1960,Forced air,Central,1 space,$217/month,,$178,"$119,900","10117 Old Orchard Ct UNIT 202, Skokie, IL 60076",675, No, 1, 1, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 61.6% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/10117-Old-Orchard-Ct-UNIT-202-Skokie-IL-60076/89933654_zpid/,
93,Multiple Occupancy,1965,"Forced air, Gas",Other,2 spaces,,,$386,"$540,000","8420 Mccormick Blvd, Skokie, IL 60076","1,400", No, 7, 5, 5,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 72.9% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8420-Mccormick-Blvd-Skokie-IL-60076/2079156333_zpid/,
94,Single Family,2019,"Forced air, Gas",Central,2 spaces,,"4,369 sqft",$267,"$1,399,999","4900 Morse Ave, Skokie, IL 60077","5,248", Yes, 5, 5, 4,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Fairview will fall 2.1% (↓) in the next year.This home is valued 375.1% higher (↑) than the median home in Fairview.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4900-Morse-Ave-Skokie-IL-60077/3554926_zpid/, 1
95,Single Family,1954,Gas,Central,2 spaces,None,"7,971 sqft",$213,"$240,000","4416 Main St, Skokie, IL 60076","1,126", No, 2, 1, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 23.2% lower (↓) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4416-Main-St-Skokie-IL-60076/3536016_zpid/,
96,Condo,1966,Forced air,Other,1 space,$302/month,,$125,"$149,900","8203 Niles Center Rd APT 3C, Skokie, IL 60077","1,200", No, 2, 2, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 49.1% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8203-Niles-Center-Rd-APT-3C-Skokie-IL-60077/3535813_zpid/, 1
97,Single Family,1994,"Forced air, Gas",Central,3 spaces,,"7,518 sqft",$123,"$959,000","4033 Greenleaf St, Skokie, IL 60076","7,797", No, 8, 6, 4,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 207.1% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4033-Greenleaf-St-Skokie-IL-60076/101294281_zpid/, 2
98,Single Family,1958,"Forced air, Gas",Central,1 space,,"7,326 sqft",$154,"$770,000","9046 Pottawattami Dr, Skokie, IL 60076","4,993", No, 5, 6, 4,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60076 will decrease 2.1% (↓) in the next year.This home is valued 146.6% higher (↑) than the median home in 60076.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9046-Pottawattami-Dr-Skokie-IL-60076/3520650_zpid/, 2
99,Single Family,1955,Forced air,Central,2 spaces,,"6,098 sqft",,"$687,430","4212 Howard St, Skokie, IL 60076","2,952", No, 5, 3,,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 120.1% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4212-Howard-St-Skokie-IL-60076/3546529_zpid/,
100,Single Family,1949,No Data,No Data,1 space,,"5,662 sqft",,"$299,610","5328 Davis St, Skokie, IL 60077","1,196", No, 3, 2,,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 1.7% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5328-Davis-St-Skokie-IL-60077/3525791_zpid/,
101,Single Family,1958,No Data,Central,No Data,,829 sqft,,"$204,955","9024 Skokie Blvd #C, Skokie, IL 60077","1,053", No, 3, 2,,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 30.5% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9024-Skokie-Blvd-C-Skokie-IL-60077/3526497_zpid/,
102,Single Family,2004,"Forced air, Gas",Central,2 spaces,,"6,690 sqft",$147,"$985,000","8301 Lockwood Ave, Skokie, IL 60077","6,692", No, 4, 4, 4,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.1% (↓) in the next year.This home is valued 234.3% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8301-Lockwood-Ave-Skokie-IL-60077/3534976_zpid/,
103,Single Family,1957,Forced air,Central,2 spaces,None,"7,222 sqft",$240,"$372,299","9246 Kildare Ave, Skokie, IL 60076","1,550", No, 3, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will fall 2.1% (↓) in the next year.This home is valued 19.2% higher (↑) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9246-Kildare-Ave-Skokie-IL-60076/3522792_zpid/,
104,Single Family,1964,Forced air,Central,1 space,,"3,929 sqft",$303,"$455,000","9751 Keystone Ave, Skokie, IL 60076","1,500", No, 3, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will fall 2.1% (↓) in the next year.This home is valued 45.7% higher (↑) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9751-Keystone-Ave-Skokie-IL-60076/3514894_zpid/,
105,Multi Family,1950,Forced air,Central,4 spaces,,,No Data,"$625,000","8135 Knox Ave, Skokie, IL 60076",, No, 8, 4, 4,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 100.1% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8135-Knox-Ave-Skokie-IL-60076/2079552333_zpid/,
106,Townhouse,1958,Gas,Central,1 space,,"2,086 sqft",$226,"$249,000","9509 Gross Point Rd, Skokie, IL 60076","1,100", No, 3, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Devonshire Highlands will decrease 2.1% (↓) in the next year.This home is valued 20.3% lower (↓) than the median home in Devonshire Highlands.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9509-Gross-Point-Rd-Skokie-IL-60076/3521831_zpid/, 1
107,Single Family,2004,"Forced air, Gas",Central,4 spaces,,"5,963 sqft",$161,"$629,000","9121 Linder Ave, Skokie, IL 60077","3,916", No, 5, 4, 3,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 113.4% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9121-Linder-Ave-Skokie-IL-60077/65555869_zpid/, 1
108,Condo,2007,"Forced air, Gas",Central,1 space,$420/mo,,$308,"$339,000","9655 Woods Dr UNIT 1405, Skokie, IL 60077","1,100", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 15% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9655-Woods-Dr-UNIT-1405-Skokie-IL-60077/89905156_zpid/,
109,Condo,1968,Electric,Central,1 space,$372/mo,,$98,"$178,000","10125 Cherry Pkwy APT N204, Skokie, IL 60076","1,825", No, 3, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 43% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/10125-Cherry-Pkwy-APT-N204-Skokie-IL-60076/3514244_zpid/,
110,Single Family,2010,"Forced air, Gas",Central,2 spaces,,"4,996 sqft",$149,"$582,500","5336 Greenleaf St, Skokie, IL 60077","3,900", No, 5, 5, 4,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 97.7% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5336-Greenleaf-St-Skokie-IL-60077/89971740_zpid/, 1
111,Condo,2008,Gas,Central,1 space,$559/mo,,$267,"$389,000","9725 Woods Dr UNIT 1717, Skokie, IL 60077","1,458", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 32% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9725-Woods-Dr-UNIT-1717-Skokie-IL-60077/2080008411_zpid/,
