,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL
56,Single Family,1958,"Forced air, Gas",Central,1 space,,"9,801 sqft",$39,"$379,000","220 Fernwood Ln, Glenview, IL 60025","9,801", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 18% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/220-Fernwood-Ln-Glenview-IL-60025/113957650_zpid/
57,Condo,1977,Electric,Central,1 space,$471/mo,,$144,"$229,900","4100 Triumvera Dr #B405, Glenview, IL 60025","1,600", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 50.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4100-Triumvera-Dr-B405-Glenview-IL-60025/3351217_zpid/
58,Single Family,1985,Forced air,Central,2 spaces,$43/month,0.31 acres,$270,"$750,000","2343 Iroquois Dr, Glenview, IL 60026","2,776", No, 4, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 26.7% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2343-Iroquois-Dr-Glenview-IL-60026/3342779_zpid/
59,Single Family,1989,Gas,Central,3 spaces,None,0.53 acres,$207,"$875,000","4318 Hammersmith Ln, Glenview, IL 60026","4,224", No, 4, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 47.9% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/4318-Hammersmith-Ln-Glenview-IL-60026/3349460_zpid/
60,Single Family,2006,Forced air,Central,3 spaces,,0.27 acres,$298,"$1,995,000","1525 Kaywood Ln, Glenview, IL 60025","6,689", No, 7, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 331.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1525-Kaywood-Ln-Glenview-IL-60025/3347074_zpid/
61,Single Family,1960,Gas,Central,2 spaces,,"7,801 sqft",$304,"$369,900","2604 William Ave, Glenview, IL 60025","1,215", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 20% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2604-William-Ave-Glenview-IL-60025/3471656_zpid/
62,Single Family,1990,"Forced air, Gas",Central,3 spaces,,0.50 Acres,$235,"$990,000","2140 Sunset Ridge Rd, Glenview, IL 60025","4,208", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 114.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2140-Sunset-Ridge-Rd-Glenview-IL-60025/3347832_zpid/
63,Single Family,1961,"Forced air, Gas",Central,2 spaces,,"10,005 sqft",$213,"$425,000","3705 Lindenwood Ln, Glenview, IL 60025","2,000", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 8% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3705-Lindenwood-Ln-Glenview-IL-60025/3352328_zpid/
64,Single Family,1942,Forced air,Central,2 spaces,,"10,667 sqft",$236,"$379,000","701 Glendale Rd, Glenview, IL 60025","1,604", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 18% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/701-Glendale-Rd-Glenview-IL-60025/3353380_zpid/
65,Single Family,2012,Forced air,Central,2 spaces,$360/month,0.3 acres,$316,"$799,000","3058 Valcour Dr, Glenview, IL 60026","2,525", No, 4, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 35% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/3058-Valcour-Dr-Glenview-IL-60026/123562123_zpid/
66,Condo,1985,Electric,Central,1 space,$339/month,,$150,"$194,900","1026 Castilian Ct APT 301, Glenview, IL 60025","1,300", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 57.8% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1026-Castilian-Ct-APT-301-Glenview-IL-60025/2078152223_zpid/
67,Single Family,2017,Forced air,Central,3 spaces,None,0.34 acres,$496,"$2,290,000","1810 Balmoral Ave, Glenview, IL 60025","4,613", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 395.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1810-Balmoral-Ave-Glenview-IL-60025/3346624_zpid/
68,Townhouse,1965,Electric,No Data,2 spaces,$142/month,"1,608 sqft",$181,"$209,900","1652 Greenwood Rd, Glenview, IL 60026","1,158", No, 3, 2, 1, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 64.5% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1652-Greenwood-Rd-Glenview-IL-60026/3348989_zpid/
69,Single Family,2004,"Forced air, Gas",Central,3 spaces,,"10,572 sqft",$321,"$1,499,000","1334 Pinehurst Dr, Glenview, IL 60025","4,675", No, 5, 5, 5,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 224.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1334-Pinehurst-Dr-Glenview-IL-60025/3353746_zpid/
70,Townhouse,1970,Forced air,Central,2 spaces,$300/month,No Data,No Data,"$269,000","1825 Tanglewood Dr UNIT A, Glenview, IL 60025",, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 41.8% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1825-Tanglewood-Dr-UNIT-A-Glenview-IL-60025/2078162153_zpid/
71,Single Family,1959,"Forced air, Gas",Central,2 spaces,,0.47 Acres,$247,"$519,000","3180 Myrtle Pkwy, Northbrook, IL 60062","2,102", No, 4, 3, 3,,"Home values in 60062 have fallen 1.7 % (↓) over the past 12 months.Zillow predicts the home values in 60062 will decrease 1.7% (↓) in the next year.This home is valued 1.3% lower (↓) than the median home in 60062.The median Zestimate® for this neighborhood is $525,989.",https://www.zillow.com/homedetails/3180-Myrtle-Pkwy-Northbrook-IL-60062/3342442_zpid/
72,Single Family,2020,"Forced air, Gas",Central,2 spaces,,"5,440 sqft",$369,"$995,000","321 Neva Ave, Glenview, IL 60025","2,700", Yes, 4, 5, 5,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 115.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/321-Neva-Ave-Glenview-IL-60025/3513360_zpid/
73,Single Family,2020,Forced air,Central,2 spaces,,"8,751 sqft",$394,"$1,299,000","1952 Linneman St, Glenview, IL 60025","3,300", Yes, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 181% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1952-Linneman-St-Glenview-IL-60025/3355569_zpid/
74,Condo,1999,Forced air,Central,1 space,$436/month,,No Data,"$340,000","2640 Summit Dr UNIT 106, Glenview, IL 60025",, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 26.4% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2640-Summit-Dr-UNIT-106-Glenview-IL-60025/60259711_zpid/
75,Single Family,1958,Forced air,Central,1 space,,"8,929 sqft",$297,"$525,000","1348 Pinehurst Dr, Glenview, IL 60025","1,766", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 13.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1348-Pinehurst-Dr-Glenview-IL-60025/3353744_zpid/
76,Single Family,2001,"Electric, Gas",Central,3 spaces,,0.87 Acres,$291,"$1,800,000","1225 Harms Rd, Glenview, IL 60025","6,176", No, 7, 10, 8, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 289.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1225-Harms-Rd-Glenview-IL-60025/3368675_zpid/
77,Single Family,1958,Forced air,Central,2 spaces,None,0.25 acres,$392,"$469,900","245 Greenfield Dr, Glenview, IL 60025","1,200", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 1.7% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/245-Greenfield-Dr-Glenview-IL-60025/3471819_zpid/
78,Single Family,1937,Gas,Central,1 space,,0.27 Acres,$265,"$665,000","1223 Glenview Rd, Glenview, IL 60025","2,506", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 43.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1223-Glenview-Rd-Glenview-IL-60025/3356685_zpid/
79,Condo,1975,Electric,No Data,1 space,$547/mo,,,"$226,000","3925 Triumvera Dr #7E, Glenview, IL 60025",, No, 3, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 51.1% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3925-Triumvera-Dr-7E-Glenview-IL-60025/2078233270_zpid/
80,Townhouse,2006,Forced air,Central,2 spaces,$245/month,No Data,$222,"$445,000","1771 Dewes St APT E, Glenview, IL 60025","2,000", No, 3, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 3.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1771-Dewes-St-APT-E-Glenview-IL-60025/2085024877_zpid/
81,Single Family,1973,No Data,Central,2 spaces,,"10,702 sqft",$293,"$567,500","4039 Chester Dr, Glenview, IL 60026","1,938", No, 5, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 4.1% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/4039-Chester-Dr-Glenview-IL-60026/3342583_zpid/
82,Single Family,1951,"Forced air, Gas",Central,3 spaces,,"9,234 sqft",$394,"$1,499,000","1119 Raleigh Rd, Glenview, IL 60025","3,800", Yes, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 224.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1119-Raleigh-Rd-Glenview-IL-60025/3355267_zpid/
83,Single Family,2008,"Forced air, Gas",Central,4 spaces,,0.80 Acres,$390,"$2,250,000","1216 Oakwood Ln, Glenview, IL 60025","5,770", No, 6, 8, 7, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 386.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1216-Oakwood-Ln-Glenview-IL-60025/3346413_zpid/
84,Single Family,2020,Gas,Central,2 spaces,,"7,074 sqft",$266,"$1,199,000","220 Elm St, Glenview, IL 60025","4,500", Yes, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 159.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/220-Elm-St-Glenview-IL-60025/3472420_zpid/
85,Single Family,1995,"Forced air, Gas",Central,3 spaces,,0.99 Acres,$431,"$2,675,000","1430 Pleasant Ln, Glenview, IL 60025","6,200", No, 6, 8, 6, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 478.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1430-Pleasant-Ln-Glenview-IL-60025/3347873_zpid/
86,Single Family,1953,"Forced air, Gas",Central,3 spaces,,0.71 Acres,$286,"$699,000","3406 Henley St, Glenview, IL 60025","2,445", No, 4, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 51.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3406-Henley-St-Glenview-IL-60025/3352884_zpid/
87,Single Family,2018,Forced air,Central,3 spaces,,0.79 acres,$309,"$2,685,000","1805 Ridgewood Ln W, Glenview, IL 60025","8,700", No, 7, 8, 7, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 480.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1805-Ridgewood-Ln-W-Glenview-IL-60025/3346601_zpid/
88,Single Family,1957,"Forced air, Gas",Central,2 spaces,,"10,125 sqft",$110,"$385,000","510 Warren Rd, Glenview, IL 60025","3,500", No, 4, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 16.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/510-Warren-Rd-Glenview-IL-60025/3470243_zpid/
89,Condo,1981,Forced air,Central,1 space,$389/month,,No Data,"$269,000","706 Waukegan Rd #308, Glenview, IL 60025",, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 41.8% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/706-Waukegan-Rd-308-Glenview-IL-60025/2078261963_zpid/
90,Single Family,2007,"Forced air, Gas",Central,2 spaces,,"9,300 sqft",$308,"$1,059,000","1619 Sunset Ridge Rd, Glenview, IL 60025","3,440", No, 6, 5, 5,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 129.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1619-Sunset-Ridge-Rd-Glenview-IL-60025/3346788_zpid/
91,Single Family,1955,Gas,Central,2 spaces,,0.32 acres,$332,"$1,295,000","1216 Spruce Dr, Glenview, IL 60025","3,896", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 180.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1216-Spruce-Dr-Glenview-IL-60025/3353922_zpid/
92,Single Family,1920,"Forced air, Gas",Central,2 spaces,,"8,850 sqft",$243,"$589,900","1756 Henley St, Glenview, IL 60025","2,425", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 27.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1756-Henley-St-Glenview-IL-60025/3355512_zpid/
93,Single Family,2020,Gas,Central,2 spaces,,"8,712 sqft",$203,"$1,175,000","300 Harlem Ave, Glenview, IL 60025","5,800", Yes, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 154.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/300-Harlem-Ave-Glenview-IL-60025/3472716_zpid/
94,Single Family,1915,"Forced air, Gas",Central,3 spaces,,0.32 Acres,$359,"$969,900","1937 Henley St, Glenview, IL 60025","2,702", No, 5, 4, 4,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 109.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1937-Henley-St-Glenview-IL-60025/3355574_zpid/
95,Single Family,1952,Forced air,Central,2 spaces,None,0.42 acres,$346,"$699,000","3800 Countryside Ln, Glenview, IL 60025","2,020", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 51.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3800-Countryside-Ln-Glenview-IL-60025/3351038_zpid/
96,Single Family,2008,Forced air,Central,3 spaces,,0.28 acres,$278,"$1,249,000","608 Revere Rd, Glenview, IL 60025","4,500", No, 5, 5, 5,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 170.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/608-Revere-Rd-Glenview-IL-60025/3353030_zpid/
97,Condo,2001,Forced air,Central,2 spaces,$410/month,,$259,"$285,000","1800 Dewes St UNIT 308, Glenview, IL 60025","1,100", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 38.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1800-Dewes-St-UNIT-308-Glenview-IL-60025/60259898_zpid/
98,Single Family,1960,"Forced air, Gas",Central,2 spaces,,0.25 Acres,$250,"$499,000","2909 Linneman St, Glenview, IL 60025","2,000", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2909-Linneman-St-Glenview-IL-60025/3353161_zpid/
99,Townhouse,1970,"Forced air, Gas",Central,2 spaces,,No Data,,"$459,000","1805 Wildberry Dr UNIT E, Glenview, IL 60025",, No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 0.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1805-Wildberry-Dr-UNIT-E-Glenview-IL-60025/2078410482_zpid/
100,Townhouse,2003,Forced air,Central,2 spaces,$526/month,11.55 acres,$207,"$664,913","2017 Valor Ct #40, Glenview, IL 60026","3,210", No, 3, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 12.4% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2017-Valor-Ct-40-Glenview-IL-60026/70452881_zpid/
101,Single Family,2010,"Forced air, Gas",Central,2 spaces,,"10,336 sqft",$202,"$850,000","3025 Central Rd, Glenview, IL 60025","4,200", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 83.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3025-Central-Rd-Glenview-IL-60025/63690783_zpid/
102,Single Family,1994,"Forced air, Gas",Central,3 spaces,,0.50 Acres,$271,"$2,375,000","1444 Kaywood Ln, Glenview, IL 60025","8,771", No, 5, 7, 6, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 413.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1444-Kaywood-Ln-Glenview-IL-60025/3347081_zpid/
103,Condo,1996,Gas,No Data,1 space,$416/mo,,$178,"$192,000","1220 Depot St UNIT 305, Glenview, IL 60025","1,080", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 58.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1220-Depot-St-UNIT-305-Glenview-IL-60025/3354779_zpid/
104,Condo,1983,"Forced air, Gas",Central,1 space,$385/mo,,,"$310,000","1441 Pebblecreek Dr #13-3, Glenview, IL 60025",, No, 2, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 32.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1441-Pebblecreek-Dr-13-3-Glenview-IL-60025/2078469941_zpid/
105,Single Family,2001,"Forced air, Gas",Central,3 spaces,,0.40 Acres,$227,"$1,590,000","1455 Brandon Rd, Glenview, IL 60025","7,000", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 244% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1455-Brandon-Rd-Glenview-IL-60025/101430270_zpid/
106,Townhouse,2003,"Forced air, Gas",Central,2 spaces,,No Data,$205,"$744,000","2052 Valor Ct, Glenview, IL 60026","3,625", No, 4, 4, 2, 2,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 25.7% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2052-Valor-Ct-Glenview-IL-60026/2078476937_zpid/
107,Single Family,2007,"Forced air, Gas",Central,2 spaces,,"4,050 sqft",$257,"$799,900","2714 Summit Dr, Glenview, IL 60025","3,109", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 73.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2714-Summit-Dr-Glenview-IL-60025/87724131_zpid/
108,Single Family,1962,Forced air,Central,2 spaces,None,"7,605 sqft",$276,"$435,000","2615 Pauline Ave, Glenview, IL 60025","1,576", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 5.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2615-Pauline-Ave-Glenview-IL-60025/3472054_zpid/
109,Single Family,1964,Forced air,Central,2 spaces,,"8,718 sqft",$274,"$849,900","1004 Indian Rd, Glenview, IL 60025","3,100", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 83.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1004-Indian-Rd-Glenview-IL-60025/3368752_zpid/
110,Single Family,1965,"Baseboard, Gas",Central,2 spaces,,"10,001 sqft",$263,"$579,000","1619 Imperial Dr, Glenview, IL 60026","2,200", No, 5, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 2.1% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1619-Imperial-Dr-Glenview-IL-60026/3349172_zpid/
111,Single Family,2004,Forced air,Central,3 spaces,,0.65 Acres,$274,"$1,675,000","1653 Elmdale Ave, Glenview, IL 60026","6,114", No, 6, 6, 6,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 183.1% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1653-Elmdale-Ave-Glenview-IL-60026/3348937_zpid/
112,Condo,1982,"Forced air, Electric",Central,1 space,$411/mo,,$164,"$228,900","3700 Capri Ct APT 510, Glenview, IL 60025","1,400", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 50.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3700-Capri-Ct-APT-510-Glenview-IL-60025/3351575_zpid/
