,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,HOA,Half bathrooms
57,Multiple Occupancy,1874,Gas,Central,3 spaces,,$337,"$830,000","1306 Oak Ave, Evanston, IL 60201","2,463", No, 5, 4, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 66.5% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1306-Oak-Ave-Evanston-IL-60201/3564420_zpid/,,
58,Condo,1947,No Data,No Data,1 space,,$119,"$105,000","1862 Sherman Ave APT 4NE, Evanston, IL 60201",885, No, 2, 2, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 78.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1862-Sherman-Ave-APT-4NE-Evanston-IL-60201/2100164355_zpid/,"$1,047/month", 1
59,Condo,1920,"Forced air, Gas",Central,1 space,,$165,"$165,000","715 Mulford St UNIT 2C, Evanston, IL 60202","1,000", No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 50% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/715-Mulford-St-UNIT-2C-Evanston-IL-60202/80833866_zpid/,$301/mo,
60,Condo,1953,Other,No Data,1 space,,$149,"$119,000","228 Ridge Ave APT 1, Evanston, IL 60202",800, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 63.9% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/228-Ridge-Ave-APT-1-Evanston-IL-60202/3569796_zpid/,$293/mo,
61,Condo,2003,Forced air,Central,2 spaces,,No Data,"$209,700","1210 Chicago Ave APT 205A, Evanston, IL 60202",, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will fall 1.6% (↓) in the next year.This home is valued 36.5% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1210-Chicago-Ave-APT-205A-Evanston-IL-60202/2084903490_zpid/,$362/month,
62,Single Family,1953,Forced air,Central,1 space,"4,350 sqft",$360,"$415,000","2405 Ridgeway Ave, Evanston, IL 60201","1,152", No, 3, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 16.7% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2405-Ridgeway-Ave-Evanston-IL-60201/3515598_zpid/,None,
63,Condo,1923,Gas,No Data,None,,No Data,"$210,000","924 Judson Ave APT 3E, Evanston, IL 60202",, No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 36.4% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/924-Judson-Ave-APT-3E-Evanston-IL-60202/3565954_zpid/,$443/month,
64,Condo,2004,"Forced air, Gas",Central,1 space,,$314,"$219,900","1572 Maple Ave APT 501, Evanston, IL 60201",700, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 55.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1572-Maple-Ave-APT-501-Evanston-IL-60201/70455891_zpid/,$263/mo,
65,Condo,1966,"Baseboard, Gas",No Data,1 space,,$181,"$244,900","1234 Elmwood Ave APT 4D, Evanston, IL 60202","1,350", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will fall 1.6% (↓) in the next year.This home is valued 25.8% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1234-Elmwood-Ave-APT-4D-Evanston-IL-60202/3565073_zpid/,$540/mo,
66,Single Family,2020,Solar,"Geothermal, Other",2 spaces,"9,700 sqft",$480,"$1,995,000","1036 Forest Ave, Evanston, IL 60202","4,158", Yes, 5, 5, 4,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 504.6% higher (↑) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1036-Forest-Ave-Evanston-IL-60202/253421726_zpid/,, 1
67,Single Family,1899,"Forced air, Gas",Central,2 spaces,"9,496 sqft",$295,"$1,149,000","1229 Hinman Ave, Evanston, IL 60202","3,901", No, 4, 4, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will fall 1.6% (↓) in the next year.This home is valued 248.2% higher (↑) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1229-Hinman-Ave-Evanston-IL-60202/3565488_zpid/,, 1
68,Condo,1924,Forced air,Central,1 space,,$170,"$289,000","121 Custer Ave APT 3S, Evanston, IL 60202","1,700", No, 3, 3, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 12.4% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/121-Custer-Ave-APT-3S-Evanston-IL-60202/70456101_zpid/,$300/month, 1
69,Condo,1929,No Data,No Data,No Data,,$162,"$189,000","526 Sheridan Rd APT 2B, Evanston, IL 60202","1,168", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 42.7% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/526-Sheridan-Rd-APT-2B-Evanston-IL-60202/3567744_zpid/,$321/mo,
70,Condo,1920,No Data,No Data,No Data,,$119,"$119,000","1223 Hull Ter #G, Evanston, IL 60202",999, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 63.9% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1223-Hull-Ter-G-Evanston-IL-60202/89937907_zpid/,$319/mo,
71,Condo,1994,Forced air,Central,1 space,,$310,"$189,000","601 Linden Pl APT 220, Evanston, IL 60202",610, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 42.7% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/601-Linden-Pl-APT-220-Evanston-IL-60202/3567236_zpid/,$221/month,
72,Condo,1927,Radiant,Wall,1 space,,$217,"$450,000","1426 Chicago Ave APT 2S, Evanston, IL 60201","2,069", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 9.7% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1426-Chicago-Ave-APT-2S-Evanston-IL-60201/2083735609_zpid/,$691/mo,
73,Condo,1964,Forced air,Refrigeration,1 space,,$259,"$389,000","500 Lake St APT 504, Evanston, IL 60201","1,500", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will decrease 2.3% (↓) in the next year.This home is valued 22% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/500-Lake-St-APT-504-Evanston-IL-60201/3564841_zpid/,$499/month,
74,Multiple Occupancy,1924,"Forced air, Gas",Central,2 spaces,,,"$529,500","1109 Cleveland St, Evanston, IL 60202",, No, 4, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 60.5% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1109-Cleveland-St-Evanston-IL-60202/2139658913_zpid/,,
75,Single Family,1941,Forced air,Central,2 spaces,"7,318 sqft",$293,"$630,000","9556 Lawndale Ave, Evanston, IL 60203","2,148", No, 3, 3, 2,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will decrease 1.2% (↓) in the next year.This home is valued 57.2% higher (↑) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/9556-Lawndale-Ave-Evanston-IL-60203/2078117517_zpid/,, 1
76,Condo,1957,Forced air,Central,1 space,,$114,"$250,000","126 Clyde Ave APT 3, Evanston, IL 60202","2,200", No, 4, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will decrease 1.6% (↓) in the next year.This home is valued 24.2% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/126-Clyde-Ave-APT-3-Evanston-IL-60202/58358270_zpid/,$420/month,
77,Single Family,1928,Gas,Central,2 spaces,0.26 Acres,$419,"$1,825,000","303 Lake St, Evanston, IL 60201","4,356", No, 5, 6, 5,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 266.1% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/303-Lake-St-Evanston-IL-60201/3564796_zpid/,, 1
78,Condo,1924,"Other, Gas",Refrigerator,No Data,,$197,"$165,000","1222 Central St APT 1W, Evanston, IL 60201",837, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 66.9% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1222-Central-St-APT-1W-Evanston-IL-60201/3563057_zpid/,$351/mo,
79,Condo,2008,"Forced air, Gas",Central,1 space,,$283,"$234,900","1228 Emerson St UNIT 601, Evanston, IL 60201",830, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will decrease 2.3% (↓) in the next year.This home is valued 52.9% lower (↓) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1228-Emerson-St-UNIT-601-Evanston-IL-60201/99356094_zpid/,$254/mo,
80,Condo,1949,Forced air,Central,1 space,,$247,"$185,000","421 Custer Ave APT 3S, Evanston, IL 60202",750, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 43.9% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/421-Custer-Ave-APT-3S-Evanston-IL-60202/60200016_zpid/,$225/month,
81,Multi Family,1957,Forced air,Central,2 spaces,,No Data,"$569,999","236 Callan Ave, Evanston, IL 60202",, No, 6, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 72.7% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/236-Callan-Ave-Evanston-IL-60202/2094004569_zpid/,,
82,Condo,1924,"Other, Gas",Refrigerator,No Data,,$196,"$159,000","1222 Central St APT 3W, Evanston, IL 60201",813, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 68.1% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1222-Central-St-APT-3W-Evanston-IL-60201/3563061_zpid/,$351/mo,
83,Condo,1928,No Data,No Data,1 space,,$167,"$292,000","342 Custer Ave APT 2, Evanston, IL 60202","1,750", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 11.5% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/342-Custer-Ave-APT-2-Evanston-IL-60202/3569602_zpid/,$340/month,
84,Condo,1966,Baseboard,No Data,1 space,,$137,"$184,900","1234 Elmwood Ave APT 3A, Evanston, IL 60202","1,350", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will decrease 1.6% (↓) in the next year.This home is valued 44% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1234-Elmwood-Ave-APT-3A-Evanston-IL-60202/3565064_zpid/,$491/mo,
85,Condo,1925,"Radiant, Gas",Wall,1 space,,$242,"$363,000","928 Judson Ave APT 3, Evanston, IL 60202","1,500", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 10% higher (↑) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/928-Judson-Ave-APT-3-Evanston-IL-60202/3565970_zpid/,$523/mo,
86,Single Family,1919,"Forced air, Gas",Other,2 spaces,"7,492 sqft",$353,"$1,499,999","1000 Sheridan Rd, Evanston, IL 60202","4,250", No, 5, 4, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 354.6% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1000-Sheridan-Rd-Evanston-IL-60202/3565811_zpid/,, 1
87,Condo,1925,No Data,No Data,1 space,,$204,"$244,900","1518 Oak Ave APT 3S, Evanston, IL 60201","1,200", No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 50.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1518-Oak-Ave-APT-3S-Evanston-IL-60201/3564170_zpid/,$451/month,
88,Multi Family,1914,Forced air,Central,4 spaces,,No Data,"$750,000","2026 Lincoln St, Evanston, IL 60201",, No, 4, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 50.5% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2026-Lincoln-St-Evanston-IL-60201/2139593949_zpid/,,
89,Single Family,1879,"Forced air, Gas",Central,2 spaces,"4,965 sqft",$308,"$569,000","610 Callan Ave, Evanston, IL 60202","1,847", No, 3, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 72.4% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/610-Callan-Ave-Evanston-IL-60202/80622727_zpid/,,
90,Single Family,1998,"Forced air, Gas",Central,2 spaces,"8,197 sqft",$233,"$1,280,000","649 Michigan Ave, Evanston, IL 60202","5,492", No, 5, 5, 4,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 287.9% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/649-Michigan-Ave-Evanston-IL-60202/3567465_zpid/,, 1
91,Single Family,1909,"Forced air, Heat pump, Other",Geothermal,2 spaces,0.27 Acres,$265,"$635,000","2226 Payne St, Evanston, IL 60201","2,398", No, 4, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 27.4% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2226-Payne-St-Evanston-IL-60201/2088260200_zpid/,,
92,Condo,1925,No Data,No Data,No Data,,$210,"$220,000","1311 W Monroe St #1, Evanston, IL 60202","1,050", No, 3, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 33.3% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1311-W-Monroe-St-1-Evanston-IL-60202/2078211174_zpid/,$398/mo,
93,Single Family,1913,Gas,Central,3 spaces,0.25 Acres,$450,"$850,000","2202 Payne St, Chicago, IL 60201","1,888", No, 5, 3, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 70.5% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2202-Payne-St-Chicago-IL-60201/3517709_zpid/,,
94,Condo,1914,Forced air,Central,1 space,,$230,"$299,000","601 Linden Pl APT 120, Evanston, IL 60202","1,300", No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 9.4% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/601-Linden-Pl-APT-120-Evanston-IL-60202/3567222_zpid/,$427/month,
95,Condo,2003,Forced air,Central,1 space,,$285,"$295,000","1720 Maple Ave APT 580, Evanston, IL 60201","1,035", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 40.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1720-Maple-Ave-APT-580-Evanston-IL-60201/65549482_zpid/,$426/month,
96,Single Family,1956,"Baseboard, Forced air, Electric, Gas",Central,2 spaces,"9,317 sqft",$290,"$450,000","2315 Mccormick Blvd, Evanston, IL 60201","1,550", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 9.7% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2315-Mccormick-Blvd-Evanston-IL-60201/3517935_zpid/,,
97,Single Family,1906,Baseboard,Other,2 spaces,"8,799 sqft",$274,"$519,900","1716 Isabella St, Evanston, IL 60201","1,900", No, 3, 2, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 4.3% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1716-Isabella-St-Evanston-IL-60201/3376499_zpid/,None, 1
98,Condo,1982,Electric,Central,1 space,,$360,"$755,000","522 Church St APT 2B, Evanston, IL 60201","2,100", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 51.5% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/522-Church-St-APT-2B-Evanston-IL-60201/3564574_zpid/,"$1,120/month",
99,Multi Family,1958,Forced air,No Data,2 spaces,,No Data,"$424,900","125 Custer Ave, Evanston, IL 60202",, No, 5, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 28.8% higher (↑) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/125-Custer-Ave-Evanston-IL-60202/2117585149_zpid/,,
100,Condo,2003,Forced air,Central,1 space,,$342,"$395,000","1640 Maple Ave APT 704, Evanston, IL 60201","1,155", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 20.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1640-Maple-Ave-APT-704-Evanston-IL-60201/65556385_zpid/,$631/month,
101,Condo,1925,Forced air,Central,1 space,,$250,"$275,000","1226 Elmwood Ave APT 1W, Evanston, IL 60202","1,100", No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will decrease 1.6% (↓) in the next year.This home is valued 16.7% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1226-Elmwood-Ave-APT-1W-Evanston-IL-60202/80808754_zpid/,$355/month,
102,Single Family,1909,No Data,No Data,1 space,0.53 acres,"$1,164","$3,400,000","721 Sheridan Rd, Evanston, IL 60202","2,921", No, 4, 3, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 930.3% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/721-Sheridan-Rd-Evanston-IL-60202/3567906_zpid/,None, 1
103,Townhouse,2020,Gas,Central,2 spaces,No Data,$250,"$599,000","1116 Pitner Ave, Evanston, IL 60202","2,400", Yes, 4, 3, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West End will fall 1.6% (↓) in the next year.This home is valued 81.5% higher (↑) than the median home in West End.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1116-Pitner-Ave-Evanston-IL-60202/2081038868_zpid/,, 1
104,Condo,1920,Radiant,Wall,1 space,,$239,"$215,000","1004 Washington St APT 1, Evanston, IL 60202",900, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 34.8% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1004-Washington-St-APT-1-Evanston-IL-60202/2102173339_zpid/,$525/month,
105,Single Family,1886,Gas,Central,2 spaces,"6,425 sqft",$161,"$1,050,000","1332 Hinman Ave, Evanston, IL 60201","6,540", No, 6, 4, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will decrease 2.3% (↓) in the next year.This home is valued 110.6% higher (↑) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1332-Hinman-Ave-Evanston-IL-60201/3564949_zpid/,None, 1
106,Condo,1962,"Forced air, Gas",Central,1 space,,$203,"$269,000","717 Seward St APT 3E, Evanston, IL 60202","1,325", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 18.5% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/717-Seward-St-APT-3E-Evanston-IL-60202/80835071_zpid/,$310/mo,
107,Condo,1931,Other,Refrigeration,1 space,,No Data,"$249,000","670 Hinman Ave APT 3D, Evanston, IL 60202",, No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 24.5% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/670-Hinman-Ave-APT-3D-Evanston-IL-60202/3567279_zpid/,$447/month,
108,Condo,1964,Baseboard,Wall,2 spaces,,$181,"$259,000","815 Reba Pl APT 204, Evanston, IL 60202","1,434", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 21.5% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/815-Reba-Pl-APT-204-Evanston-IL-60202/62002647_zpid/,$347/mo,
109,Condo,1964,"Baseboard, Gas",Wall,1 space,,$188,"$207,000","2730 Central St APT 3C, Evanston, IL 60201","1,100", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will fall 2.3% (↓) in the next year.This home is valued 58.5% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2730-Central-St-APT-3C-Evanston-IL-60201/3515339_zpid/,$460/mo,
110,Condo,1957,No Data,No Data,1 space,,$172,"$206,000","1400 Hinman Ave APT 2E, Evanston, IL 60201","1,200", No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will decrease 2.3% (↓) in the next year.This home is valued 58.7% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1400-Hinman-Ave-APT-2E-Evanston-IL-60201/3564860_zpid/,$470/month,
111,Condo,2000,"Forced air, Electric",Central,1 space,,$294,"$317,000","800 Elgin Rd APT 711, Evanston, IL 60201","1,079", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 36.4% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/800-Elgin-Rd-APT-711-Evanston-IL-60201/70455375_zpid/,$692/mo,
112,Single Family,1879,No Data,No Data,2 spaces,"3,650 sqft",$220,"$419,900","1932 Jackson Ave, Evanston, IL 60201","1,905", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 15.8% lower (↓) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1932-Jackson-Ave-Evanston-IL-60201/3518529_zpid/,,
113,Condo,1958,"Baseboard, Gas",No Data,No Data,,,"$89,900","422 Elmwood Ave #1, Evanston, IL 60202",, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 72.8% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/422-Elmwood-Ave-1-Evanston-IL-60202/3569266_zpid/,$362/mo,
