,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA
95,Condo,2018,No Data,No Data,No Data,,$212,"$267,900","14484 S Ronan Ln UNIT Q102, Herriman, UT 84096","1,265", No, 3, 2, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 38.8% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/14484-S-Ronan-Ln-UNIT-Q102-Herriman-UT-84096/2077553742_zpid/,,
96,Multiple Occupancy,1914,Forced air,No Data,No Data,,$358,"$849,900","2791 S State St, Salt Lake City, UT 84115","2,372", No, 2, 2,,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84115 will increase 6.3% (↑) in the next year.This home is valued 162.2% higher (↑) than the median home in 84115.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/2791-S-State-St-Salt-Lake-City-UT-84115/2109029315_zpid/,,
97,Townhouse,2002,Forced air,Central,2 spaces,No Data,$205,"$259,000","3699 S Botticelli Ct UNIT C, West Valley City, UT 84119","1,265", No, 3, 2, 2,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will increase 5.9% (↑) in the next year.This home is valued 11.8% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3699-S-Botticelli-Ct-UNIT-C-West-Valley-City-UT-84119/2077554532_zpid/,,
98,Townhouse,1999,Forced air,Central,1 space,435 sqft,$224,"$290,000","14260 S Daisyfield Dr, Draper, UT 84020","1,296", No, 3, 2, 1,,https://www.zillow.com/homedetails/14260-S-Daisyfield-Dr-Draper-UT-84020/35982573_zpid/, 1,
99,Single Family,2015,No Data,No Data,3 spaces,0.33 Acres,$188,"$889,000","3972 North 850 West, Lehi, UT 84043","4,740", No, 5, 5, 4,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 126.6% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/3972-North-850-West-Lehi-UT-84043/190540518_zpid/, 1,
100,Single Family,2000,"Forced air, Gas",Central,2 spaces,"9,147 sqft",$125,"$520,000","10255 N Forest Creek Dr, Cedar Hills, UT 84062","4,170", No, 7, 4, 3,"Home values in 84062 have risen 6.0 % (↑) over the past 12 months.Zillow predicts the home values in 84062 will rise 6% (↑) in the next year.This home is valued 34.2% higher (↑) than the median home in 84062.The median Zestimate® for this neighborhood is $387,393.",https://www.zillow.com/homedetails/10255-N-Forest-Creek-Dr-Cedar-Hills-UT-84062/51683793_zpid/, 1,
101,Multiple Occupancy,1980,Other,Evaporative,2 spaces,,$164,"$249,990","5463 W Cyclamen Cv, West Jordan, UT 84081","1,526", No, 2, 2, 1,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will rise 5.1% (↑) in the next year.This home is valued 35.2% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/5463-W-Cyclamen-Cv-West-Jordan-UT-84081/12805414_zpid/, 1,
102,Condo,1973,Other,None,1 space,,$252,"$224,900","1199 W 4300 S UNIT 14C, Taylorsville, UT 84123",894, No, 2, 1, 1,"Home values in 84123 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84123 will rise 6% (↑) in the next year.This home is valued 37.1% lower (↓) than the median home in 84123.The median Zestimate® for this neighborhood is $357,346.",https://www.zillow.com/homedetails/1199-W-4300-S-UNIT-14C-Taylorsville-UT-84123/12809678_zpid/,,$215/mo
103,Townhouse,2007,"Forced air, Gas",Central,2 spaces,871 sqft,$150,"$325,000","3898 W Scarlet Sage Way, South Jordan, UT 84009","2,161", No, 3, 4, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 24.2% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/3898-W-Scarlet-Sage-Way-South-Jordan-UT-84009/72628330_zpid/, 2,
104,Multiple Occupancy,1978,Other,None,1 space,,$295,"$320,000","753 E Village Way, Sandy, UT 84094","1,084", No, 2, 2, 1,"Home values in 84094 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84094 will rise 4.4% (↑) in the next year.This home is valued 12.9% lower (↓) than the median home in 84094.The median Zestimate® for this neighborhood is $367,478.",https://www.zillow.com/homedetails/753-E-Village-Way-Sandy-UT-84094/12911679_zpid/, 1,
105,Townhouse,2020,Gas,No Data,2 spaces,435 sqft,$294,"$535,000","2599 S 700 E, Salt Lake City, UT 84106","1,817", No, 3, 3, 2,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will rise 4.5% (↑) in the next year.This home is valued 14.3% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/2599-S-700-E-Salt-Lake-City-UT-84106/2079223956_zpid/, 1,
106,Single Family,1991,Other,Central,2 spaces,"8,276 sqft",$164,"$335,000","4518 W Volta Ave, West Valley City, UT 84120","2,048", No, 4, 2, 2,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84120 will rise 5.7% (↑) in the next year.This home is valued 9.4% higher (↑) than the median home in 84120.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/4518-W-Volta-Ave-West-Valley-City-UT-84120/12747857_zpid/,,
107,Single Family,1960,"Forced air, Gas",Central,6 spaces,"10,454 sqft",$227,"$750,000","2891 E Branch Dr, Holladay, UT 84117","3,308", No, 5, 3, 3,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will increase 3.4% (↑) in the next year.This home is valued 58% higher (↑) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/2891-E-Branch-Dr-Holladay-UT-84117/12861602_zpid/,,
108,Single Family,2000,Gas,No Data,No Data,0.31 Acres,$150,"$390,000","5863 W Vogue Ct S, Herriman, UT 84096","2,602", No, 3, 2, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 10.9% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/5863-W-Vogue-Ct-S-Herriman-UT-84096/2077556144_zpid/,,
109,Single Family,2016,No Data,No Data,2 spaces,"5,662 sqft",$137,"$519,900","6141 W 8130 S, West Jordan, UT 84081","3,801", No, 5, 4, 3,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will increase 5.1% (↑) in the next year.This home is valued 34.8% higher (↑) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6141-W-8130-S-West-Jordan-UT-84081/248885731_zpid/, 1,
110,Single Family,2006,"Forced air, Gas",Central,3 spaces,0.36 Acres,$145,"$600,000","3361 W Water St, Riverton, UT 84065","4,128", No, 5, 4, 3,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will increase 4.1% (↑) in the next year.This home is valued 39.4% higher (↑) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/3361-W-Water-St-Riverton-UT-84065/72631306_zpid/, 1,
111,Single Family,1954,Forced air,No Data,1 space,"7,405 sqft",$213,"$239,900","2751 W 3150 S, West Valley, UT 84119","1,125", No, 3, 1, 1,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will rise 5.9% (↑) in the next year.This home is valued 18.3% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/2751-W-3150-S-West-Valley-UT-84119/12743928_zpid/,,
112,Single Family,No Data,No Data,No Data,3 spaces,"10,018 sqft",$197,"$689,900","14628 S Annika Run Dr #25, Herriman, UT 84096","3,497", Yes, 3, 2, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 57.5% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/14628-S-Annika-Run-Dr-25-Herriman-UT-84096/2077557742_zpid/,,
113,Single Family,1924,No Data,No Data,3 spaces,"4,791 sqft",$203,"$325,000","20 W Layton Ave, Salt Lake City, UT 84115","1,599", No, 2, 1, 1,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in People's Freeway will increase 6.3% (↑) in the next year.This home is valued 0.3% higher (↑) than the median home in People's Freeway.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/20-W-Layton-Ave-Salt-Lake-City-UT-84115/2102697252_zpid/,,
114,Single Family,1987,No Data,No Data,3 spaces,"6,969 sqft",$158,"$290,000","4066 Powder Ridge Dr, West Valley City, UT 84128","1,836", No, 4, 2, 2,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will rise 6.4% (↑) in the next year.This home is valued 10.2% lower (↓) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/4066-Powder-Ridge-Dr-West-Valley-City-UT-84128/2077558177_zpid/,,
115,Single Family,1907,Forced air,Central,No Data,"4,791 sqft",$330,"$375,000","415 E 600 S, Salt Lake City, UT 84111","1,136", No, 2, 1, 1,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will rise 5.3% (↑) in the next year.This home is valued 10.7% lower (↓) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/415-E-600-S-Salt-Lake-City-UT-84111/12755895_zpid/,,
116,Townhouse,1981,Other,None,1 space,"6,098 sqft",$256,"$214,900","9052 S Corliss Ave, West Jordan, UT 84088",840, No, 2, 1, 1,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 43.3% lower (↓) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/9052-S-Corliss-Ave-West-Jordan-UT-84088/12893601_zpid/,,
117,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$221,"$315,900","3791 W Pure Nirvana Ln, Herriman, UT 84096",, Yes, 3, 2, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 27.9% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/3791-W-Pure-Nirvana-Ln-Herriman-UT-84096/2077558650_zpid/,,
118,Single Family,1947,Other,Central,2 spaces,0.28 Acres,$210,"$499,000","4465 S Arcadia Ln, Holladay, UT 84124","2,372", No, 3, 1, 1,"Home values in 84124 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84124 will increase 3.3% (↑) in the next year.This home is valued 10.3% lower (↓) than the median home in 84124.The median Zestimate® for this neighborhood is $556,483.",https://www.zillow.com/homedetails/4465-S-Arcadia-Ln-Holladay-UT-84124/12851455_zpid/,,
119,Single Family,2005,Other,Central,2 spaces,"8,276 sqft",$155,"$449,900","4669 W Zia Ct, Riverton, UT 84096","2,911", No, 4, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 2.7% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/4669-W-Zia-Ct-Riverton-UT-84096/63343493_zpid/, 1,
120,Single Family,2018,No Data,No Data,2 spaces,"8,276 sqft",$148,"$425,000","5256 W Park Valley Cir, Kearns, UT 84118","2,879", No, 3, 2, 2,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Park Ridge will increase 5.2% (↑) in the next year.This home is valued 46% higher (↑) than the median home in Park Ridge.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/5256-W-Park-Valley-Cir-Kearns-UT-84118/250981938_zpid/,,
121,Single Family,1999,Other,None,2 spaces,"8,276 sqft",$200,"$375,000","6454 S Wakefield Way, West Valley City, UT 84118","1,879", No, 4, 3, 2,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Diamond Summit will rise 5.2% (↑) in the next year.This home is valued 28.8% higher (↑) than the median home in Diamond Summit.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/6454-S-Wakefield-Way-West-Valley-City-UT-84118/12804954_zpid/, 1,
122,Multiple Occupancy,1899,Other,Central,No Data,,$275,"$368,000","427 E Sego Ave, Salt Lake City, UT 84111","1,340", No, 2, 2,,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will increase 5.3% (↑) in the next year.This home is valued 12.4% lower (↓) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/427-E-Sego-Ave-Salt-Lake-City-UT-84111/12755942_zpid/,,
123,Single Family,2020,No Data,No Data,2 spaces,No Data,$182,"$391,900","Buildable plan: Stratton, Primrose : Villages, Saratoga Springs, UT 84045",, Yes, 4, 3, 2,"Home values in 84045 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84045 will rise 4.9% (↑) in the next year.This home is valued 0.7% lower (↓) than the median home in 84045.The median Zestimate® for this neighborhood is $394,532.",https://www.zillow.com/community/primrose-villages/2078523033_zpid/, 1,
124,Single Family,1995,"Forced air, Other, Stove, Gas",Central,6 spaces,0.33 Acres,$152,"$680,000","1128 W Wasatch Downs Dr, South Jordan, UT 84095","4,480", No, 5, 3,,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will increase 3.7% (↑) in the next year.This home is valued 30.7% higher (↑) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/1128-W-Wasatch-Downs-Dr-South-Jordan-UT-84095/12898217_zpid/,,
125,Single Family,2008,"Forced air, Gas",Central,2 spaces,"5,227 sqft",$150,"$450,000","2496 W 2250 N, Lehi, UT 84043","3,002", No, 6, 3, 3,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 14.7% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/2496-W-2250-N-Lehi-UT-84043/89198908_zpid/,,
126,Single Family,2004,Forced air,No Data,No Data,"10,454 sqft",$203,"$599,900","10363 N 6680 W, Highland, UT 84003","2,960", No, 6, 3,,"Home values in 84003 have risen 5.5 % (↑) over the past 12 months.Zillow predicts the home values in 84003 will increase 5.6% (↑) in the next year.This home is valued 35.5% higher (↑) than the median home in 84003.The median Zestimate® for this neighborhood is $442,706.",https://www.zillow.com/homedetails/10363-N-6680-W-Highland-UT-84003/65203273_zpid/,,
127,Single Family,1962,No Data,No Data,No Data,"10,018 sqft",$364,"$1,390,000","4715 S Bron Breck St E, Salt Lake City, UT 84117","3,818", No, 4, 4, 3,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will increase 3.4% (↑) in the next year.This home is valued 192.8% higher (↑) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/4715-S-Bron-Breck-St-E-Salt-Lake-City-UT-84117/2077562591_zpid/, 1,
128,Single Family,1954,"Forced air, Gas",None,8 spaces,0.26 Acres,$194,"$369,900","581 E 9400 S, Sandy, UT 84070","1,908", No, 4, 2, 2,"Home values in 84070 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84070 will increase 5.3% (↑) in the next year.This home is valued 4.1% higher (↑) than the median home in 84070.The median Zestimate® for this neighborhood is $355,188.",https://www.zillow.com/homedetails/581-E-9400-S-Sandy-UT-84070/12913480_zpid/,,
129,Single Family,2020,No Data,No Data,2 spaces,No Data,$185,"$497,900","Buildable plan: Sun Valley, Primrose : Estates, Saratoga Springs, UT 84045",, Yes, 5, 3, 2,"Home values in 84045 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84045 will increase 4.9% (↑) in the next year.This home is valued 26.2% higher (↑) than the median home in 84045.The median Zestimate® for this neighborhood is $394,532.",https://www.zillow.com/community/primrose-estates/2078523030_zpid/, 1,
130,Condo,1972,"Other, Gas",None,1 space,,$211,"$150,000","4147 S 2700 W APT 1B, Taylorsville, UT 84129",710, No, 1, 1, 1,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will rise 6.4% (↑) in the next year.This home is valued 53.5% lower (↓) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/4147-S-2700-W-APT-1B-Taylorsville-UT-84129/12812108_zpid/,,$278/mo
131,Condo,1983,No Data,No Data,1 space,,$249,"$375,000","48 W 300 S APT 406N, Salt Lake City, UT 84101","1,509", No, 2, 2, 2,"Home values in Downtown Salt Lake City have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Downtown will decrease 0.3% (↓) in the next year.This home is valued 8.5% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $409,706.",https://www.zillow.com/homedetails/48-W-300-S-APT-406N-Salt-Lake-City-UT-84101/2081196880_zpid/,,"$51,376/mo"
132,Single Family,2007,Forced air,Central,3 spaces,"10,018 sqft",$112,"$835,000","1422 E Maple Ave, Salt Lake City, UT 84106","7,447", No, 8, 4, 4,"Home values in 84106 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84106 will rise 4.4% (↑) in the next year.This home is valued 99.4% higher (↑) than the median home in 84106.The median Zestimate® for this neighborhood is $418,741.",https://www.zillow.com/homedetails/1422-E-Maple-Ave-Salt-Lake-City-UT-84106/83830427_zpid/,,
133,Single Family,1987,"Forced air, Gas",No Data,No Data,"6,969 sqft",$188,"$319,900","6005 W Torrington Ct S, Salt Lake City, UT 84118","1,700", No, 3, 2, 2,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84118 will rise 5.2% (↑) in the next year.This home is valued 9.9% higher (↑) than the median home in 84118.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/6005-W-Torrington-Ct-S-Salt-Lake-City-UT-84118/2077563565_zpid/,,
134,Single Family,1987,Other,None,2 spaces,"6,534 sqft",$178,"$319,900","5719 W 4510 S, West Valley, UT 84128","1,800", No, 3, 2, 2,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will increase 6.4% (↑) in the next year.This home is valued 0.9% lower (↓) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/5719-W-4510-S-West-Valley-UT-84128/12800009_zpid/,,
135,Multiple Occupancy,1975,"Forced air, Gas",Central,2 spaces,,$181,"$435,000","7721 S Avondale Dr, Cottonwood Heights, UT 84121","2,400", No, 3, 2, 2,,https://www.zillow.com/homedetails/7721-S-Avondale-Dr-Cottonwood-Heights-UT-84121/12874070_zpid/,,
136,Single Family,2017,No Data,No Data,3 spaces,0.29 Acres,$152,"$549,900","6518 W 7830 S, West Jordan, UT 84081","3,629", No, 5, 4, 3,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will rise 5.1% (↑) in the next year.This home is valued 42.5% higher (↑) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6518-W-7830-S-West-Jordan-UT-84081/251207744_zpid/, 1,
137,Single Family,2001,"Other, Gas",Central,3 spaces,"7,405 sqft",$207,"$399,900","14264 S Crown Rose Dr, Herriman, UT 84096","1,930", No, 4, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 8.7% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/14264-S-Crown-Rose-Dr-Herriman-UT-84096/55205463_zpid/, 1,
138,Multiple Occupancy,1975,"Forced air, Other, Gas",Central,2 spaces,,$184,"$442,000","7719 S Avondale Dr, Cottonwood Heights, UT 84121","2,400", No, 3, 2, 2,,https://www.zillow.com/homedetails/7719-S-Avondale-Dr-Cottonwood-Heights-UT-84121/12874069_zpid/,,
139,Single Family,2010,Other,Central,3 spaces,0.34 Acres,$156,"$614,500","14361 S Fort Duchesne Cv, Herriman, UT 84096","3,946", No, 6, 4, 3,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 40.3% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/14361-S-Fort-Duchesne-Cv-Herriman-UT-84096/97752699_zpid/, 1,
140,Single Family,2020,"Heat pump, Gas",None,No Data,No Data,$118,"$176,900","Buildable plan: Deer Valley, Winchester Estates, Salt Lake City, UT 84123",, Yes, 3, 2, 2,"Home values in 84123 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84123 will rise 6% (↑) in the next year.This home is valued 50.5% lower (↓) than the median home in 84123.The median Zestimate® for this neighborhood is $357,346.",https://www.zillow.com/community/winchester-estates/2080589291_zpid/,,
141,,,,,,,,"$624,900","2002 E Stonecroft Way, Sandy, UT 84092",, Yes, 3, 3, 2,"Home values in 84092 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84092 will rise 4.4% (↑) in the next year.This home is valued 13.2% higher (↑) than the median home in 84092.The median Zestimate® for this neighborhood is $552,092.",https://www.zillow.com/community/stonecroft/2078404607_zpid/, 1,
142,Single Family,1978,Other,None,No Data,"3,484 sqft",$232,"$330,000","787 E Village Cir, Sandy, UT 84094","1,422", No, 2, 2, 1,"Home values in 84094 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84094 will increase 4.4% (↑) in the next year.This home is valued 10.2% lower (↓) than the median home in 84094.The median Zestimate® for this neighborhood is $367,478.",https://www.zillow.com/homedetails/787-E-Village-Cir-Sandy-UT-84094/12911599_zpid/, 1,
143,Single Family,1978,Other,None,2 spaces,"5,227 sqft",$232,"$330,000","785 E Village Cir, Sandy, UT 84094","1,422", No, 4, 2, 1,"Home values in 84094 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84094 will increase 4.4% (↑) in the next year.This home is valued 10.2% lower (↓) than the median home in 84094.The median Zestimate® for this neighborhood is $367,478.",https://www.zillow.com/homedetails/785-E-Village-Cir-Sandy-UT-84094/12911598_zpid/, 1,
144,Single Family,2013,Other,Central,No Data,0.28 Acres,$164,"$899,000","8683 S Millrace Bend Rd, West Jordan, UT 84088","5,471", No, 4, 4, 3,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 137.3% higher (↑) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/8683-S-Millrace-Bend-Rd-West-Jordan-UT-84088/97758724_zpid/, 1,
145,Townhouse,2020,No Data,No Data,2 spaces,"1,306 sqft",$144,"$346,900","13013 S Keegan Dr #322, Herriman, UT 84096","2,402", Yes, 3, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 20.8% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/13013-S-Keegan-Dr-322-Herriman-UT-84096/2077566576_zpid/, 1,
146,Single Family,1991,Other,Central,2 spaces,0.50 Acres,$178,"$525,000","11965 S 2800 W, Riverton, UT 84065","2,943", No, 4, 4, 3,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will rise 4.1% (↑) in the next year.This home is valued 22% higher (↑) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/11965-S-2800-W-Riverton-UT-84065/12903582_zpid/, 1,
147,Townhouse,1980,Other,None,2 spaces,"3,920 sqft",$236,"$330,000","747 E Village Way, Sandy, UT 84094","1,400", No, 2, 2, 1,"Home values in 84094 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84094 will rise 4.4% (↑) in the next year.This home is valued 10.2% lower (↓) than the median home in 84094.The median Zestimate® for this neighborhood is $367,478.",https://www.zillow.com/homedetails/747-E-Village-Way-Sandy-UT-84094/12911678_zpid/, 1,
148,Multiple Occupancy,1978,Other,None,2 spaces,,$235,"$330,000","757 E Village Way, Sandy, UT 84094","1,402", No, 4, 2, 1,"Home values in 84094 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84094 will rise 4.4% (↑) in the next year.This home is valued 10.2% lower (↓) than the median home in 84094.The median Zestimate® for this neighborhood is $367,478.",https://www.zillow.com/homedetails/757-E-Village-Way-Sandy-UT-84094/12911680_zpid/, 1,
149,Single Family,1904,Other,Central,2 spaces,"3,484 sqft",$305,"$640,000","166 S 1200 E, Salt Lake City, UT 84102","2,096", No, 4, 2, 2,"Home values in East Central have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in East Central will increase 4.1% (↑) in the next year.This home is valued 34.7% higher (↑) than the median home in East Central.The median Zestimate® for this neighborhood is $475,000.",https://www.zillow.com/homedetails/166-S-1200-E-Salt-Lake-City-UT-84102/12753961_zpid/,,
150,Single Family,2020,No Data,No Data,1 space,No Data,$227,"$456,990","Buildable plan: Zion, Spring House Village At Daybreak, South Jordan, UT 84009",, Yes, 2, 4, 3,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 6.6% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/spring-house-village-at-daybreak/2078070159_zpid/, 1,
151,Single Family,2020,No Data,No Data,2 spaces,No Data,$186,"$462,950","Buildable plan: Hemingway, Jackson, Herriman, UT 84096",, Yes, 4, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 5.7% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/jackson/2078676965_zpid/, 1,
152,,,,,,,,"$544,995","Lot #0115, Canyon Point at Traverse Mountain - The Cascade Collection, Lehi, UT 84043",, Yes, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 38.9% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/canyon-point-at-traverse-mountain-cascade-collection/2077786099_zpid/, 1,
153,Single Family,2005,"Other, Gas",Central,2 spaces,"3,049 sqft",$148,"$380,000","11622 S Oakmond Rd, South Jordan, UT 84009","2,566", No, 5, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 11.4% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/11622-S-Oakmond-Rd-South-Jordan-UT-84009/69717628_zpid/, 1,
