,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
87,Condo,2017,Forced air,Central,2 spaces,,$205,"$579,000","3738 Tramore Ct, Naperville, IL 60564","2,822", No, 5, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Rosehill Farm will rise 0.7% (↑) in the next year.This home is valued 34.2% higher (↑) than the median home in Rosehill Farm.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3738-Tramore-Ct-Naperville-IL-60564/2089755940_zpid/,$195/month,For Sale
88,Single Family,1984,"Forced air, Gas",Central,2 spaces,"5,998 sqft",$224,"$420,000","1528 Bonaventure Dr, Naperville, IL 60563","1,876", No, 3, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek Commons will increase 0.9% (↑) in the next year.This home is valued 30.7% higher (↑) than the median home in Cress Creek Commons.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1528-Bonaventure-Dr-Naperville-IL-60563/4503598_zpid/,,For Sale
89,Single Family,1960,Forced air,Central,2 spaces,0.25 acres,$217,"$499,900","313 W Gartner Rd, Naperville, IL 60540","2,308", No, 4, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Moser Highlands will increase 1.3% (↑) in the next year.This home is valued 21% higher (↑) than the median home in Moser Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/313-W-Gartner-Rd-Naperville-IL-60540/4548879_zpid/,None,For Sale
90,Single Family,1969,Gas,Central,2 spaces,0.35 Acres,$186,"$779,900","949 Anne Rd, Naperville, IL 60540","4,200", No, 5, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 88.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/949-Anne-Rd-Naperville-IL-60540/4537368_zpid/,,For Sale
91,Single Family,No Data,"Forced air, Gas",Central,3 spaces,No Data,$305,"$932,671","Buildable plan: The Monroe II, DJK Custom Homes of Downtown Naperville, Naperville, IL 60540",, Yes, 4, 5, 4, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 125.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/community/djk-custom-homes-of-downtown-naperville/2078805986_zpid/,,For Sale
92,Single Family,2004,"Forced air, Heat pump, Other, Gas",Central,4 spaces,0.36 Acres,$244,"$1,200,000","510 E 8th Ave, Naperville, IL 60563","4,909", No, 5, 6, 5, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 273.4% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/510-E-8th-Ave-Naperville-IL-60563/4536433_zpid/,,For Sale
93,Condo,1983,"Forced air, Gas",Central,1 space,,$159,"$169,900","47 Glencoe Ct APT 102-D, Naperville, IL 60565","1,067", No, 2, 2, 2,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Old Farm will rise 1.2% (↑) in the next year.This home is valued 57.1% lower (↓) than the median home in Old Farm.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/47-Glencoe-Ct-APT-102-D-Naperville-IL-60565/4551880_zpid/,$283/mo,For Sale
94,Single Family,1964,Forced air,Central,3 spaces,0.38 acres,$180,"$450,000","1016 Elizabeth Ave, Naperville, IL 60540","2,502", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 8.9% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1016-Elizabeth-Ave-Naperville-IL-60540/4537407_zpid/,None,For Sale
95,Single Family,2003,Forced air,Central,3 spaces,0.34 acres,$393,"$2,250,000","8 Forest Ave, Naperville, IL 60540","5,732", No, 5, 7, 5, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 444.5% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/8-Forest-Ave-Naperville-IL-60540/4506522_zpid/,None,For Sale
96,Townhouse,2014,"Forced air, Gas",Central,2 spaces,"1,306 sqft",$190,"$294,900","2863 Henley Ln, Naperville, IL 60540","1,555", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 28.6% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/2863-Henley-Ln-Naperville-IL-60540/246064463_zpid/,,For Sale
97,Single Family,1956,Forced air,Central,1 space,"10,018 sqft",$225,"$424,900","520 S Sleight St, Naperville, IL 60540","1,886", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Moser Highlands will rise 1.3% (↑) in the next year.This home is valued 2.8% higher (↑) than the median home in Moser Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/520-S-Sleight-St-Naperville-IL-60540/2077806011_zpid/,None,For Sale
98,Single Family,1992,Forced air,Central,2 spaces,0.27 acres,$166,"$525,000","2304 Kalamazoo Dr, Naperville, IL 60565","3,165", No, 4, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in River Woods will increase 1.2% (↑) in the next year.This home is valued 32.5% higher (↑) than the median home in River Woods.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2304-Kalamazoo-Dr-Naperville-IL-60565/5396341_zpid/,,For Sale
99,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$145,"$276,990","Buildable plan: Clark, Emerson Park, Naperville, IL 60564",, Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 35.8% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/emerson-park/2093088006_zpid/,,For Sale
100,Condo,1979,Baseboard,Other,1 space,,$131,"$139,900","1001 N Mill St APT 212, Naperville, IL 60563","1,067", No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 56.5% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1001-N-Mill-St-APT-212-Naperville-IL-60563/4505780_zpid/,$351/month,For Sale
101,Single Family,1999,Forced air,Central,2 spaces,0.29 acres,$156,"$489,900","3024 Tall Grass Dr, Naperville, IL 60564","3,149", No, 4, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tall Grass will increase 0.7% (↑) in the next year.This home is valued 13.6% higher (↑) than the median home in Tall Grass.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3024-Tall-Grass-Dr-Naperville-IL-60564/51401063_zpid/,$58/month,For Sale
102,Townhouse,1993,Gas,Central,2 spaces,"3,413 sqft",$209,"$277,500","54 Townsend Cir, Naperville, IL 60565","1,325", No, 2, 2, 1, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will rise 1.2% (↑) in the next year.This home is valued 30% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/54-Townsend-Cir-Naperville-IL-60565/5396412_zpid/,,For Sale
103,Single Family,No Data,No Data,No Data,2 spaces,No Data,$190,"$453,990","Buildable plan: Newberry, Wagner Farms, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 5.3% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326195_zpid/,,For Sale
104,Townhouse,1993,"Forced air, Gas",Central,2 spaces,No Data,$199,"$349,900","1016 Mattande Ln #1016, Naperville, IL 60540","1,755", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 15.3% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1016-Mattande-Ln-1016-Naperville-IL-60540/2077815232_zpid/,,For Sale
105,Single Family,1996,"Forced air, Gas",Central,3 spaces,0.49 Acres,$170,"$849,900","8S320 Hampton Cir, Naperville, IL 60540","5,005", No, 4, 6, 5, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 105.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/8S320-Hampton-Cir-Naperville-IL-60540/4546677_zpid/,,For Sale
106,Single Family,1950,"Forced air, Gas",Central,2 spaces,"6,098 sqft",$247,"$315,000","1026 N Eagle St, Naperville, IL 60563","1,276", No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Heights will increase 0.9% (↑) in the next year.This home is valued 2% lower (↓) than the median home in Naperville Heights.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1026-N-Eagle-St-Naperville-IL-60563/4505546_zpid/,,For Sale
107,Single Family,1985,Gas,Central,2 spaces,"9,147 sqft",$182,"$475,000","1537 London Ct, Naperville, IL 60563","2,616", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Brookdale will increase 0.9% (↑) in the next year.This home is valued 47.8% higher (↑) than the median home in Brookdale.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1537-London-Ct-Naperville-IL-60563/4502279_zpid/,,For Sale
108,Single Family,1993,"Forced air, Gas",Central,3 spaces,0.35 Acres,$172,"$599,000","3628 Monarch Cir, Naperville, IL 60564","3,481", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will increase 0.7% (↑) in the next year.This home is valued 38.9% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3628-Monarch-Cir-Naperville-IL-60564/4521767_zpid/,,For Sale
109,Single Family,1991,"Forced air, Gas",Central,3 spaces,"10,197 sqft",$195,"$639,900","1008 E Rosewood Ave, Naperville, IL 60563","3,289", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Edgewood will increase 0.9% (↑) in the next year.This home is valued 99.1% higher (↑) than the median home in Edgewood.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1008-E-Rosewood-Ave-Naperville-IL-60563/4527416_zpid/,,For Sale
110,Townhouse,1996,Forced air,Central,1 space,20.73 acres,$155,"$205,000","2130 Fulham Dr, Naperville, IL 60564","1,323", No, 2, 2, 1, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Summerfield will rise 0.7% (↑) in the next year.This home is valued 52.5% lower (↓) than the median home in Summerfield.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2130-Fulham-Dr-Naperville-IL-60564/4523716_zpid/,$231/month,For Sale
111,Townhouse,1997,"Forced air, Gas",Central,2 spaces,28.53 Acres,$157,"$269,900","951 Sheridan Cir, Naperville, IL 60563","1,715", No, 2, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 16% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/951-Sheridan-Cir-Naperville-IL-60563/4502918_zpid/,,For Sale
112,Single Family,2003,Forced air,Central,4 spaces,2.43 acres,$312,"$2,650,000","7S621 Donwood Dr, Naperville, IL 60540","8,496", No, 6, 6, 4, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 541.3% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/7S621-Donwood-Dr-Naperville-IL-60540/4541140_zpid/,None,For Sale
113,Single Family,1997,Forced air,Central,3 spaces,0.47 acres,$173,"$599,900","3543 Scottsdale Cir, Naperville, IL 60564","3,475", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will rise 0.7% (↑) in the next year.This home is valued 39.1% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3543-Scottsdale-Cir-Naperville-IL-60564/5368301_zpid/,$220/month,For Sale
114,Single Family,1989,"Forced air, Gas",Central,3 spaces,0.58 Acres,$162,"$699,900","8S341 Whittington Ct, Naperville, IL 60540","4,326", No, 4, 5, 4, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 69.4% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/8S341-Whittington-Ct-Naperville-IL-60540/4546795_zpid/,,For Sale
115,Single Family,1959,"Forced air, Gas",Central,2 spaces,"10,018 sqft",$192,"$349,900","323 Elmwood Dr, Naperville, IL 60540","1,825", No, 3, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Moser Highlands will rise 1.3% (↑) in the next year.This home is valued 15.3% lower (↓) than the median home in Moser Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/323-Elmwood-Dr-Naperville-IL-60540/4513774_zpid/,,For Sale
116,Single Family,1951,"Forced air, Gas",Central,2 spaces,"6,534 sqft",$137,"$319,900","1015 N Main St, Naperville, IL 60563","2,330", No, 3, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Heights will increase 0.9% (↑) in the next year.This home is valued 0.5% lower (↓) than the median home in Naperville Heights.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1015-N-Main-St-Naperville-IL-60563/4505570_zpid/,,For Sale
117,Condo,1980,Baseboard,No Data,1 space,,$127,"$129,900","521 Kiowa Dr APT 102, Naperville, IL 60565","1,026", No, 2, 2, 2,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will rise 1.2% (↑) in the next year.This home is valued 67.2% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/521-Kiowa-Dr-APT-102-Naperville-IL-60565/171849354_zpid/,$379/month,For Sale
118,Single Family,No Data,No Data,No Data,2 spaces,No Data,$167,"$479,990","Buildable plan: Continental, Wagner Farms, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 11.3% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326201_zpid/,,For Sale
119,Single Family,1890,Forced air,Central,6 spaces,"7,544 sqft",$175,"$329,900","223 N Center St, Naperville, IL 60540","1,880", No, 3, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will rise 1.3% (↑) in the next year.This home is valued 20.2% lower (↓) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/223-N-Center-St-Naperville-IL-60540/4536464_zpid/,,For Sale
120,Townhouse,2019,Forced air,Central,2 spaces,No Data,$193,"$439,990","536 Ursuline Ave, Naperville, IL 60565","2,282", Yes, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will rise 1.2% (↑) in the next year.This home is valued 11% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/536-Ursuline-Ave-Naperville-IL-60565/2077878537_zpid/,$260/month,For Sale
121,Single Family,2005,Gas,Central,3 spaces,"7,840 sqft",$261,"$1,075,000","815 N Webster St, Naperville, IL 60563","4,120", No, 4, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 234.5% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/815-N-Webster-St-Naperville-IL-60563/89179307_zpid/,,For Sale
122,Single Family,2020,Gas,Central,2 spaces,No Data,$178,"$598,622","3507 Gold Cup Ln, Naperville, IL 60564","3,371", Yes, 4, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 38.8% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3507-Gold-Cup-Ln-Naperville-IL-60564/2079256132_zpid/,,For Sale
123,Single Family,1992,Forced air,Central,2 spaces,0.27 acres,$156,"$390,000","1443 Westglen Dr, Naperville, IL 60565","2,504", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in The Villages Of West Glen will rise 1.2% (↑) in the next year.This home is valued 1.6% lower (↓) than the median home in The Villages Of West Glen.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1443-Westglen-Dr-Naperville-IL-60565/4514699_zpid/,$2/month,For Sale
124,Townhouse,2002,"Forced air, Gas",Central,2 spaces,"2,395 sqft",$239,"$619,000","105 Spring Ave, Naperville, IL 60540","2,585", No, 3, 4, 2, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 49.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/105-Spring-Ave-Naperville-IL-60540/59825858_zpid/,,For Sale
125,Single Family,1986,Forced air,Central,2 spaces,"10,454 sqft",$170,"$598,900","1539 Ceals Ct, Naperville, IL 60565","3,529", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Winding Creek Estates will rise 1.2% (↑) in the next year.This home is valued 51.1% higher (↑) than the median home in Winding Creek Estates.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1539-Ceals-Ct-Naperville-IL-60565/4550485_zpid/,$4/month,For Sale
126,Townhouse,2016,"Forced air, Gas",Central,2 spaces,"1,306 sqft",$185,"$287,500","2931 Henley Ln, Naperville, IL 60540","1,555", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 30.4% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/2931-Henley-Ln-Naperville-IL-60540/250838452_zpid/,,For Sale
127,Single Family,2020,Gas,Central,2 spaces,No Data,$289,"$649,900","1915 Enclave LOT 2, Naperville, IL 60564","2,250", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 50.7% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1915-Enclave-LOT-2-Naperville-IL-60564/2077892586_zpid/,,For Sale
128,Single Family,2020,Gas,Central,2 spaces,No Data,$302,"$634,900","1911 Enclave LOT 3, Naperville, IL 60564","2,100", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 47.2% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1911-Enclave-LOT-3-Naperville-IL-60564/2077892675_zpid/,,For Sale
129,Townhouse,2020,No Data,No Data,2 spaces,No Data,$159,"$247,990","Buildable plan: Addison, Emerson Park, Naperville, IL 60564",, Yes, 2, 2, 1, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 42.5% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/emerson-park/2093088005_zpid/,,For Sale
130,Single Family,1985,Forced air,Central,2 spaces,0.35 acres,$192,"$325,000","1350 Leverenz Rd, Naperville, IL 60564","1,694", No, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Spring Brook Crossings will rise 0.7% (↑) in the next year.This home is valued 24.6% lower (↓) than the median home in Spring Brook Crossings.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1350-Leverenz-Rd-Naperville-IL-60564/5366060_zpid/,None,For Sale
131,Townhouse,1996,"Forced air, Gas",Central,2 spaces,No Data,$238,"$550,000","1483 Cress Creek Ct, Naperville, IL 60563","2,313", No, 4, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 71.1% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1483-Cress-Creek-Ct-Naperville-IL-60563/2140162679_zpid/,,For Sale
132,Townhouse,1993,Gas,Central,2 spaces,"2,848 sqft",$203,"$294,900","16 Townsend Cir, Naperville, IL 60565","1,452", No, 2, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 25.6% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/16-Townsend-Cir-Naperville-IL-60565/5396398_zpid/,,For Sale
133,Single Family,1998,"Forced air, Gas",Central,3 spaces,"4,791 sqft",$163,"$460,000","4608 Fesseneva Ct, Naperville, IL 60564","2,814", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Harmony Grove will rise 0.7% (↑) in the next year.This home is valued 6.7% higher (↑) than the median home in Harmony Grove.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4608-Fesseneva-Ct-Naperville-IL-60564/5373255_zpid/,,For Sale
134,Condo,1997,Forced air,Central,Attached Garage,,$146,"$206,900","2821 Kentshire Ct, Naperville, IL 60564","1,414", No, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Summerfield will increase 0.7% (↑) in the next year.This home is valued 52% lower (↓) than the median home in Summerfield.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2821-Kentshire-Ct-Naperville-IL-60564/4523874_zpid/,$234/month,For Sale
135,Townhouse,2020,"Forced air, Gas",Central,2 spaces,No Data,$175,"$389,940","2945 Reflection Dr, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 9.6% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2945-Reflection-Dr-Naperville-IL-60564/2078045424_zpid/,,For Sale
136,Condo,1984,Gas,Central,1 space,,$183,"$239,900","1538 Lighthouse Dr, Naperville, IL 60565","1,314", No, 3, 2, 1, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 39.5% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1538-Lighthouse-Dr-Naperville-IL-60565/4548244_zpid/,$51/month,For Sale
137,Single Family,2012,"Forced air, Solar",Central,3 spaces,"8,276 sqft",$258,"$1,122,500","508 N Main St, Naperville, IL 60563","4,343", No, 4, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 249.3% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/508-N-Main-St-Naperville-IL-60563/111938469_zpid/,,For Sale
138,Single Family,2020,Gas,Central,3 spaces,No Data,$341,"$784,900","1916 Enclave LOT 9, Naperville, IL 60564","2,300", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 82% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1916-Enclave-LOT-9-Naperville-IL-60564/2077930510_zpid/,,For Sale
139,Single Family,1984,Forced air,Central,2 spaces,0.29 acres,$185,"$384,000","1517 E Bailey Rd, Naperville, IL 60565","2,075", No, 3, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in University Heights will increase 1.2% (↑) in the next year.This home is valued 3.1% lower (↓) than the median home in University Heights.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1517-E-Bailey-Rd-Naperville-IL-60565/4547137_zpid/,None,For Sale
140,Townhouse,1997,Gas,Central,2 spaces,28.53 acres,$151,"$259,000","2803 Powell Ct, Naperville, IL 60563","1,715", No, 2, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 19.4% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/2803-Powell-Ct-Naperville-IL-60563/4503000_zpid/,$187/month,For Sale
141,Single Family,2005,"Forced air, Gas",Central,3 spaces,0.37 Acres,$265,"$1,150,000","224 Claremont Dr, Naperville, IL 60540","4,343", No, 4, 5, 4, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 178.3% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/224-Claremont-Dr-Naperville-IL-60540/64441515_zpid/,,For Sale
142,Townhouse,1994,"Other, Gas",Central,1 space,"1,879 sqft",$179,"$230,000","1107 Vail Ct, Naperville, IL 60540","1,288", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 44.3% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1107-Vail-Ct-Naperville-IL-60540/4515045_zpid/,,For Sale
