,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms
55,Condo,1978,Gas,Central,1 space,$217/mo,,$112,"$72,500","10210 Washington Ave #111, Oak Lawn, IL 60453",650, No, 1, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 65.6% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10210-Washington-Ave-111-Oak-Lawn-IL-60453/2078957700_zpid/,
56,Condo,1969,Electric,No Data,2 spaces,$267/mo,,$92,"$109,999","10340 S Pulaski Rd APT 303, Oak Lawn, IL 60453","1,200", No, 2, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 47.8% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10340-S-Pulaski-Rd-APT-303-Oak-Lawn-IL-60453/2085569957_zpid/, 1
57,Condo,1987,Gas,Central,1 space,$286/mo,,$104,"$145,000","4005 W 93rd St APT 4A, Oak Lawn, IL 60453","1,400", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 31.1% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4005-W-93rd-St-APT-4A-Oak-Lawn-IL-60453/4056961_zpid/,
58,Single Family,1959,"Forced air, Other",Central,2 spaces,,"6,534 sqft",,"$240,781","10733 S Kilbourn Ave, Oak Lawn, IL 60453",972, No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 14.4% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10733-S-Kilbourn-Ave-Oak-Lawn-IL-60453/4086355_zpid/,
59,Single Family,1987,Gas,Central,2 spaces,None,"5,623 sqft",$122,"$219,000","9650 Merton Ave, Oak Lawn, IL 60453","1,800", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 4% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9650-Merton-Ave-Oak-Lawn-IL-60453/4065231_zpid/,
60,Single Family,1992,"Baseboard, Gas",Central,2 spaces,,"5,488 sqft",$174,"$218,000","9600 Marion Ave, Oak Lawn, IL 60453","1,250", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 3.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9600-Marion-Ave-Oak-Lawn-IL-60453/4065213_zpid/,
61,Single Family,1977,No Data,Central,2 spaces,,"10,020 sqft",,"$281,205","4308 W 91st Pl, Oak Lawn, IL 60453","1,920", No, 4, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 33.6% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4308-W-91st-Pl-Oak-Lawn-IL-60453/4056516_zpid/,
62,Single Family,1952,"Forced air, Gas",Central,4 spaces,,0.26 Acres,$128,"$329,900","5009 W 99th St, Oak Lawn, IL 60453","2,572", No, 5, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 56.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5009-W-99th-St-Oak-Lawn-IL-60453/4069217_zpid/,
63,Condo,1967,Gas,Central,1 space,$343/month,,$84,"$118,500","10048 S Pulaski Rd APT 3K, Oak Lawn, IL 60453","1,415", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 43.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10048-S-Pulaski-Rd-APT-3K-Oak-Lawn-IL-60453/4072483_zpid/,
64,Condo,1971,Forced air,Central,1 space,$283/month,,,"$113,054","9601 S Karlov Ave APT 101, Oak Lawn, IL 60453","1,000", No, 2, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 46.3% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9601-S-Karlov-Ave-APT-101-Oak-Lawn-IL-60453/4070613_zpid/,
65,Single Family,1942,No Data,Central,No Data,,"5,838 sqft",,"$221,691","5713 W 88th Pl, Oak Lawn, IL 60453","1,299", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 5.3% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5713-W-88th-Pl-Oak-Lawn-IL-60453/4060562_zpid/,
66,Condo,1973,Other,Central,1 space,$440/month,,,"$119,525","5840 W 104th St APT 313, Oak Lawn, IL 60453",, No, 2, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 43.2% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5840-W-104th-St-APT-313-Oak-Lawn-IL-60453/4090237_zpid/,
67,Single Family,1949,"Forced air, Gas",No Data,2 spaces,,"6,124 sqft",$144,"$348,000","5525 W 92nd St, Oak Lawn, IL 60453","2,417", No, 4, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 65.3% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5525-W-92nd-St-Oak-Lawn-IL-60453/4058570_zpid/, 1
68,Single Family,1967,"Forced air, Gas",Central,2 spaces,,"7,501 sqft",$135,"$310,000","4212 W 91st Pl, Oak Lawn, IL 60453","2,295", No, 4, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 47.2% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4212-W-91st-Pl-Oak-Lawn-IL-60453/4056545_zpid/, 1
69,Single Family,1958,No Data,Central,1 space,,"6,534 sqft",,"$239,327","10820 S Kostner Ave, Oak Lawn, IL 60453","1,450", No, 4, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 13.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10820-S-Kostner-Ave-Oak-Lawn-IL-60453/4086427_zpid/,
70,Condo,1992,Gas,Central,1 space,$255/mo,,$109,"$190,900","9201 S Kenton Ave #1-C, Oak Lawn, IL 60453","1,750", No, 2, 3, 3,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 9.3% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9201-S-Kenton-Ave-1-C-Oak-Lawn-IL-60453/2079954721_zpid/,
71,Single Family,1959,"Forced air, Gas",Central,11 spaces,,"6,250 sqft",$105,"$439,900","9321 S 52nd Ave, Oak Lawn, IL 60453","4,200", No, 4, 4, 4,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 108.9% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9321-S-52nd-Ave-Oak-Lawn-IL-60453/4059315_zpid/,
72,Single Family,1956,No Data,No Data,2 spaces,,"5,801 sqft",,"$200,427","5800 W 91st St, Oak Lawn, IL 60453","1,380", No, 3, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 4.8% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5800-W-91st-St-Oak-Lawn-IL-60453/4060943_zpid/,
73,Single Family,1941,No Data,Central,2 spaces,,"7,980 sqft",,"$201,070","4941 W 91st Pl, Oak Lawn, IL 60453","1,494", No, 4, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 4.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4941-W-91st-Pl-Oak-Lawn-IL-60453/4059177_zpid/,
74,Single Family,1970,No Data,Central,2 spaces,,"6,650 sqft",,"$249,818","8736 S 49th Ct, Oak Lawn, IL 60453","1,323", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 18.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/8736-S-49th-Ct-Oak-Lawn-IL-60453/4057723_zpid/,
75,Single Family,1961,Forced air,Central,2 spaces,,"6,873 sqft",,"$241,775","5109 W 105th Pl, Oak Lawn, IL 60453","1,308", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 14.8% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5109-W-105th-Pl-Oak-Lawn-IL-60453/4088067_zpid/,
76,Single Family,1943,Forced air,No Data,None,,"3,750 sqft",,"$148,731","9622 Melvina Ave, Oak Lawn, IL 60453",800, No, 3, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 29.4% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9622-Melvina-Ave-Oak-Lawn-IL-60453/4065286_zpid/,
77,Single Family,1957,Gas,Central,2 spaces,,"6,250 sqft",,"$222,847","4215 Kathleen Ln, Oak Lawn, IL 60453",972, No, 4, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 5.8% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4215-Kathleen-Ln-Oak-Lawn-IL-60453/4086924_zpid/,
78,Single Family,1948,No Data,Central,No Data,,"6,550 sqft",,"$214,862","4312 W 100th St, Oak Lawn, IL 60453","1,530", No, 3, 3,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 2.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4312-W-100th-St-Oak-Lawn-IL-60453/4072946_zpid/,
79,Single Family,1983,Baseboard,Central,2 spaces,,"8,041 sqft",,"$215,888","4705 W 106th Pl, Oak Lawn, IL 60453","2,087", No, 2, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 2.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4705-W-106th-Pl-Oak-Lawn-IL-60453/4084625_zpid/, 1
80,Condo,1969,Other,Refrigeration,1 space,$267/month,,$82,"$112,900","10344 S Pulaski Rd APT 304, Oak Lawn, IL 60453","1,379", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 46.4% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10344-S-Pulaski-Rd-APT-304-Oak-Lawn-IL-60453/4085391_zpid/,
81,Single Family,1954,No Data,Central,1 space,,0.32 acres,,"$248,077","6324 W 92nd St, Oak Lawn, IL 60453","1,735", No, 4, 3,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 17.8% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/6324-W-92nd-St-Oak-Lawn-IL-60453/4061309_zpid/,
82,Condo,1974,"Forced air, Gas",Central,1 space,$242/mo,,$122,"$109,900","10328 S Keating Ave APT 1A, Oak Lawn, IL 60453",900, No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 47.8% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10328-S-Keating-Ave-APT-1A-Oak-Lawn-IL-60453/4084162_zpid/,
83,Single Family,1955,No Data,Central,2 spaces,,0.26 acres,,"$236,916","6200 W 94th St, Oak Lawn, IL 60453","1,651", No, 4, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 12.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/6200-W-94th-St-Oak-Lawn-IL-60453/4061392_zpid/,
84,Single Family,1969,No Data,Central,2 spaces,,"7,600 sqft",,"$255,764","9000 Mcvicker Ave, Oak Lawn, IL 60453","1,260", No, 3, 3,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 21.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9000-Mcvicker-Ave-Oak-Lawn-IL-60453/4059991_zpid/,
85,Single Family,1929,"Forced air, Gas",Central,2 spaces,,"6,316 sqft",,"$80,838","9349 Tulley Ave, Oak Lawn, IL 60453","1,171", No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 61.6% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9349-Tulley-Ave-Oak-Lawn-IL-60453/4059364_zpid/,
86,Single Family,1941,No Data,No Data,No Data,,"3,920 sqft",No Data,"$175,398","9525 Meade Ave, Oak Lawn, IL 60453","1,378", No, 2, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 16.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9525-Meade-Ave-Oak-Lawn-IL-60453/4065152_zpid/,
87,Single Family,1958,No Data,No Data,No Data,,0.29 acres,,"$205,091","9427 Sayre Ave, Oak Lawn, IL 60453","1,474", No, 4, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 2.6% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9427-Sayre-Ave-Oak-Lawn-IL-60453/4062983_zpid/,
88,Single Family,1957,Forced air,Central,1 space,,"6,917 sqft",,"$188,373","9013 S 49th Ct, Oak Lawn, IL 60453","1,100", No, 3, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 10.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9013-S-49th-Ct-Oak-Lawn-IL-60453/4057790_zpid/,
89,Single Family,1977,No Data,Central,2 spaces,,"10,634 sqft",,"$315,285","9212 S Tripp Ave, Oak Lawn, IL 60453","2,534", No, 4, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 49.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9212-S-Tripp-Ave-Oak-Lawn-IL-60453/4056532_zpid/,
90,Single Family,1962,Forced air,Central,2 spaces,,0.26 acres,,"$277,306","10517 Laramie Ave, Oak Lawn, IL 60453","1,782", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 31.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10517-Laramie-Ave-Oak-Lawn-IL-60453/4088003_zpid/,
91,Single Family,1952,No Data,Central,1 space,,"10,125 sqft",,"$195,272","8731 Merrimac Ave, Oak Lawn, IL 60453","1,118", No, 3, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 7.3% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/8731-Merrimac-Ave-Oak-Lawn-IL-60453/4060041_zpid/,
92,Single Family,1962,No Data,No Data,2 spaces,,"10,018 sqft",,"$232,627","6251 W 91st Pl, Oak Lawn, IL 60453","1,103", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 10.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/6251-W-91st-Pl-Oak-Lawn-IL-60453/4061030_zpid/,
93,Single Family,1972,No Data,Central,2 spaces,,"6,250 sqft",,"$229,874","9534 W Shore Dr, Oak Lawn, IL 60453","1,228", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 9.2% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9534-W-Shore-Dr-Oak-Lawn-IL-60453/4067224_zpid/,
94,Single Family,1959,No Data,Central,1 space,,"6,324 sqft",,"$222,227","10101 Kilpatrick Ave, Oak Lawn, IL 60453","1,072", No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 5.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10101-Kilpatrick-Ave-Oak-Lawn-IL-60453/4071881_zpid/,
95,Condo,1969,Electric,Central,2 spaces,$273/month,,,"$112,064","10309 Circle Dr APT 302, Oak Lawn, IL 60453",, No, 2, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 46.8% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10309-Circle-Dr-APT-302-Oak-Lawn-IL-60453/4089612_zpid/, 1
96,Condo,1975,Baseboard,Refrigeration,5 spaces,$275/month,,No Data,"$129,000","10440 Mason Ave APT 100, Oak Lawn, IL 60453",, No, 3, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 38.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10440-Mason-Ave-APT-100-Oak-Lawn-IL-60453/4090285_zpid/, 1
97,Single Family,1967,No Data,Central,2 spaces,,"3,100 sqft",,"$205,246","4917 W 105th St, Oak Lawn, IL 60453","1,260", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 2.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4917-W-105th-St-Oak-Lawn-IL-60453/4087681_zpid/,
98,Single Family,1934,No Data,No Data,2 spaces,,"9,350 sqft",,"$161,149","8761 Central Ave, Oak Lawn, IL 60453","1,034", No, 3, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 23.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/8761-Central-Ave-Oak-Lawn-IL-60453/4057043_zpid/,
99,Single Family,1971,No Data,No Data,No Data,,"3,750 sqft",,"$23,390","10049 Marion Ave, Oak Lawn, IL 60453",, No, 0,,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 88.9% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10049-Marion-Ave-Oak-Lawn-IL-60453/306272137_zpid/,
100,Single Family,1938,Other,None,None,,"3,920 sqft",,"$245,170","9812 Moody Ave, Oak Lawn, IL 60453","2,270", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 16.4% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9812-Moody-Ave-Oak-Lawn-IL-60453/4065641_zpid/,
101,Single Family,1962,No Data,No Data,1 space,,"6,534 sqft",,"$241,668","4909 W 106th Pl, Oak Lawn, IL 60453","1,180", No, 3, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 14.8% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4909-W-106th-Pl-Oak-Lawn-IL-60453/4087812_zpid/,
102,Single Family,1956,No Data,No Data,2 spaces,,"7,482 sqft",,"$234,100","9813 S Kostner Ave, Oak Lawn, IL 60453","1,142", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 11.2% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9813-S-Kostner-Ave-Oak-Lawn-IL-60453/4070791_zpid/,
103,Single Family,1968,No Data,No Data,2 spaces,,"7,425 sqft",,"$229,693","9725 Mayfield Ave, Oak Lawn, IL 60453","1,068", No, 3, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 9.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9725-Mayfield-Ave-Oak-Lawn-IL-60453/4066112_zpid/,
104,Single Family,1957,Forced air,Central,1 space,,"6,873 sqft",,"$196,226","10708 S Keeler Ave, Oak Lawn, IL 60453","1,175", No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 6.8% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10708-S-Keeler-Ave-Oak-Lawn-IL-60453/4086501_zpid/,
105,Single Family,1986,"Forced air, Gas",Central,2 spaces,,"5,619 sqft",$200,"$260,000","10039 Marion Ave, Oak Lawn, IL 60453","1,300", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 23.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10039-Marion-Ave-Oak-Lawn-IL-60453/4066592_zpid/,
106,Single Family,1954,No Data,No Data,1 space,,"6,098 sqft",,"$216,035","9525 Lawton Ave, Oak Lawn, IL 60453","1,170", No, 2, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 2.6% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9525-Lawton-Ave-Oak-Lawn-IL-60453/4067209_zpid/,
107,Single Family,1961,Forced air,Central,2 spaces,,"10,018 sqft",,"$198,916","8817 Moody Ave, Oak Lawn, IL 60453","1,092", No, 3, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 5.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/8817-Moody-Ave-Oak-Lawn-IL-60453/4059792_zpid/,
108,Single Family,1939,No Data,Central,2 spaces,,"3,125 sqft",,"$206,248","9230 S 53rd Ave, Oak Lawn, IL 60453","1,216", No, 3, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 2% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9230-S-53rd-Ave-Oak-Lawn-IL-60453/4058703_zpid/,
109,Condo,1992,No Data,No Data,No Data,$182/month,,,"$84,849","4530 W 93rd St APT 1D, Oak Lawn, IL 60453",, No, 2, 2,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 59.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4530-W-93rd-St-APT-1D-Oak-Lawn-IL-60453/4056446_zpid/,
110,Single Family,1948,Forced air,Central,1 space,,"6,534 sqft",,"$210,735","4041 W 99th St, Oak Lawn, IL 60453",900, No, 4, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 0.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4041-W-99th-St-Oak-Lawn-IL-60453/4072884_zpid/,
111,Condo,1973,Forced air,Central,2 spaces,$187/month,,,"$126,293","10213 S Komensky Ave APT 1G, Oak Lawn, IL 60453","1,300", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 40% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10213-S-Komensky-Ave-APT-1G-Oak-Lawn-IL-60453/4072817_zpid/,
