,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,zip,median_nhv2,Parking_Binned,Bathrooms_adj,address_clean,lat-lng
547,Condo,1960.0,Forced air,Central,1 space,No,199900.0,"6421 N Damen Ave APT 3E, Chicago, IL 60645",, No,3.0,2.0,2.0,"Home values in West Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Rogers Park will rise 1.7% (↑) in the next year.This home is valued 34.2% lower (↓) than the median home in West Rogers Park.The median Zestimate® for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6421-N-Damen-Ave-APT-3E-Chicago-IL-60645/80812598_zpid/,0,60645,303895,Yes,0.0,6421 N Damen Ave Chicago IL 60645,"[41.99866166666666, -87.68005133333332]"
548,Condo,1966.0,"Gas, Other",None,1 space,No,134900.0,"4930 N Lester Ave APT 1C, Chicago, IL 60630",, No,1.0,1.0,1.0,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% (↓) in the next year.This home is valued 55.5% lower (↓) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/4930-N-Lester-Ave-APT-1C-Chicago-IL-60630/2077649465_zpid/,0,60630,303165,Yes,0.0,4930 N Lester Ave Chicago IL 60630,"[41.9706291, -87.76539532559812]"
550,Condo,2008.0,"Forced air, Heat pump",Central,1 space,No,370000.0,"50 E 16th St UNIT 502, Chicago, IL 60616",1122.0, No,1.0,1.0,1.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 1.8% lower (↓) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/50-E-16th-St-UNIT-502-Chicago-IL-60616/113953210_zpid/,0,60616,376901,Yes,0.0,50 E 16th St Chicago IL 60616,"[41.8605063, -87.6251767686465]"
551,Condo,2013.0,"Forced air, Gas",Central,1 space,No,575000.0,"2204 W Chicago Ave APT 2W, Chicago, IL 60622",1700.0, No,3.0,2.0,2.0,"Home values in Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ukrainian Village will rise 2.5% (↑) in the next year.This home is valued 15.1% higher (↑) than the median home in Ukrainian Village.The median Zestimate® for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2204-W-Chicago-Ave-APT-2W-Chicago-IL-60622/124874137_zpid/,0,60622,499489,Yes,0.0,2204 W Chicago Ave Chicago IL 60622,"[41.8960305, -87.6697381]"
552,Condo,1901.0,,None,1 space,No,315000.0,"743 W Wellington Ave #3, Chicago, IL 60657",, No,2.0,1.0,1.0,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% (↓) in the next year.This home is valued 0.2% lower (↓) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/743-W-Wellington-Ave-3-Chicago-IL-60657/3720452_zpid/,0,60657,315541,Yes,0.0,743 W Wellington Ave Chicago IL 60657,"[41.93632381015698, -87.64824128949158]"
553,Condo,1968.0,"Forced air, Other",Central,1 space,No,262000.0,"1555 N Dearborn Pkwy APT 7A, Chicago, IL 60610",894.0, No,1.0,1.0,1.0,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% (↓) in the next year.This home is valued 50.8% lower (↓) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1555-N-Dearborn-Pkwy-APT-7A-Chicago-IL-60610/3855217_zpid/,0,60610,532399,Yes,0.0,1555 N Dearborn Pkwy Chicago IL 60610,"[41.911032399999996, -87.62980493568735]"
554,Condo,2002.0,"Forced air, Gas",Central,1 space,No,350000.0,"116 S Bell Ave APT 1, Chicago, IL 60612",1800.0, No,3.0,3.0,3.0,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% (↑) in the next year.This home is valued 16.8% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/116-S-Bell-Ave-APT-1-Chicago-IL-60612/70474031_zpid/,0,60612,420759,Yes,0.0,116 S Bell Ave Chicago IL 60612,"[41.8793771, -87.68309065204062]"
555,Condo,1923.0,Other,Wall,,No,190000.0,"4894 N Ashland Ave APT 2W, Chicago, IL 60640",733.0, No,2.0,1.0,1.0,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will rise 2% (↑) in the next year.This home is valued 37.4% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4894-N-Ashland-Ave-APT-2W-Chicago-IL-60640/49917565_zpid/,0,60640,303469,No,0.0,4894 N Ashland Ave Chicago IL 60640,"[41.97161661999156, -87.66962370334014]"
556,Single Family,2009.0,Forced air,Central,1 space,Yes,649000.0,"4205 N Mobile Ave, Chicago, IL 60634",4000.0, No,4.0,4.0,3.0,"Home values in Portage Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% (↓) in the next year.This home is valued 123.9% higher (↑) than the median home in Portage Park.The median Zestimate® for this neighborhood is $289,874.",https://www.zillow.com/homedetails/4205-N-Mobile-Ave-Chicago-IL-60634/89913958_zpid/,1,60634,289874,Yes,1.0,"4205 N Mobile Ave, Chicago, IL 60634","[41.9420245, -87.7836497]"
557,Condo,1909.0,Forced air,Central,,No,299000.0,"2054 W Augusta Blvd #1, Chicago, IL 60622",915.0, No,1.0,1.0,1.0,"Home values in Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ukrainian Village will increase 2.5% (↑) in the next year.This home is valued 40.1% lower (↓) than the median home in Ukrainian Village.The median Zestimate® for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2054-W-Augusta-Blvd-1-Chicago-IL-60622/63698236_zpid/,0,60622,499489,No,0.0,2054 W Augusta Blvd Chicago IL 60622,"[41.8998485, -87.6586089]"
558,Single Family,1900.0,Forced air,Central,2 spaces,Yes,349900.0,"1840 N Pulaski Rd, Chicago, IL 60639",2200.0, No,4.0,2.0,2.0,"Home values in Hermosa have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Hermosa will fall 0% (↓) in the next year.This home is valued 40.1% higher (↑) than the median home in Hermosa.The median Zestimate® for this neighborhood is $249,786.",https://www.zillow.com/homedetails/1840-N-Pulaski-Rd-Chicago-IL-60639/3687075_zpid/,0,60639,249786,Yes,0.0,"1840 N Pulaski Rd, Chicago, IL 60639","[41.914834150000004, -87.72673342979682]"
559,Condo,1921.0,Gas,None,1 space,No,275000.0,"1444 W Fargo Ave APT 3W, Chicago, IL 60626",1883.0, No,3.0,2.0,2.0,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will increase 1.4% (↑) in the next year.This home is valued 21.6% higher (↑) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1444-W-Fargo-Ave-APT-3W-Chicago-IL-60626/3568490_zpid/,0,60626,226102,Yes,0.0,1444 W Fargo Ave Chicago IL 60626,"[42.017425700000004, -87.66723878249144]"
560,Condo,1951.0,"Forced air, Gas",Central,,No,209900.0,"4755 N Malden St APT GS, Chicago, IL 60640",, No,2.0,1.0,1.0,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will rise 2% (↑) in the next year.This home is valued 30.8% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4755-N-Malden-St-APT-GS-Chicago-IL-60640/2077650013_zpid/,0,60640,303469,No,0.0,4755 N Malden St Chicago IL 60640,"[41.968815250000006, -87.66254077179681]"
561,Condo,2006.0,"Forced air, Gas",Central,1 space,No,250000.0,"1935 S Archer Ave APT 623, Chicago, IL 60616",800.0, No,1.0,1.0,1.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% (↑) in the next year.This home is valued 33.7% lower (↓) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1935-S-Archer-Ave-APT-623-Chicago-IL-60616/87699551_zpid/,0,60616,376901,Yes,0.0,1935 S Archer Ave Chicago IL 60616,"[41.85621371513307, -87.6276809220583]"
562,Single Family,1910.0,Other,None,2 spaces,Yes,59900.0,"44 E 104th St, Chicago, IL 60628",1200.0, No,5.0,2.0,2.0,"Home values in Roseland have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Roseland will increase 3.9% (↑) in the next year.This home is valued 28.7% lower (↓) than the median home in Roseland.The median Zestimate® for this neighborhood is $83,973.",https://www.zillow.com/homedetails/44-E-104th-St-Chicago-IL-60628/4138426_zpid/,0,60628,83973,Yes,0.0,"44 E 104th St, Chicago, IL 60628","[41.70556935, -87.62178864404295]"
563,Single Family,1916.0,Gas,None,,Yes,140000.0,"7032 S Rockwell St, Chicago, IL 60629",830.0, No,5.0,2.0,2.0,"Home values in Marquette Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Marquette Park will rise 0.3% (↑) in the next year.This home is valued 13.5% lower (↓) than the median home in Marquette Park.The median Zestimate® for this neighborhood is $161,845.",https://www.zillow.com/homedetails/7032-S-Rockwell-St-Chicago-IL-60629/3956543_zpid/,0,60629,161845,No,0.0,"7032 S Rockwell St, Chicago, IL 60629","[41.76543825, -87.68843551728249]"
564,Single Family,1906.0,"Forced air, Gas",None,2 spaces,Yes,119000.0,"251 W 106th Pl, Chicago, IL 60628",1650.0, No,5.0,2.0,2.0,"Home values in Fernwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Fernwood will increase 0.8% (↑) in the next year.This home is valued 29.4% higher (↑) than the median home in Fernwood.The median Zestimate® for this neighborhood is $91,990.",https://www.zillow.com/homedetails/251-W-106th-Pl-Chicago-IL-60628/4142042_zpid/,0,60628,91990,Yes,0.0,"251 W 106th Pl, Chicago, IL 60628","[41.70051375, -87.6301608248393]"
565,Condo,1991.0,"Forced air, Gas",Central,1 space,No,530000.0,"474 N Lake Shore Dr APT 1911, Chicago, IL 60611",1260.0, No,2.0,2.0,2.0,"Home values in Streeterville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% (↓) in the next year.This home is valued 14.2% higher (↑) than the median home in Streeterville.The median Zestimate® for this neighborhood is $463,930.",https://www.zillow.com/homedetails/474-N-Lake-Shore-Dr-APT-1911-Chicago-IL-60611/80855094_zpid/,0,60611,463930,Yes,0.0,474 N Lake Shore Dr Chicago IL 60611,"[41.890834749999996, -87.61477182481485]"
566,Single Family,1965.0,"Forced air, Gas",None,2 spaces,Yes,79900.0,"500 E 92nd St, Chicago, IL 60619",1200.0, No,4.0,2.0,2.0,"Home values in Burnside have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Burnside will rise 2.4% (↑) in the next year.This home is valued 35.5% lower (↓) than the median home in Burnside.The median Zestimate® for this neighborhood is $123,820.",https://www.zillow.com/homedetails/500-E-92nd-St-Chicago-IL-60619/4117577_zpid/,0,60619,123820,Yes,0.0,"500 E 92nd St, Chicago, IL 60619","[41.7276174, -87.61168945]"
567,Single Family,1912.0,"Other, Gas",None,1 space,Yes,97000.0,"311 W 107th St, Chicago, IL 60628",964.0, No,5.0,2.0,2.0,"Home values in Roseland have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Roseland will increase 3.9% (↑) in the next year.This home is valued 15.5% higher (↑) than the median home in Roseland.The median Zestimate® for this neighborhood is $83,973.",https://www.zillow.com/homedetails/311-W-107th-St-Chicago-IL-60628/4142885_zpid/,0,60628,83973,Yes,0.0,"311 W 107th St, Chicago, IL 60628","[41.6995783, -87.63104768561482]"
568,Single Family,1910.0,"Electric, Gas",Central,,Yes,900000.0,"2414 N Kedzie Blvd, Chicago, IL 60647",10000.0, No,6.0,6.0,3.0,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 123% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2414-N-Kedzie-Blvd-Chicago-IL-60647/2083122998_zpid/,3,60647,403670,No,3.0,"2414 N Kedzie Blvd, Chicago, IL 60647","[41.925258400000004, -87.70814383036833]"
569,Condo,2005.0,Forced air,Central,1 space,No,324900.0,"210 S Desplaines St APT 210, Chicago, IL 60661",800.0, No,1.0,1.0,1.0,"Home values in West Loop Gate have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Loop Gate will decrease 0.5% (↓) in the next year.This home is valued 4.1% lower (↓) than the median home in West Loop Gate.The median Zestimate® for this neighborhood is $338,772.",https://www.zillow.com/homedetails/210-S-Desplaines-St-APT-210-Chicago-IL-60661/70472436_zpid/,0,60661,338772,Yes,0.0,210 S Desplaines St Chicago IL 60661,"[41.87893895, -87.64453578539626]"
570,Single Family,1908.0,Forced air,Central,8 spaces,Yes,645000.0,"4539 N Knox Ave, Chicago, IL 60630",2463.0, No,4.0,3.0,2.0,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% (↓) in the next year.This home is valued 60.7% higher (↑) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4539-N-Knox-Ave-Chicago-IL-60630/158458788_zpid/,1,60630,401421,Yes,1.0,"4539 N Knox Ave, Chicago, IL 60630","[41.963723200000004, -87.7435916475255]"
571,Condo,2002.0,"Forced air, Gas",Central,1 space,No,400000.0,"2554 W Logan Blvd APT 101, Chicago, IL 60647",1600.0, No,3.0,2.0,2.0,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 0.9% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2554-W-Logan-Blvd-APT-101-Chicago-IL-60647/63693351_zpid/,0,60647,403670,Yes,0.0,2554 W Logan Blvd Chicago IL 60647,"[41.92907655, -87.692468283288]"
572,Single Family,1924.0,Forced air,Central,7 spaces,Yes,924500.0,"6449 N Nordica Ave, Chicago, IL 60631",4454.0, No,5.0,5.0,4.0,"Home values in Norwood Park East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Norwood Park East will fall 1.2% (↓) in the next year.This home is valued 176.2% higher (↑) than the median home in Norwood Park East.The median Zestimate® for this neighborhood is $334,700.",https://www.zillow.com/homedetails/6449-N-Nordica-Ave-Chicago-IL-60631/3551829_zpid/,1,60631,334700,Yes,1.0,"6449 N Nordica Ave, Chicago, IL 60631","[41.998963950000004, -87.80266623341439]"
573,Condo,2005.0,"Forced air, Gas",Central,1 space,No,599000.0,"330 W Grand Ave APT 2002, Chicago, IL 60654",1777.0, No,2.0,3.0,2.0,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will decrease 0.3% (↓) in the next year.This home is valued 40.9% higher (↑) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/330-W-Grand-Ave-APT-2002-Chicago-IL-60654/80849900_zpid/,1,60654,425048,Yes,1.0,330 W Grand Ave Chicago IL 60654,"[41.8917875, -87.63667136544518]"
574,Condo,2011.0,Forced air,Central,1 space,No,549000.0,"2852 N Racine Ave #2, Chicago, IL 60657",, No,2.0,2.0,2.0,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 1.6% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/2852-N-Racine-Ave-2-Chicago-IL-60657/121067313_zpid/,0,60657,540603,Yes,0.0,2852 N Racine Ave Chicago IL 60657,"[41.934100349999994, -87.65903501488907]"
575,Townhouse,1983.0,Gas,Central,1 space,No,95000.0,"7356 S Coles Ave #F, Chicago, IL 60649",1100.0, No,2.0,2.0,1.0,"Home values in South Shore have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% (↑) in the next year.This home is valued 12.5% lower (↓) than the median home in South Shore.The median Zestimate® for this neighborhood is $108,577.",https://www.zillow.com/homedetails/7356-S-Coles-Ave-F-Chicago-IL-60649/4025177_zpid/,1,60649,108577,Yes,1.0,7356 S Coles Ave Chicago IL 60649,"[41.761802599999996, -87.5610446405557]"
576,Condo,1910.0,Forced air,Central,1 space,No,979900.0,"550 N Kingsbury St APT 606, Chicago, IL 60654",1700.0, No,2.0,2.0,2.0,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will fall 0.3% (↓) in the next year.This home is valued 130.5% higher (↑) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/550-N-Kingsbury-St-APT-606-Chicago-IL-60654/3861957_zpid/,0,60654,425048,Yes,0.0,550 N Kingsbury St Chicago IL 60654,"[41.8919636, -87.64073990989934]"
577,Multi Family,1895.0,Forced air,Central,2 spaces,Yes,1150000.0,"1951 N Dayton St, Chicago, IL 60614",, No,6.0,5.0,5.0,"Home values in Ranch Triangle have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ranch Triangle will decrease 3% (↓) in the next year.This home is valued 61.8% higher (↑) than the median home in Ranch Triangle.The median Zestimate® for this neighborhood is $710,767.",https://www.zillow.com/homedetails/1951-N-Dayton-St-Chicago-IL-60614/2077652629_zpid/,0,60614,710767,Yes,0.0,"1951 N Dayton St, Chicago, IL 60614","[41.91743295, -87.64945611857922]"
578,Multiple Occupancy,2020.0,"Forced air, Gas",Central,3 spaces,Yes,899000.0,"556 E 46th Pl, Chicago, IL 60653",, Yes,6.0,6.0,6.0,"Home values in Bronzeville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bronzeville will rise 2.7% (↑) in the next year.This home is valued 239.2% higher (↑) than the median home in Bronzeville.The median Zestimate® for this neighborhood is $265,069.",https://www.zillow.com/homedetails/556-E-46th-Pl-Chicago-IL-60653/2077652872_zpid/,0,60653,265069,Yes,0.0,"556 E 46th Pl, Chicago, IL 60653","[41.81026882352941, -87.6126294117647]"
579,Condo,2006.0,Forced air,Central,1 space,No,475000.0,"100 E 14th St APT 2509, Chicago, IL 60605",1358.0, No,2.0,2.0,2.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% (↑) in the next year.This home is valued 26% higher (↑) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/100-E-14th-St-APT-2509-Chicago-IL-60605/101211757_zpid/,0,60605,376901,Yes,0.0,100 E 14th St Chicago IL 60605,"[41.864485349999995, -87.62368747497932]"
580,Single Family,1926.0,Gas,Central,2 spaces,Yes,275000.0,"4918 W Drummond Pl, Chicago, IL 60639",1173.0, No,4.0,2.0,2.0,"Home values in Cragin have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Cragin will decrease 1.8% (↓) in the next year.This home is valued 5.4% higher (↑) than the median home in Cragin.The median Zestimate® for this neighborhood is $260,825.",https://www.zillow.com/homedetails/4918-W-Drummond-Pl-Chicago-IL-60639/3674268_zpid/,0,60639,260825,Yes,0.0,"4918 W Drummond Pl, Chicago, IL 60639","[41.92896015, -87.74979865292384]"
581,Multi Family,2020.0,Forced air,None,2 spaces,Yes,799999.0,"1336 N Hamlin Ave, Chicago, IL 60651",, Yes,9.0,5.0,5.0,"Home values in Humboldt Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Humboldt Park will increase 4.2% (↑) in the next year.This home is valued 166.6% higher (↑) than the median home in Humboldt Park.The median Zestimate® for this neighborhood is $300,127.",https://www.zillow.com/homedetails/1336-N-Hamlin-Ave-Chicago-IL-60651/158675574_zpid/,0,60651,300127,Yes,0.0,"1336 N Hamlin Ave, Chicago, IL 60651","[41.90535910204463, -87.72162438623548]"
582,Condo,2020.0,,None,1 space,Yes,480000.0,"Floor plan: One Bedroom, Cirrus Condominiums, Chicago, IL 60601",, Yes,1.0,1.0,1.0,"Home values in New Eastside have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in New Eastside will fall 1.7% (↓) in the next year.This home is valued 2.1% lower (↓) than the median home in New Eastside.The median Zestimate® for this neighborhood is $490,075.",https://www.zillow.com/community/cirrus-condominiums/2083885997_zpid/,0,60601,490075,Yes,0.0,"Floor plan: One Bedroom, Cirrus Condominiums, Chicago, IL 60601",
583,Single Family,1890.0,Other,None,4 spaces,Yes,85000.0,"638 E 65th St, Chicago, IL 60637",1200.0, No,4.0,2.0,2.0,"Home values in West Woodlawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Woodlawn will fall 6.6% (↓) in the next year.This home is valued 21.6% lower (↓) than the median home in West Woodlawn.The median Zestimate® for this neighborhood is $108,444.",https://www.zillow.com/homedetails/638-E-65th-St-Chicago-IL-60637/3999272_zpid/,0,60637,108444,Yes,0.0,"638 E 65th St, Chicago, IL 60637","[41.7769088, -87.60912117279796]"
585,Single Family,1945.0,Gas,Central,1 space,Yes,139000.0,"7617 S Euclid Ave, Chicago, IL 60649",900.0, No,2.0,1.0,1.0,"Home values in South Shore have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Shore will rise 4.3% (↑) in the next year.This home is valued 28% higher (↑) than the median home in South Shore.The median Zestimate® for this neighborhood is $108,577.",https://www.zillow.com/homedetails/7617-S-Euclid-Ave-Chicago-IL-60649/4002608_zpid/,0,60649,108577,Yes,0.0,"7617 S Euclid Ave, Chicago, IL 60649","[41.7643346, -87.5781012]"
586,Single Family,1880.0,Gas,Central,2 spaces,Yes,645000.0,"223 S Hamilton Ave, Chicago, IL 60612",2850.0, No,4.0,4.0,3.0,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 53.3% higher (↑) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/223-S-Hamilton-Ave-Chicago-IL-60612/3874626_zpid/,1,60612,420759,Yes,1.0,"223 S Hamilton Ave, Chicago, IL 60612","[41.8779571, -87.6799533530507]"
587,Condo,2001.0,"Forced air, Gas",Central,2 spaces,No,574900.0,"1140 N Milwaukee Ave APT 4, Chicago, IL 60642",1600.0, No,2.0,2.0,2.0,"Home values in Noble Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Noble Square will fall 0.4% (↓) in the next year.This home is valued 18.1% higher (↑) than the median home in Noble Square.The median Zestimate® for this neighborhood is $486,715.",https://www.zillow.com/homedetails/1140-N-Milwaukee-Ave-APT-4-Chicago-IL-60642/60266478_zpid/,0,60642,486715,Yes,0.0,1140 N Milwaukee Ave Chicago IL 60642,"[41.90233795, -87.66529445344472]"
588,Single Family,1985.0,"Forced air, Gas",Central,2 spaces,Yes,349900.0,"3214 N Osage Ave, Chicago, IL 60634",1200.0, No,3.0,2.0,2.0,"Home values in Belmont Heights have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Belmont Heights will fall 3.5% (↓) in the next year.This home is valued 32.4% higher (↑) than the median home in Belmont Heights.The median Zestimate® for this neighborhood is $264,290.",https://www.zillow.com/homedetails/3214-N-Osage-Ave-Chicago-IL-60634/3599153_zpid/,0,60634,264290,Yes,0.0,"3214 N Osage Ave, Chicago, IL 60634","[41.93829235, -87.82537609551389]"
589,Single Family,1925.0,Forced air,Central,2 spaces,Yes,285000.0,"7625 S Indiana Ave, Chicago, IL 60619",2500.0, No,4.0,3.0,3.0,"Home values in Chatham have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Chatham will fall 5.4% (↓) in the next year.This home is valued 115.1% higher (↑) than the median home in Chatham.The median Zestimate® for this neighborhood is $132,482.",https://www.zillow.com/homedetails/7625-S-Indiana-Ave-Chicago-IL-60619/4005579_zpid/,0,60619,132482,Yes,0.0,"7625 S Indiana Ave, Chicago, IL 60619","[41.7557179, -87.61951723345481]"
590,Condo,1920.0,"Forced air, Gas",Central,,No,265000.0,"3301 N Ridgeway Ave #2S, Chicago, IL 60618",950.0, No,2.0,2.0,2.0,"Home values in Avondale have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Avondale will rise 0% (↑) in the next year.This home is valued 32.9% lower (↓) than the median home in Avondale.The median Zestimate® for this neighborhood is $394,918.",https://www.zillow.com/homedetails/3301-N-Ridgeway-Ave-2S-Chicago-IL-60618/70458670_zpid/,0,60618,394918,No,0.0,3301 N Ridgeway Ave Chicago IL 60618,"[41.9411403, -87.72070124549487]"
591,Single Family,2005.0,Gas,Central,2 spaces,Yes,450000.0,"5202 W Strong St, Chicago, IL 60630",2342.0, No,4.0,3.0,3.0,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% (↓) in the next year.This home is valued 48.4% higher (↑) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5202-W-Strong-St-Chicago-IL-60630/65557634_zpid/,0,60630,303165,Yes,0.0,"5202 W Strong St, Chicago, IL 60630","[41.9708978, -87.75787754493041]"
592,Single Family,1885.0,Forced air,Central,,Yes,50000.0,"10221 S Emerald Ave, Chicago, IL 60628",1500.0, No,3.0,2.0,1.0,"Home values in Fernwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Fernwood will increase 0.8% (↑) in the next year.This home is valued 45.6% lower (↓) than the median home in Fernwood.The median Zestimate® for this neighborhood is $91,990.",https://www.zillow.com/homedetails/10221-S-Emerald-Ave-Chicago-IL-60628/4131866_zpid/,1,60628,91990,No,1.0,"10221 S Emerald Ave, Chicago, IL 60628","[41.70808365, -87.64138063479706]"
593,Condo,2005.0,,None,1 space,Yes,2900000.0,"Floor plan: Four Bedroom, Cirrus Condominiums, Chicago, IL 60601",, Yes,4.0,4.0,4.0,"Home values in New Eastside have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in New Eastside will decrease 1.7% (↓) in the next year.This home is valued 491.7% higher (↑) than the median home in New Eastside.The median Zestimate® for this neighborhood is $490,075.",https://www.zillow.com/community/cirrus-condominiums/2083885995_zpid/,0,60601,490075,Yes,0.0,"Floor plan: Four Bedroom, Cirrus Condominiums, Chicago, IL 60601",
594,Single Family,1890.0,,None,,Yes,39900.0,"8521 S May St, Chicago, IL 60620",1177.0, No,4.0,2.0,2.0,"Home values in Gresham have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% (↓) in the next year.This home is valued 68.4% lower (↓) than the median home in Gresham.The median Zestimate® for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8521-S-May-St-Chicago-IL-60620/4016303_zpid/,0,60620,126118,No,0.0,"8521 S May St, Chicago, IL 60620","[41.73892495, -87.65196985]"
595,Condo,2008.0,Forced air,Central,1 space,No,629000.0,"520 S State St APT 1209, Chicago, IL 60605",1805.0, No,3.0,2.0,2.0,"Home values in Printers Row have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Printers Row will increase 0.5% (↑) in the next year.This home is valued 134.7% higher (↑) than the median home in Printers Row.The median Zestimate® for this neighborhood is $267,990.",https://www.zillow.com/homedetails/520-S-State-St-APT-1209-Chicago-IL-60605/101396125_zpid/,0,60605,267990,Yes,0.0,520 S State St Chicago IL 60605,"[41.875424, -87.6278611]"
