,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,zip,median_nhv,Parking_Binned,cool_temp,Bathrooms_adj
506,Condo,1920.0,Gas,None,,No,349000.0,"735 W Wellington Ave #3, Chicago, IL 60657",1000.0, No,2.0,2.0,2.0,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% (↓) in the next year.This home is valued 10.6% higher (↑) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/735-W-Wellington-Ave-3-Chicago-IL-60657/3720464_zpid/,0,60657,348750.0,No,None,0.0
507,Condo,2004.0,Forced air,Central,1 space,No,279000.0,"6116 S University Ave APT 2S, Chicago, IL 60637",1700.0, No,3.0,2.0,2.0,"Home values in Woodlawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Woodlawn will fall 1.4% (↓) in the next year.This home is valued 56.1% higher (↑) than the median home in Woodlawn.The median Zestimate® for this neighborhood is $178,718.",https://www.zillow.com/homedetails/6116-S-University-Ave-APT-2S-Chicago-IL-60637/2119994882_zpid/,0,60637,289000.0,Yes,Central,0.0
508,Multi Family,1998.0,Gas,None,2 spaces,Yes,435000.0,"3506 W Mclean Ave, Chicago, IL 60647",, No,7.0,3.0,3.0,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% (↑) in the next year.This home is valued 7.8% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/3506-W-Mclean-Ave-Chicago-IL-60647/2085473639_zpid/,0,60647,435000.0,Yes,None,0.0
509,Single Family,1920.0,Gas,Central,2 spaces,Yes,409000.0,"939 N Pine Ave, Chicago, IL 60651",2400.0, No,5.0,3.0,3.0,"Home values in South Austin have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Austin will rise 3.4% (↑) in the next year.This home is valued 141.3% higher (↑) than the median home in South Austin.The median Zestimate® for this neighborhood is $169,507.",https://www.zillow.com/homedetails/939-N-Pine-Ave-Chicago-IL-60651/3797123_zpid/,0,60651,367000.0,Yes,Central,0.0
510,Condo,1943.0,Forced air,Central,1 space,No,429000.0,"1201 W Diversey Pkwy APT 2A, Chicago, IL 60614",1750.0, No,2.0,3.0,2.0,"Home values in Wrightwood Neighbors have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wrightwood Neighbors will fall 0.5% (↓) in the next year.This home is valued 36.7% lower (↓) than the median home in Wrightwood Neighbors.The median Zestimate® for this neighborhood is $677,229.",https://www.zillow.com/homedetails/1201-W-Diversey-Pkwy-APT-2A-Chicago-IL-60614/3729284_zpid/,1,60614,575000.0,Yes,Central,1.0
511,Condo,1974.0,Electric,None,2 spaces,No,379000.0,"155 N Harbor Dr APT 4404, Chicago, IL 60601",1000.0, No,1.0,2.0,1.0,"Home values in New Eastside have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in New Eastside will fall 1.7% (↓) in the next year.This home is valued 22.7% lower (↓) than the median home in New Eastside.The median Zestimate® for this neighborhood is $490,075.",https://www.zillow.com/homedetails/155-N-Harbor-Dr-APT-4404-Chicago-IL-60601/3870549_zpid/,1,60601,507500.0,Yes,None,1.0
512,Condo,2002.0,Forced air,Central,1 space,No,334999.0,"1524 S Sangamon St UNIT 407, Chicago, IL 60608",1300.0, No,2.0,2.0,2.0,"Home values in University Village - Little Italy have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% (↓) in the next year.This home is valued 4.6% lower (↓) than the median home in University Village - Little Italy.The median Zestimate® for this neighborhood is $351,164.",https://www.zillow.com/homedetails/1524-S-Sangamon-St-UNIT-407-Chicago-IL-60608/65571967_zpid/,0,60608,335000.0,Yes,Central,0.0
513,Single Family,1895.0,Gas,Central,1 space,Yes,195900.0,"571 N Long Ave, Chicago, IL 60644",1512.0, No,3.0,3.0,1.0,"Home values in South Austin have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Austin will rise 3.4% (↑) in the next year.This home is valued 15.6% higher (↑) than the median home in South Austin.The median Zestimate® for this neighborhood is $169,507.",https://www.zillow.com/homedetails/571-N-Long-Ave-Chicago-IL-60644/3808555_zpid/,2,60644,210450.0,Yes,Central,2.0
514,Condo,2006.0,Forced air,Central,1 space,No,505000.0,"1332 N Wolcott Ave #3, Chicago, IL 60622",2450.0, No,2.0,2.0,2.0,"Home values in Wicker Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% (↑) in the next year.This home is valued 13.8% lower (↓) than the median home in Wicker Park.The median Zestimate® for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1332-N-Wolcott-Ave-3-Chicago-IL-60622/87698475_zpid/,0,60622,582500.0,Yes,Central,0.0
515,Condo,2012.0,Forced air,Central,,No,279999.0,"4501 N Magnolia Ave #1S, Chicago, IL 60640",1400.0, No,2.0,2.0,2.0,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will rise 2% (↑) in the next year.This home is valued 7.7% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4501-N-Magnolia-Ave-1S-Chicago-IL-60640/49917735_zpid/,0,60640,220000.0,No,Central,0.0
516,Condo,2020.0,Forced air,Central,1 space,No,595000.0,"1717 N Humboldt Blvd #3S, Chicago, IL 60647",1652.0, Yes,3.0,2.0,2.0,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% (↑) in the next year.This home is valued 47.4% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1717-N-Humboldt-Blvd-3S-Chicago-IL-60647/2077647635_zpid/,0,60647,425000.0,Yes,Central,0.0
517,Condo,1929.0,"Forced air, Gas",Central,,No,259900.0,"3809 N Campbell Ave #1, Chicago, IL 60618",918.0, No,2.0,1.0,1.0,"Home values in North Center have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in North Center will rise 1.3% (↑) in the next year.This home is valued 66% lower (↓) than the median home in North Center.The median Zestimate® for this neighborhood is $765,003.",https://www.zillow.com/homedetails/3809-N-Campbell-Ave-1-Chicago-IL-60618/58359454_zpid/,0,60618,295000.0,No,Central,0.0
518,Multi Family,1910.0,Gas,None,2 spaces,Yes,239000.0,"6339 S Saint Lawrence Ave, Chicago, IL 60637",2156.0, No,6.0,2.0,2.0,"Home values in West Woodlawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Woodlawn will decrease 6.6% (↓) in the next year.This home is valued 120.4% higher (↑) than the median home in West Woodlawn.The median Zestimate® for this neighborhood is $108,444.",https://www.zillow.com/homedetails/6339-S-Saint-Lawrence-Ave-Chicago-IL-60637/2134619852_zpid/,0,60637,549000.0,Yes,None,0.0
519,Condo,2014.0,Forced air,Central,1 space,No,799500.0,"1508 W Huron St #3E, Chicago, IL 60642",, No,3.0,2.0,2.0,"Home values in West Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Town will increase 1.7% (↑) in the next year.This home is valued 57.5% higher (↑) than the median home in West Town.The median Zestimate® for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1508-W-Huron-St-3E-Chicago-IL-60642/159464358_zpid/,0,60642,424900.0,Yes,Central,0.0
520,Condo,1912.0,"Forced air, Gas",Central,,No,225000.0,"801 S Wells St APT 208, Chicago, IL 60607",1175.0, No,1.0,1.0,1.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% (↑) in the next year.This home is valued 40.3% lower (↓) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/801-S-Wells-St-APT-208-Chicago-IL-60607/49910749_zpid/,0,60607,562450.0,No,Central,0.0
521,Condo,1927.0,Radiant,Central,2 spaces,No,749000.0,"3800 N Lake Shore Dr #14D, Chicago, IL 60613",2200.0, No,3.0,3.0,3.0,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% (↓) in the next year.This home is valued 137.4% higher (↑) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/3800-N-Lake-Shore-Dr-14D-Chicago-IL-60613/3714308_zpid/,0,60613,331950.0,Yes,Central,0.0
522,Single Family,1876.0,Forced air,Central,,Yes,725000.0,"1639 N Sedgwick St, Chicago, IL 60614",1608.0, No,3.0,2.0,2.0,"Home values in 60614 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% (↓) in the next year.This home is valued 13.6% higher (↑) than the median home in Old Town Triangle.The median Zestimate® for this neighborhood is $638,027.",https://www.zillow.com/homedetails/1639-N-Sedgwick-St-Chicago-IL-60614/3742716_zpid/,0,60614,2000000.0,No,Central,0.0
523,Multiple Occupancy,1885.0,"Forced air, Gas",Central,2 spaces,Yes,800000.0,"1742 W North Ave, Chicago, IL 60622",, No,3.0,2.0,2.0,"Home values in Bucktown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bucktown will increase 0.5% (↑) in the next year.This home is valued 33.1% higher (↑) than the median home in Bucktown.The median Zestimate® for this neighborhood is $601,188.",https://www.zillow.com/homedetails/1742-W-North-Ave-Chicago-IL-60622/2099102741_zpid/,0,60622,662500.0,Yes,Central,0.0
524,Single Family,1940.0,Forced air,Central,4 spaces,Yes,459000.0,"6976 W Barry Ave, Chicago, IL 60634",3000.0, No,4.0,2.0,2.0,"Home values in Montclare have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Montclare will fall 2.1% (↓) in the next year.This home is valued 78.6% higher (↑) than the median home in Montclare.The median Zestimate® for this neighborhood is $256,941.",https://www.zillow.com/homedetails/6976-W-Barry-Ave-Chicago-IL-60634/3677488_zpid/,0,60634,339950.0,Yes,Central,0.0
525,Single Family,1944.0,Gas,None,2 spaces,Yes,210000.0,"9640 S Woodlawn Ave, Chicago, IL 60628",1920.0, No,3.0,2.0,2.0,"Home values in 60628 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Cottage Grove Heights will fall 2.7% (↓) in the next year.This home is valued 104.5% higher (↑) than the median home in Cottage Grove Heights.The median Zestimate® for this neighborhood is $102,671.",https://www.zillow.com/homedetails/9640-S-Woodlawn-Ave-Chicago-IL-60628/4134999_zpid/,0,60628,124450.0,Yes,None,0.0
526,Condo,1971.0,,Central,1 space,No,144900.0,"5415 N Sheridan Rd APT 4208, Chicago, IL 60640",770.0, No,1.0,1.0,1.0,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will rise 1.3% (↑) in the next year.This home is valued 40.2% lower (↓) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/5415-N-Sheridan-Rd-APT-4208-Chicago-IL-60640/3700584_zpid/,0,60640,220000.0,Yes,Central,0.0
527,Condo,2006.0,"Forced air, Gas",Central,2 spaces,No,389900.0,"1645 W Ogden Ave UNIT 608, Chicago, IL 60612",1200.0, No,2.0,2.0,2.0,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 7.3% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1645-W-Ogden-Ave-UNIT-608-Chicago-IL-60612/87691710_zpid/,0,60612,275000.0,Yes,Central,0.0
528,Condo,1974.0,Forced air,Central,1 space,No,229900.0,"5855 N Sheridan Rd APT 14E, Chicago, IL 60660",1050.0, No,1.0,1.0,1.0,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will rise 1.3% (↑) in the next year.This home is valued 5.1% lower (↓) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/5855-N-Sheridan-Rd-APT-14E-Chicago-IL-60660/3693915_zpid/,0,60660,269900.0,Yes,Central,0.0
529,Condo,1913.0,Forced air,Central,1 space,No,330500.0,"2706 W Evergreen Ave APT 3, Chicago, IL 60622",1200.0, No,2.0,2.0,2.0,"Home values in Humboldt Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% (↑) in the next year.This home is valued 10.1% higher (↑) than the median home in Humboldt Park.The median Zestimate® for this neighborhood is $300,127.",https://www.zillow.com/homedetails/2706-W-Evergreen-Ave-APT-3-Chicago-IL-60622/70463081_zpid/,0,60622,582500.0,Yes,Central,0.0
530,Condo,2009.0,Gas,Central,1 space,No,850000.0,"225 N Columbus Dr UNIT 6606, Chicago, IL 60601",1218.0, No,2.0,2.0,2.0,"Home values in New Eastside have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in New Eastside will fall 1.7% (↓) in the next year.This home is valued 73.4% higher (↑) than the median home in New Eastside.The median Zestimate® for this neighborhood is $490,075.",https://www.zillow.com/homedetails/225-N-Columbus-Dr-UNIT-6606-Chicago-IL-60601/2078288583_zpid/,0,60601,507500.0,Yes,Central,0.0
531,Condo,2006.0,Gas,Central,1 space,No,320000.0,"1600 S Prairie Ave UNIT 1606, Chicago, IL 60616",1111.0, No,1.0,2.0,1.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 15.1% lower (↓) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1600-S-Prairie-Ave-UNIT-1606-Chicago-IL-60616/119088900_zpid/,1,60616,320000.0,Yes,Central,1.0
532,Condo,1998.0,Forced air,Central,1 space,No,140000.0,"6755 W 63rd St UNIT A3N, Chicago, IL 60638",1000.0, No,2.0,1.0,1.0,"Home values in Clearing have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Clearing will increase 3.9% (↑) in the next year.This home is valued 39.3% lower (↓) than the median home in Clearing.The median Zestimate® for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6755-W-63rd-St-UNIT-A3N-Chicago-IL-60638/58370802_zpid/,0,60638,131750.0,Yes,Central,0.0
533,Single Family,1997.0,"Forced air, Gas",Central,2 spaces,Yes,899000.0,"1659 W Erie St, Chicago, IL 60622",3580.0, No,4.0,4.0,3.0,"Home values in West Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% (↑) in the next year.This home is valued 77.2% higher (↑) than the median home in West Town.The median Zestimate® for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1659-W-Erie-St-Chicago-IL-60622/49911584_zpid/,1,60622,1195000.0,Yes,Central,1.0
534,Multiple Occupancy,1930.5,Gas,None,,Yes,55000.0,"7032 S Saint Lawrence Ave, Chicago, IL 60637",, No,6.0,2.0,2.0,"Home values in Park Manor have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Park Manor will increase 8.1% (↑) in the next year.This home is valued 45.3% lower (↓) than the median home in Park Manor.The median Zestimate® for this neighborhood is $100,555.",https://www.zillow.com/homedetails/7032-S-Saint-Lawrence-Ave-Chicago-IL-60637/2077648749_zpid/,0,60637,147450.0,No,None,0.0
535,Condo,1989.0,Forced air,Central,1 space,No,469000.0,"1122 N Clark St APT 3308, Chicago, IL 60610",1260.0, No,2.0,2.0,2.0,"Home values in Near North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near North will fall 0% (↓) in the next year.This home is valued 20.3% higher (↑) than the median home in Near North.The median Zestimate® for this neighborhood is $390,006.",https://www.zillow.com/homedetails/1122-N-Clark-St-APT-3308-Chicago-IL-60610/58364479_zpid/,0,60610,299900.0,Yes,Central,0.0
536,Single Family,1929.0,Gas,None,2 spaces,Yes,180000.0,"3918 W 62nd St, Chicago, IL 60629",1279.0, No,4.0,2.0,1.0,"Home values in West Lawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Lawn will rise 1.5% (↑) in the next year.This home is valued 11.8% lower (↓) than the median home in West Lawn.The median Zestimate® for this neighborhood is $204,144.",https://www.zillow.com/homedetails/3918-W-62nd-St-Chicago-IL-60629/3936205_zpid/,1,60629,182500.0,Yes,None,1.0
537,Condo,2003.0,"Forced air, Gas",Central,2 spaces,No,325000.0,"5250 N Lincoln Ave APT 3A, Chicago, IL 60625",1500.0, No,2.0,2.0,2.0,"Home values in Budlong Woods have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Budlong Woods will rise 1.9% (↑) in the next year.This home is valued 2.4% higher (↑) than the median home in Budlong Woods.The median Zestimate® for this neighborhood is $317,495.",https://www.zillow.com/homedetails/5250-N-Lincoln-Ave-APT-3A-Chicago-IL-60625/65557777_zpid/,0,60625,244500.0,Yes,Central,0.0
538,Condo,2007.0,"Forced air, Gas",Central,1 space,No,625000.0,"3548 N Reta Ave APT 4N, Chicago, IL 60657",1700.0, No,3.0,2.0,2.0,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 15.6% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3548-N-Reta-Ave-APT-4N-Chicago-IL-60657/2118939514_zpid/,0,60657,348750.0,Yes,Central,0.0
539,Condo,1929.0,"Forced air, Gas",Central,1 space,No,274950.0,"758 N Larrabee St APT 425, Chicago, IL 60654",, No,1.0,1.0,1.0,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will fall 0.3% (↓) in the next year.This home is valued 35.3% lower (↓) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/758-N-Larrabee-St-APT-425-Chicago-IL-60654/63698881_zpid/,0,60654,365000.0,Yes,Central,0.0
540,Condo,1922.5,Forced air,Central,,No,200000.0,"1434 W Lunt Ave #1N, Chicago, IL 60626",950.0, No,2.0,2.0,2.0,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% (↑) in the next year.This home is valued 11.5% lower (↓) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1434-W-Lunt-Ave-1N-Chicago-IL-60626/2146710256_zpid/,0,60626,194900.0,No,Central,0.0
541,Condo,1969.0,,None,,No,150000.0,"1404 W Thorndale Ave APT 1, Chicago, IL 60660",, No,2.0,1.0,1.0,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will rise 1.3% (↑) in the next year.This home is valued 38.1% lower (↓) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/1404-W-Thorndale-Ave-APT-1-Chicago-IL-60660/2077648828_zpid/,0,60660,269900.0,No,None,0.0
542,Condo,1969.0,Forced air,Refrigeration,,No,229900.0,"2921 S Michigan Ave APT 506, Chicago, IL 60616",1909.0, No,3.0,3.0,2.0,"Home values in 60616 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Commons will increase 1.9% (↑) in the next year.This home is valued 36.7% lower (↓) than the median home in South Commons.The median Zestimate® for this neighborhood is $363,239.",https://www.zillow.com/homedetails/2921-S-Michigan-Ave-APT-506-Chicago-IL-60616/60204407_zpid/,1,60616,320000.0,No,Refrigeration,1.0
543,Single Family,1928.0,"Forced air, Gas",Central,2 spaces,Yes,549900.0,"5322 N Ludlam Ave, Chicago, IL 60630",1096.0, No,3.0,4.0,3.0,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% (↓) in the next year.This home is valued 81.4% higher (↑) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5322-N-Ludlam-Ave-Chicago-IL-60630/3636456_zpid/,1,60630,450000.0,Yes,Central,1.0
544,Single Family,1952.0,Forced air,Central,6 spaces,Yes,199900.0,"(Undisclosed Address), Chicago, IL 60655",1390.0, No,3.0,1.0,1.0,"Home values in Mount Greenwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Mount Greenwood will rise 1.5% (↑) in the next year.This home is valued 17.7% lower (↓) than the median home in Mount Greenwood.The median Zestimate® for this neighborhood is $242,860.",https://www.zillow.com/homedetails/Chicago-IL-60655/2077649115_zpid/,0,60655,315000.0,Yes,Central,0.0
545,Single Family,1915.0,Gas,None,1 space,Yes,450000.0,"4617 N Kostner Ave, Chicago, IL 60630",1605.0, No,4.0,2.0,2.0,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% (↓) in the next year.This home is valued 12.1% higher (↑) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4617-N-Kostner-Ave-Chicago-IL-60630/3646156_zpid/,0,60630,450000.0,Yes,None,0.0
546,Condo,1912.0,Forced air,Central,,No,339000.0,"801 S Wells St APT 301, Chicago, IL 60607",1300.0, No,2.0,1.0,1.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 10.1% lower (↓) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/801-S-Wells-St-APT-301-Chicago-IL-60607/49910700_zpid/,0,60607,562450.0,No,Central,0.0
547,Condo,1960.0,Forced air,Central,1 space,No,199900.0,"6421 N Damen Ave APT 3E, Chicago, IL 60645",, No,3.0,2.0,2.0,"Home values in West Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Rogers Park will rise 1.7% (↑) in the next year.This home is valued 34.2% lower (↓) than the median home in West Rogers Park.The median Zestimate® for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6421-N-Damen-Ave-APT-3E-Chicago-IL-60645/80812598_zpid/,0,60645,204950.0,Yes,Central,0.0
548,Condo,1966.0,"Gas, Other",None,1 space,No,134900.0,"4930 N Lester Ave APT 1C, Chicago, IL 60630",, No,1.0,1.0,1.0,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% (↓) in the next year.This home is valued 55.5% lower (↓) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/4930-N-Lester-Ave-APT-1C-Chicago-IL-60630/2077649465_zpid/,0,60630,152450.0,Yes,None,0.0
550,Condo,2008.0,"Forced air, Heat pump",Central,1 space,No,370000.0,"50 E 16th St UNIT 502, Chicago, IL 60616",1122.0, No,1.0,1.0,1.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 1.8% lower (↓) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/50-E-16th-St-UNIT-502-Chicago-IL-60616/113953210_zpid/,0,60616,320000.0,Yes,Central,0.0
551,Condo,2013.0,"Forced air, Gas",Central,1 space,No,575000.0,"2204 W Chicago Ave APT 2W, Chicago, IL 60622",1700.0, No,3.0,2.0,2.0,"Home values in Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ukrainian Village will rise 2.5% (↑) in the next year.This home is valued 15.1% higher (↑) than the median home in Ukrainian Village.The median Zestimate® for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2204-W-Chicago-Ave-APT-2W-Chicago-IL-60622/124874137_zpid/,0,60622,582500.0,Yes,Central,0.0
552,Condo,1901.0,,None,1 space,No,315000.0,"743 W Wellington Ave #3, Chicago, IL 60657",, No,2.0,1.0,1.0,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% (↓) in the next year.This home is valued 0.2% lower (↓) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/743-W-Wellington-Ave-3-Chicago-IL-60657/3720452_zpid/,0,60657,348750.0,Yes,None,0.0
553,Condo,1968.0,"Forced air, Other",Central,1 space,No,262000.0,"1555 N Dearborn Pkwy APT 7A, Chicago, IL 60610",894.0, No,1.0,1.0,1.0,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% (↓) in the next year.This home is valued 50.8% lower (↓) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1555-N-Dearborn-Pkwy-APT-7A-Chicago-IL-60610/3855217_zpid/,0,60610,299900.0,Yes,Central,0.0
554,Condo,2002.0,"Forced air, Gas",Central,1 space,No,350000.0,"116 S Bell Ave APT 1, Chicago, IL 60612",1800.0, No,3.0,3.0,3.0,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% (↑) in the next year.This home is valued 16.8% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/116-S-Bell-Ave-APT-1-Chicago-IL-60612/70474031_zpid/,0,60612,275000.0,Yes,Central,0.0
555,Condo,1923.0,Other,Wall,,No,190000.0,"4894 N Ashland Ave APT 2W, Chicago, IL 60640",733.0, No,2.0,1.0,1.0,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will rise 2% (↑) in the next year.This home is valued 37.4% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4894-N-Ashland-Ave-APT-2W-Chicago-IL-60640/49917565_zpid/,0,60640,220000.0,No,Wall,0.0
556,Single Family,2009.0,Forced air,Central,1 space,Yes,649000.0,"4205 N Mobile Ave, Chicago, IL 60634",4000.0, No,4.0,4.0,3.0,"Home values in Portage Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% (↓) in the next year.This home is valued 123.9% higher (↑) than the median home in Portage Park.The median Zestimate® for this neighborhood is $289,874.",https://www.zillow.com/homedetails/4205-N-Mobile-Ave-Chicago-IL-60634/89913958_zpid/,1,60634,339950.0,Yes,Central,1.0
557,Condo,1909.0,Forced air,Central,,No,299000.0,"2054 W Augusta Blvd #1, Chicago, IL 60622",915.0, No,1.0,1.0,1.0,"Home values in Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ukrainian Village will increase 2.5% (↑) in the next year.This home is valued 40.1% lower (↓) than the median home in Ukrainian Village.The median Zestimate® for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2054-W-Augusta-Blvd-1-Chicago-IL-60622/63698236_zpid/,0,60622,582500.0,No,Central,0.0
558,Single Family,1900.0,Forced air,Central,2 spaces,Yes,349900.0,"1840 N Pulaski Rd, Chicago, IL 60639",2200.0, No,4.0,2.0,2.0,"Home values in Hermosa have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Hermosa will fall 0% (↓) in the next year.This home is valued 40.1% higher (↑) than the median home in Hermosa.The median Zestimate® for this neighborhood is $249,786.",https://www.zillow.com/homedetails/1840-N-Pulaski-Rd-Chicago-IL-60639/3687075_zpid/,0,60639,277000.0,Yes,Central,0.0
