,Type,Year built,Heating,Cooling,Parking,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
184,Townhouse,2020,Gas,Central,2 spaces,"$569,000","239 E 33rd Blvd, Chicago, IL 60616", Yes,4,4.0,3.0,"Home values in The Gap have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Gap will increase 1.3% () in the next year.This home is valued 48.6% higher () than the median home in The Gap.The median Zestimate for this neighborhood is $382,923.",https://www.zillow.com/homedetails/239-E-33rd-Blvd-Chicago-IL-60616/2077633370_zpid/,No Data,"2,600",None,1.0,For Sale
185,Condo,2009,"Forced air, Gas",Central,2 spaces,"$1,075,000","1201 S Prairie Ave APT 3903, Chicago, IL 60605", No,3,2.0,2.0,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 185.2% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-3903-Chicago-IL-60605/113958053_zpid/,,"1,750","$1,196/mo",,For Sale
186,Condo,2005,Forced air,No Data,1 space,"$319,500","123 S Green St APT 209B, Chicago, IL 60607", No,1,1.0,1.0,"Home values in 60607 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Greektown will increase 0.5% () in the next year.This home is valued 24% lower () than the median home in Greektown.The median Zestimate for this neighborhood is $420,623.",https://www.zillow.com/homedetails/123-S-Green-St-APT-209B-Chicago-IL-60607/2077633611_zpid/,,800,$483/mo,,For Sale
187,Condo,1964,"Forced air, Electric",Central,1 space,"$375,000","1 E Schiller St APT 4B, Chicago, IL 60610", No,2,2.0,2.0,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 29.6% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1-E-Schiller-St-APT-4B-Chicago-IL-60610/3844052_zpid/,,"1,300","$1,052/mo",,For Sale
188,Single Family,1900,Forced air,Central,2 spaces,"$325,000","3439 W Hirsch St, Chicago, IL 60651", No,5,2.0,2.0,"Home values in Humboldt Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% () in the next year.This home is valued 8.3% higher () than the median home in Humboldt Park.The median Zestimate for this neighborhood is $300,127.",https://www.zillow.com/homedetails/3439-W-Hirsch-St-Chicago-IL-60651/3793969_zpid/,"3,092 sqft","1,735",,,For Sale
189,Multi Family,1903,Gas,No Data,None,"$239,900","6431 S Saint Lawrence Ave, Chicago, IL 60637", No,7,3.0,3.0,"Home values in West Woodlawn have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Woodlawn will fall 6.6% () in the next year.This home is valued 121.2% higher () than the median home in West Woodlawn.The median Zestimate for this neighborhood is $108,444.",https://www.zillow.com/homedetails/6431-S-Saint-Lawrence-Ave-Chicago-IL-60637/2088033081_zpid/,,,,,For Sale
190,Condo,1996,Gas,Central,1 space,"$215,000","6400 W Berteau Ave APT 403, Chicago, IL 60634", No,2,2.0,2.0,"Home values in Dunning have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dunning will fall 0.3% () in the next year.This home is valued 18.8% lower () than the median home in Dunning.The median Zestimate for this neighborhood is $264,849.",https://www.zillow.com/homedetails/6400-W-Berteau-Ave-APT-403-Chicago-IL-60634/54532673_zpid/,,"1,560",$376/mo,,For Sale
191,Single Family,1949,Forced air,Central,No Data,"$105,000","7310 S Talman Ave, Chicago, IL 60629", No,2,1.0,1.0,"Home values in Marquette Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Marquette Park will rise 0.3% () in the next year.This home is valued 35.1% lower () than the median home in Marquette Park.The median Zestimate for this neighborhood is $161,845.",https://www.zillow.com/homedetails/7310-S-Talman-Ave-Chicago-IL-60629/3957674_zpid/,"3,781 sqft","1,200",,,For Sale
192,Condo,1930,No Data,Central,None,"$230,000","2632 W Francis Pl #2, Chicago, IL 60647", No,2,1.0,1.0,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 43% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2632-W-Francis-Pl-2-Chicago-IL-60647/80815294_zpid/,,800,$277/month,,For Sale
193,Condo,2001,Baseboard,Central,1 space,"$1,195,000","445 E North Water St APT 1401, Chicago, IL 60611", No,2,2.0,2.0,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 157.6% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/445-E-North-Water-St-APT-1401-Chicago-IL-60611/2077635241_zpid/,,"2,112",$920/month,,For Sale
194,Condo,2002,Forced air,Central,2 spaces,"$590,000","512 N Mcclurg Ct APT 4210, Chicago, IL 60611", No,2,2.0,2.0,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 27.2% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/512-N-Mcclurg-Ct-APT-4210-Chicago-IL-60611/63702094_zpid/,,"1,445",,,For Sale
195,Condo,1973,"Forced air, Gas",Central,5 spaces,"$194,000","655 W Irving Park Rd APT 1912, Chicago, IL 60613", No,1,1.0,1.0,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 64.1% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-1912-Chicago-IL-60613/62010584_zpid/,,840,$554/mo,,For Sale
196,Single Family,1946,"Forced air, Gas",Central,2 spaces,"$289,900","6053 W Henderson St, Chicago, IL 60634", No,3,2.0,2.0,"Home values in Belmont Central have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Central will fall 3% () in the next year.This home is valued 14.9% higher () than the median home in Belmont Central.The median Zestimate for this neighborhood is $252,376.",https://www.zillow.com/homedetails/6053-W-Henderson-St-Chicago-IL-60634/3661142_zpid/,"4,190 sqft","1,736",,,For Sale
197,Single Family,1895,"Forced air, Gas",Central,1 space,"$199,000","10918 S Edbrooke Ave, Chicago, IL 60628", No,4,3.0,2.0,"Home values in Roseland have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roseland will increase 3.9% () in the next year.This home is valued 137% higher () than the median home in Roseland.The median Zestimate for this neighborhood is $83,973.",https://www.zillow.com/homedetails/10918-S-Edbrooke-Ave-Chicago-IL-60628/4140236_zpid/,"3,049 sqft","2,450",,1.0,For Sale
198,Single Family,1913,"Other, Gas",None,2 spaces,"$97,000","61 E 101st St, Chicago, IL 60628", No,4,2.0,2.0,"Home values in Roseland have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roseland will rise 3.9% () in the next year.This home is valued 15.5% higher () than the median home in Roseland.The median Zestimate for this neighborhood is $83,973.",https://www.zillow.com/homedetails/61-E-101st-St-Chicago-IL-60628/4133935_zpid/,"3,746 sqft",798,,,For Sale
199,Multiple Occupancy,1902,Gas,No Data,2 spaces,"$195,000","2243 S Avers Ave, Chicago, IL 60623", No,4,2.0,2.0,"Home values in Little Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Little Village will decrease 0.5% () in the next year.This home is valued 30% higher () than the median home in Little Village.The median Zestimate for this neighborhood is $149,958.",https://www.zillow.com/homedetails/2243-S-Avers-Ave-Chicago-IL-60623/2077637104_zpid/,,,,,For Sale
200,Multiple Occupancy,2008,"Forced air, Gas",Central,3 spaces,"$400,000","7654 S Colfax Ave, Chicago, IL 60649", No,9,6.0,5.0,"Home values in South Shore have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% () in the next year.This home is valued 268.4% higher () than the median home in South Shore.The median Zestimate for this neighborhood is $108,577.",https://www.zillow.com/homedetails/7654-S-Colfax-Ave-Chicago-IL-60649/2094524032_zpid/,,"1,050",,1.0,For Sale
201,Condo,No Data,"Forced air, Gas",Central,1 space,"$715,000","Floor plan: 06, Triangle Square Condos, Chicago, IL 60614", Yes,3,2.0,2.0,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 18.9% higher () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/community/triangle-square-condos/2079161485_zpid/,,,,,For Sale
202,Single Family,1958,Forced air,Central,2 spaces,"$316,000","5061 N Kimberly Ave, Chicago, IL 60630", No,4,2.0,2.0,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 0.4% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/5061-N-Kimberly-Ave-Chicago-IL-60630/3638840_zpid/,"3,423 sqft",760,None,,For Sale
203,Townhouse,1985,Forced air,Central,1 space,"$625,000","801 S Plymouth Ct UNIT G, Chicago, IL 60605", No,2,3.0,2.0,"Home values in 60605 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dearborn Park will rise 1.6% () in the next year.This home is valued 62.1% higher () than the median home in Dearborn Park.The median Zestimate for this neighborhood is $385,652.",https://www.zillow.com/homedetails/801-S-Plymouth-Ct-UNIT-G-Chicago-IL-60605/3872928_zpid/,0.4 acres,"1,691",$661/month,1.0,For Sale
204,Multiple Occupancy,1913,"Forced air, Gas",No Data,2 spaces,"$379,000","1918 S Ridgeway Ave, Chicago, IL 60623", No,9,3.0,3.0,"Home values in 60623 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will increase 2.9% () in the next year.This home is valued 161.4% higher () than the median home in Lawndale.The median Zestimate for this neighborhood is $144,981.",https://www.zillow.com/homedetails/1918-S-Ridgeway-Ave-Chicago-IL-60623/2077637473_zpid/,,,,,For Sale
205,Single Family,2006,Gas,Central,4 spaces,"$225,000","1502 S Karlov Ave, Chicago, IL 60623", No,3,3.0,3.0,"Home values in 60623 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will rise 2.9% () in the next year.This home is valued 55.2% higher () than the median home in Lawndale.The median Zestimate for this neighborhood is $144,981.",https://www.zillow.com/homedetails/1502-S-Karlov-Ave-Chicago-IL-60623/80808990_zpid/,"3,131 sqft","1,526",None,,For Sale
206,Single Family,1977,"Forced air, Electric, Gas",Central,7 spaces,"$899,900","5673 N Las Casas Ave, Chicago, IL 60646", No,5,6.0,5.0,"Home values in Edgebrook have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgebrook will fall 1.4% () in the next year.This home is valued 105.5% higher () than the median home in Edgebrook.The median Zestimate for this neighborhood is $437,853.",https://www.zillow.com/homedetails/5673-N-Las-Casas-Ave-Chicago-IL-60646/3624872_zpid/,"6,098 sqft","3,624",,1.0,For Sale
207,Single Family,1951,Forced air,Central,1 space,"$369,900","3356 N Pittsburgh Ave, Chicago, IL 60634", No,4,3.0,2.0,"Home values in Belmont Terrace have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Terrace will fall 3.7% () in the next year.This home is valued 38.2% higher () than the median home in Belmont Terrace.The median Zestimate for this neighborhood is $267,637.",https://www.zillow.com/homedetails/3356-N-Pittsburgh-Ave-Chicago-IL-60634/3596498_zpid/,"4,443 sqft","2,200",,1.0,For Sale
208,Single Family,1960,Gas,Central,2 spaces,"$299,900","6325 W Berenice Ave, Chicago, IL 60634", No,5,2.0,2.0,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% () in the next year.This home is valued 3.5% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/6325-W-Berenice-Ave-Chicago-IL-60634/3658829_zpid/,"3,092 sqft",969,,,For Sale
209,Multiple Occupancy,1890,Forced air,Central,No Data,"$378,000","3659 S Wood St, Chicago, IL 60609", No,6,3.0,3.0,"Home values in McKinley Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in McKinley Park will decrease 2.5% () in the next year.This home is valued 58.9% higher () than the median home in McKinley Park.The median Zestimate for this neighborhood is $237,941.",https://www.zillow.com/homedetails/3659-S-Wood-St-Chicago-IL-60609/158884674_zpid/,,400,,,For Sale
210,Single Family,1960,"Electric, Gas",Central,2 spaces,"$199,900","9806 S Escanaba Ave, Chicago, IL 60617", No,3,2.0,1.0,"Home values in South Deering have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Deering will increase 2.6% () in the next year.This home is valued 115.3% higher () than the median home in South Deering.The median Zestimate for this neighborhood is $92,849.",https://www.zillow.com/homedetails/9806-S-Escanaba-Ave-Chicago-IL-60617/4168465_zpid/,"4,229 sqft","2,400",,1.0,For Sale
211,Multiple Occupancy,1910,Gas,No Data,4 spaces,"$385,000","3934 N Sawyer Ave, Chicago, IL 60618", No,6,3.0,3.0,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 4.1% lower () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3934-N-Sawyer-Ave-Chicago-IL-60618/2125203659_zpid/,,,,,For Sale
212,Single Family,1973,Gas,Central,None,"$85,000","5210 S Emerald Ave, Chicago, IL 60609", No,4,2.0,1.0,"Home values in Back of the Yards have risen 0.6% () over the past 12 months.Zillow predicts the home values in Back of the Yards will increase 12.3% () in the next year.This home is valued 9.1% lower () than the median home in Back of the Yards.The median Zestimate for this neighborhood is $93,520.",https://www.zillow.com/homedetails/5210-S-Emerald-Ave-Chicago-IL-60609/3984038_zpid/,"5,052 sqft","1,000",,1.0,For Sale
213,Single Family,1902,Gas,No Data,2 spaces,"$85,000","11810 S Parnell Ave, Chicago, IL 60628", No,4,1.0,1.0,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% () in the next year.This home is valued 11.7% lower () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/11810-S-Parnell-Ave-Chicago-IL-60628/4154063_zpid/,"3,702 sqft","1,200",,,For Sale
214,Single Family,1924,Gas,No Data,No Data,"$130,000","9227 S La Salle St, Chicago, IL 60620", No,3,1.0,1.0,"Home values in 60620 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Princeton Park will fall 1.9% () in the next year.This home is valued 0.1% lower () than the median home in Princeton Park.The median Zestimate for this neighborhood is $130,070.",https://www.zillow.com/homedetails/9227-S-La-Salle-St-Chicago-IL-60620/4120036_zpid/,"4,338 sqft","1,004",,,For Sale
215,Multi Family,1908,Gas,No Data,2 spaces,"$450,000","4303 N Avers Ave, Chicago, IL 60618", No,5,3.0,3.0,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 12.1% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4303-N-Avers-Ave-Chicago-IL-60618/2077637607_zpid/,,,,,For Sale
216,Multi Family,1912,Forced air,No Data,2 spaces,"$179,900","8735 S Escanaba Ave, Chicago, IL 60617", No,11,5.0,4.0,"Home values in South Chicago have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Chicago will fall 5.1% () in the next year.This home is valued 85.9% higher () than the median home in South Chicago.The median Zestimate for this neighborhood is $96,782.",https://www.zillow.com/homedetails/8735-S-Escanaba-Ave-Chicago-IL-60617/159239536_zpid/,,"1,238",,1.0,For Sale
217,Single Family,1957,Gas,Central,2 spaces,"$129,900","13455 S Green Bay Ave, Chicago, IL 60633", No,4,1.0,1.0,"Home values in Hegewisch have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hegewisch will rise 3.8% () in the next year.This home is valued 5.6% lower () than the median home in Hegewisch.The median Zestimate for this neighborhood is $137,622.",https://www.zillow.com/homedetails/13455-S-Green-Bay-Ave-Chicago-IL-60633/4175911_zpid/,"4,064 sqft","1,296",,,For Sale
218,Multi Family,1919,Forced air,No Data,None,"$199,000","3558 W Huron St, Chicago, IL 60624", No,4,2.0,2.0,"Home values in East Garfield Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Garfield Park will increase 8.8% () in the next year.This home is valued 24.3% higher () than the median home in East Garfield Park.The median Zestimate for this neighborhood is $160,150.",https://www.zillow.com/homedetails/3558-W-Huron-St-Chicago-IL-60624/2107645888_zpid/,,,,,For Sale
219,Condo,2006,"Forced air, Gas",Central,1 space,"$364,900","4913 N Kenmore Ave APT 3N, Chicago, IL 60640", No,2,2.0,2.0,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 20.2% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4913-N-Kenmore-Ave-APT-3N-Chicago-IL-60640/80833648_zpid/,,"1,350",$217/mo,,For Sale
220,Condo,1999,Forced air,Central,2 spaces,"$244,900","2409 W Flournoy St #B, Chicago, IL 60612", No,2,2.0,1.0,"Home values in Tri-Taylor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Tri-Taylor will decrease 2.1% () in the next year.This home is valued 6% lower () than the median home in Tri-Taylor.The median Zestimate for this neighborhood is $260,631.",https://www.zillow.com/homedetails/2409-W-Flournoy-St-B-Chicago-IL-60612/54535555_zpid/,,"1,600",$217/month,1.0,For Sale
221,Condo,1999,Forced air,Central,1 space,"$429,000","1546 N Hoyne Ave APT 2, Chicago, IL 60622", No,2,2.0,2.0,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 26.7% lower () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1546-N-Hoyne-Ave-APT-2-Chicago-IL-60622/54537130_zpid/,,"1,100",$162/month,,For Sale
222,Townhouse,2001,"Forced air, Gas",Central,2 spaces,"$564,900","2455 W Ohio St UNIT 13E, Chicago, IL 60612", No,3,3.0,3.0,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% () in the next year.This home is valued 11.3% higher () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/2455-W-Ohio-St-UNIT-13E-Chicago-IL-60612/113950920_zpid/,No Data,"2,400",,,For Sale
223,Condo,2012,Heat pump,Central,2 spaces,"$3,850,000","2550 N Lakeview Ave UNIT S2803, Chicago, IL 60614", No,4,5.0,,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 596.5% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2550-N-Lakeview-Ave-UNIT-S2803-Chicago-IL-60614/123559823_zpid/,,"3,679",No Data,,For Sale
224,Condo,1965,Radiant,Wall,1 space,"$1,450,000","1440 N Lake Shore Dr #22ABCD, Chicago, IL 60610", No,3,5.0,,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 172.4% higher () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1440-N-Lake-Shore-Dr-22ABCD-Chicago-IL-60610/2077638434_zpid/,,"4,800",No Data,,For Sale
225,Multiple Occupancy,1929,Forced air,Central,2 spaces,"$319,900","1917 S Ridgeway Ave, Chicago, IL 60623", No,6,5.0,3.0,"Home values in 60623 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will increase 2.9% () in the next year.This home is valued 120.6% higher () than the median home in Lawndale.The median Zestimate for this neighborhood is $144,981.",https://www.zillow.com/homedetails/1917-S-Ridgeway-Ave-Chicago-IL-60623/2137137124_zpid/,,,,2.0,For Sale
226,Single Family,1891,"Forced air, Gas",No Data,2 spaces,"$124,000","2023 W James St, Chicago, IL 60609", No,3,2.0,1.0,"Home values in Back of the Yards have risen 0.6% () over the past 12 months.Zillow predicts the home values in Back of the Yards will increase 12.3% () in the next year.This home is valued 32.6% higher () than the median home in Back of the Yards.The median Zestimate for this neighborhood is $93,520.",https://www.zillow.com/homedetails/2023-W-James-St-Chicago-IL-60609/3982317_zpid/,"3,550 sqft","3,550",,1.0,For Sale
227,Multiple Occupancy,No Data,Gas,No Data,No Data,"$649,000","4050 N Hermitage Ave, Chicago, IL 60613", No,8,4.0,4.0,"Home values in 60613 have risen 0.6% () over the past 12 months.Zillow predicts the home values in South East Ravenswood will rise 0.2% () in the next year.This home is valued 85.2% higher () than the median home in South East Ravenswood.The median Zestimate for this neighborhood is $350,517.",https://www.zillow.com/homedetails/4050-N-Hermitage-Ave-Chicago-IL-60613/2094001218_zpid/,,,,,For Sale
228,Single Family,1890,"Forced air, Gas",No Data,2 spaces,"$315,000","3214 S Racine Ave, Chicago, IL 60608", No,4,2.0,2.0,"Home values in Bridgeport have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% () in the next year.This home is valued 13.1% lower () than the median home in Bridgeport.The median Zestimate for this neighborhood is $362,289.",https://www.zillow.com/homedetails/3214-S-Racine-Ave-Chicago-IL-60608/2077639651_zpid/,No Data,"1,633",,,For Sale
229,Multiple Occupancy,1916,Forced air,Central,6 spaces,"$660,000","4518 N Central Park Ave, Chicago, IL 60625", No,9,3.0,3.0,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 109.7% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4518-N-Central-Park-Ave-Chicago-IL-60625/2111340236_zpid/,,"1,360",,,For Sale
230,Condo,1985,"Forced air, Electric",Other,No Data,"$165,000","801 S Plymouth Ct APT 308, Chicago, IL 60605", No,1,1.0,1.0,"Home values in 60605 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dearborn Park will increase 1.6% () in the next year.This home is valued 57.2% lower () than the median home in Dearborn Park.The median Zestimate for this neighborhood is $385,652.",https://www.zillow.com/homedetails/801-S-Plymouth-Ct-APT-308-Chicago-IL-60605/3872761_zpid/,,900,$404/mo,,For Sale
231,Condo,1926,Gas,Central,None,"$164,000","(Undisclosed Address), Chicago, IL 60625", No,2,2.0,2.0,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 47.9% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/Chicago-IL-60625/2136435701_zpid/,,"1,200",$248/month,,For Sale
232,Condo,No Data,"Forced air, Gas",Central,1 space,"$1,100,000","1400 W Monroe St #5E, Chicago, IL 60607", Yes,3,3.0,2.0,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% () in the next year.This home is valued 161.4% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1400-W-Monroe-St-5E-Chicago-IL-60607/2077640709_zpid/,,"1,821",$483/mo,1.0,For Sale
233,Single Family,1916,"Forced air, Gas",Central,2 spaces,"$425,000","4922 W Henderson St, Chicago, IL 60641", No,4,3.0,3.0,"Home values in Cragin have risen 0.6% () over the past 12 months.Zillow predicts the home values in Cragin will fall 1.8% () in the next year.This home is valued 62.9% higher () than the median home in Cragin.The median Zestimate for this neighborhood is $260,825.",https://www.zillow.com/homedetails/4922-W-Henderson-St-Chicago-IL-60641/3664704_zpid/,"3,750 sqft","1,718",,,For Sale
234,Condo,1962,Baseboard,Wall,1 space,"$170,000","3037 W Montrose Ave APT 2A, Chicago, IL 60618", No,2,1.0,1.0,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% () in the next year.This home is valued 57.7% lower () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3037-W-Montrose-Ave-APT-2A-Chicago-IL-60618/65549790_zpid/,,700,$168/month,,For Sale
235,Single Family,1893,Gas,Central,2 spaces,"$185,000","1148 W 88th St, Chicago, IL 60620", No,4,2.0,2.0,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% () in the next year.This home is valued 46.7% higher () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/1148-W-88th-St-Chicago-IL-60620/4120877_zpid/,"3,123 sqft","1,200",,,For Sale
236,Condo,1884,Forced air,Central,1 space,"$375,000","515 N Noble St APT 604, Chicago, IL 60642", No,1,1.0,1.0,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will increase 1.7% () in the next year.This home is valued 26.1% lower () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/515-N-Noble-St-APT-604-Chicago-IL-60642/3861386_zpid/,,"1,225",$376/month,,For Sale
237,Single Family,1915,Forced air,Central,2 spaces,"$279,900","2554 N Rutherford Ave, Chicago, IL 60707", No,5,4.0,4.0,"Home values in Montclare have risen 0.6% () over the past 12 months.Zillow predicts the home values in Montclare will fall 2.1% () in the next year.This home is valued 8.9% higher () than the median home in Montclare.The median Zestimate for this neighborhood is $256,941.",https://www.zillow.com/homedetails/2554-N-Rutherford-Ave-Chicago-IL-60707/3679991_zpid/,"3,868 sqft","1,608",,,For Sale
238,Multiple Occupancy,1891,"Other, Gas",No Data,2 spaces,"$219,900","4213 S Wells St, Chicago, IL 60609", No,6,2.0,2.0,"Home values in 60609 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fuller Park will fall 0.4% () in the next year.This home is valued 23.6% higher () than the median home in Fuller Park.The median Zestimate for this neighborhood is $177,975.",https://www.zillow.com/homedetails/4213-S-Wells-St-Chicago-IL-60609/2139601981_zpid/,,,,,For Sale
239,Multi Family,1885,Other,No Data,3 spaces,"$105,000","4849 S Justine St, Chicago, IL 60609", No,8,3.0,3.0,"Home values in Back of the Yards have risen 0.6% () over the past 12 months.Zillow predicts the home values in Back of the Yards will rise 12.3% () in the next year.This home is valued 12.3% higher () than the median home in Back of the Yards.The median Zestimate for this neighborhood is $93,520.",https://www.zillow.com/homedetails/4849-S-Justine-St-Chicago-IL-60609/2118772118_zpid/,,,,,For Sale
240,Single Family,1923,Forced air,Central,2 spaces,"$279,000","4814 W Wrightwood Ave, Chicago, IL 60639", No,4,2.0,2.0,"Home values in Cragin have risen 0.6% () over the past 12 months.Zillow predicts the home values in Cragin will decrease 1.8% () in the next year.This home is valued 7% higher () than the median home in Cragin.The median Zestimate for this neighborhood is $260,825.",https://www.zillow.com/homedetails/4814-W-Wrightwood-Ave-Chicago-IL-60639/3674397_zpid/,"4,094 sqft","1,923",,,For Sale
241,Condo,2020,Forced air,Central,1 space,"$1,970,000","Floor plan: Plan B, Parkline Chicago, Chicago, IL 60601", Yes,4,4.0,3.0,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will fall 3.3% () in the next year.This home is valued 433.7% higher () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/community/parkline-chicago/2078738226_zpid/,,,No Data,1.0,For Sale
