,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
164,Condo,1910,Electric,Central,None,$200,"$139,999","740 S Federal St APT 305, Chicago, IL 60605", No, 1, 1, 1,"Home values in Printers Row have risen 0.6% () over the past 12 months.Zillow predicts the home values in Printers Row will rise 0.5% () in the next year.This home is valued 47.8% lower () than the median home in Printers Row.The median Zestimate for this neighborhood is $267,990.",https://www.zillow.com/homedetails/740-S-Federal-St-APT-305-Chicago-IL-60605/87709917_zpid/,,700,$400/month,,For Sale
165,Condo,2006,Gas,Central,1 space,$159,"$430,000","4401 S Lake Park Ave UNIT 1, Chicago, IL 60653", No, 4, 4, 3,"Home values in North Kenwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in North Kenwood will rise 3.7% () in the next year.This home is valued 35% higher () than the median home in North Kenwood.The median Zestimate for this neighborhood is $318,631.",https://www.zillow.com/homedetails/4401-S-Lake-Park-Ave-UNIT-1-Chicago-IL-60653/99347538_zpid/,,"2,700",$411/mo, 1,For Sale
166,Condo,No Data,"Forced air, Gas",Central,2 spaces,"$3,000,000","$3,000,000","Floor plan: P3 - Peoria Green, Peoria Green, Chicago, IL 60607", Yes, 5, 6, 5,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% () in the next year.This home is valued 613% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/community/peoria-green/2078713716_zpid/,,,, 1,For Sale
167,Single Family,1986,Forced air,Central,4 spaces,$191,"$839,900","2958 W Catalpa Ave, Chicago, IL 60625", No, 5, 4, 3,"Home values in Budlong Woods have risen 0.6% () over the past 12 months.Zillow predicts the home values in Budlong Woods will rise 1.9% () in the next year.This home is valued 164.5% higher () than the median home in Budlong Woods.The median Zestimate for this neighborhood is $317,495.",https://www.zillow.com/homedetails/2958-W-Catalpa-Ave-Chicago-IL-60625/3641085_zpid/,"5,357 sqft","4,400",, 1,For Sale
168,Condo,1891,Forced air,Central,1 space,No Data,"$325,000","524 N Armour St #CH1, Chicago, IL 60642", No, 2, 2, 2,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will increase 1.7% () in the next year.This home is valued 36% lower () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/524-N-Armour-St-CH1-Chicago-IL-60642/2077632013_zpid/,,,$202/month,,For Sale
169,Condo,1891,Forced air,Central,1 space,$282,"$399,700","2511 W Moffat St APT 110, Chicago, IL 60647", No, 2, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 1% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2511-W-Moffat-St-APT-110-Chicago-IL-60647/49917250_zpid/,,"1,419",$386/month,,For Sale
170,Condo,1915,Forced air,Central,1 space,$213,"$319,900","1116 W Pratt Blvd APT 3, Chicago, IL 60626", No, 2, 2, 2,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% () in the next year.This home is valued 41.5% higher () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1116-W-Pratt-Blvd-APT-3-Chicago-IL-60626/87715800_zpid/,,"1,500",$362/month,,For Sale
171,Condo,1991,Forced air,Central,1 space,$387,"$300,000","440 N Mcclurg Ct APT 1015, Chicago, IL 60611", No, 1, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 35.3% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/440-N-Mcclurg-Ct-APT-1015-Chicago-IL-60611/121072434_zpid/,,775,$609/month,,For Sale
172,Single Family,1944,Gas,No Data,3 spaces,$123,"$160,000","11035 S Pulaski Rd, Chicago, IL 60655", No, 2, 1, 1,"Home values in Mount Greenwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Mount Greenwood will increase 1.5% () in the next year.This home is valued 34.1% lower () than the median home in Mount Greenwood.The median Zestimate for this neighborhood is $242,860.",https://www.zillow.com/homedetails/11035-S-Pulaski-Rd-Chicago-IL-60655/4082887_zpid/,"4,960 sqft","1,300",,,For Sale
173,Condo,1964,"Forced air, Other",Central,1 space,$331,"$429,900","222 E Pearson St APT 1701, Chicago, IL 60611", No, 2, 2, 2,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 7.3% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/222-E-Pearson-St-APT-1701-Chicago-IL-60611/80853694_zpid/,,"1,300","$1,032/mo",,For Sale
174,Condo,1921,Other,Refrigeration,1 space,No Data,"$272,000","60 E Scott St APT 403, Chicago, IL 60610", No, 1, 1, 1,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 48.9% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/60-E-Scott-St-APT-403-Chicago-IL-60610/3845032_zpid/,,,$459/month,,For Sale
175,Condo,2007,"Forced air, Gas",Central,1 space,$483,"$579,000","2741 N Bosworth Ave #3, Chicago, IL 60614", No, 2, 2, 2,"Home values in West De Paul have risen 0.6% () over the past 12 months.Zillow predicts the home values in West De Paul will fall 0.9% () in the next year.This home is valued 26.1% lower () than the median home in West De Paul.The median Zestimate for this neighborhood is $783,255.",https://www.zillow.com/homedetails/2741-N-Bosworth-Ave-3-Chicago-IL-60614/89915423_zpid/,,"1,200",$218/mo,,For Sale
176,Single Family,1916,"Forced air, Gas",Central,2 spaces,$278,"$500,000","5240 W Cuyler Ave, Chicago, IL 60641", No, 5, 3, 3,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% () in the next year.This home is valued 72.5% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/5240-W-Cuyler-Ave-Chicago-IL-60641/3649669_zpid/,"3,750 sqft","1,800",,,For Sale
177,Condo,1948,Baseboard,No Data,None,$314,"$220,000","1750 N Wells St APT 202, Chicago, IL 60614", No, 1, 1, 1,"Home values in 60614 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% () in the next year.This home is valued 65.5% lower () than the median home in Old Town Triangle.The median Zestimate for this neighborhood is $638,027.",https://www.zillow.com/homedetails/1750-N-Wells-St-APT-202-Chicago-IL-60614/113958969_zpid/,,700,$310/month,,For Sale
178,Single Family,1962,Forced air,Central,2 spaces,$231,"$240,000","3433 W 54th St, Chicago, IL 60632", No, 3, 1, 1,"Home values in Gage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gage Park will rise 4.9% () in the next year.This home is valued 47.2% higher () than the median home in Gage Park.The median Zestimate for this neighborhood is $163,019.",https://www.zillow.com/homedetails/3433-W-54th-St-Chicago-IL-60632/3929086_zpid/,"3,136 sqft","1,040",None,,For Sale
179,Condo,2020,Forced air,Central,1 space,$349,"$645,000","2116 N California Ave #5, Chicago, IL 60647", Yes, 3, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 59.8% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2116-N-California-Ave-5-Chicago-IL-60647/2077632945_zpid/,,"1,850",$174/month,,For Sale
180,Condo,2020,"Forced air, Gas",Central,1 space,$309,"$649,000","2116 N California Ave #6, Chicago, IL 60647", Yes, 3, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 60.8% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2116-N-California-Ave-6-Chicago-IL-60647/2077632946_zpid/,,"2,100",$194/mo,,For Sale
181,Condo,2003,Forced air,Central,1 space,No Data,"$415,000","1637 W Le Moyne St APT 2, Chicago, IL 60622", No, 2, 2, 2,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 29.1% lower () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1637-W-Le-Moyne-St-APT-2-Chicago-IL-60622/70449034_zpid/,,,$175/month,,For Sale
182,Single Family,1927,Forced air,Central,2 spaces,$229,"$399,000","7232 W Ibsen St, Chicago, IL 60631", No, 4, 2, 1,"Home values in Edison Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edison Park will decrease 2.4% () in the next year.This home is valued 12% higher () than the median home in Edison Park.The median Zestimate for this neighborhood is $356,353.",https://www.zillow.com/homedetails/7232-W-Ibsen-St-Chicago-IL-60631/3511314_zpid/,"4,721 sqft","1,745",, 1,For Sale
183,Single Family,2020,"Forced air, Gas",Central,2 spaces,,"$609,000","4334 S Vernon Ave, Chicago, IL 60653", Yes, 4, 4, 3,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will rise 2.7% () in the next year.This home is valued 129.8% higher () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/4334-S-Vernon-Ave-Chicago-IL-60653/2077633373_zpid/,"3,733 sqft",,, 1,For Sale
184,Townhouse,2020,Gas,Central,2 spaces,$219,"$569,000","239 E 33rd Blvd, Chicago, IL 60616", Yes, 4, 4, 3,"Home values in The Gap have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Gap will increase 1.3% () in the next year.This home is valued 48.6% higher () than the median home in The Gap.The median Zestimate for this neighborhood is $382,923.",https://www.zillow.com/homedetails/239-E-33rd-Blvd-Chicago-IL-60616/2077633370_zpid/,No Data,"2,600",None, 1,For Sale
185,Condo,2009,"Forced air, Gas",Central,2 spaces,$614,"$1,075,000","1201 S Prairie Ave APT 3903, Chicago, IL 60605", No, 3, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 185.2% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-3903-Chicago-IL-60605/113958053_zpid/,,"1,750","$1,196/mo",,For Sale
186,Condo,2005,Forced air,No Data,1 space,$399,"$319,500","123 S Green St APT 209B, Chicago, IL 60607", No, 1, 1, 1,"Home values in 60607 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Greektown will increase 0.5% () in the next year.This home is valued 24% lower () than the median home in Greektown.The median Zestimate for this neighborhood is $420,623.",https://www.zillow.com/homedetails/123-S-Green-St-APT-209B-Chicago-IL-60607/2077633611_zpid/,,800,$483/mo,,For Sale
187,Condo,1964,"Forced air, Electric",Central,1 space,$288,"$375,000","1 E Schiller St APT 4B, Chicago, IL 60610", No, 2, 2, 2,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 29.6% lower () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1-E-Schiller-St-APT-4B-Chicago-IL-60610/3844052_zpid/,,"1,300","$1,052/mo",,For Sale
188,Single Family,1900,Forced air,Central,2 spaces,$187,"$325,000","3439 W Hirsch St, Chicago, IL 60651", No, 5, 2, 2,"Home values in Humboldt Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% () in the next year.This home is valued 8.3% higher () than the median home in Humboldt Park.The median Zestimate for this neighborhood is $300,127.",https://www.zillow.com/homedetails/3439-W-Hirsch-St-Chicago-IL-60651/3793969_zpid/,"3,092 sqft","1,735",,,For Sale
189,Multi Family,1903,Gas,No Data,None,No Data,"$239,900","6431 S Saint Lawrence Ave, Chicago, IL 60637", No, 7, 3, 3,"Home values in West Woodlawn have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Woodlawn will fall 6.6% () in the next year.This home is valued 121.2% higher () than the median home in West Woodlawn.The median Zestimate for this neighborhood is $108,444.",https://www.zillow.com/homedetails/6431-S-Saint-Lawrence-Ave-Chicago-IL-60637/2088033081_zpid/,,,,,For Sale
190,Condo,1996,Gas,Central,1 space,$138,"$215,000","6400 W Berteau Ave APT 403, Chicago, IL 60634", No, 2, 2, 2,"Home values in Dunning have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dunning will fall 0.3% () in the next year.This home is valued 18.8% lower () than the median home in Dunning.The median Zestimate for this neighborhood is $264,849.",https://www.zillow.com/homedetails/6400-W-Berteau-Ave-APT-403-Chicago-IL-60634/54532673_zpid/,,"1,560",$376/mo,,For Sale
191,Single Family,1949,Forced air,Central,No Data,$88,"$105,000","7310 S Talman Ave, Chicago, IL 60629", No, 2, 1, 1,"Home values in Marquette Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Marquette Park will rise 0.3% () in the next year.This home is valued 35.1% lower () than the median home in Marquette Park.The median Zestimate for this neighborhood is $161,845.",https://www.zillow.com/homedetails/7310-S-Talman-Ave-Chicago-IL-60629/3957674_zpid/,"3,781 sqft","1,200",,,For Sale
192,Condo,1930,No Data,Central,None,$288,"$230,000","2632 W Francis Pl #2, Chicago, IL 60647", No, 2, 1, 1,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 43% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2632-W-Francis-Pl-2-Chicago-IL-60647/80815294_zpid/,,800,$277/month,,For Sale
193,Condo,2001,Baseboard,Central,1 space,$566,"$1,195,000","445 E North Water St APT 1401, Chicago, IL 60611", No, 2, 2, 2,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 157.6% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/445-E-North-Water-St-APT-1401-Chicago-IL-60611/2077635241_zpid/,,"2,112",$920/month,,For Sale
194,Condo,2002,Forced air,Central,2 spaces,$408,"$590,000","512 N Mcclurg Ct APT 4210, Chicago, IL 60611", No, 2, 2, 2,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 27.2% higher () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/512-N-Mcclurg-Ct-APT-4210-Chicago-IL-60611/63702094_zpid/,,"1,445",,,For Sale
195,Condo,1973,"Forced air, Gas",Central,5 spaces,$231,"$194,000","655 W Irving Park Rd APT 1912, Chicago, IL 60613", No, 1, 1, 1,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 64.1% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-1912-Chicago-IL-60613/62010584_zpid/,,840,$554/mo,,For Sale
196,Single Family,1946,"Forced air, Gas",Central,2 spaces,$167,"$289,900","6053 W Henderson St, Chicago, IL 60634", No, 3, 2, 2,"Home values in Belmont Central have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Central will fall 3% () in the next year.This home is valued 14.9% higher () than the median home in Belmont Central.The median Zestimate for this neighborhood is $252,376.",https://www.zillow.com/homedetails/6053-W-Henderson-St-Chicago-IL-60634/3661142_zpid/,"4,190 sqft","1,736",,,For Sale
197,Single Family,1895,"Forced air, Gas",Central,1 space,$81,"$199,000","10918 S Edbrooke Ave, Chicago, IL 60628", No, 4, 3, 2,"Home values in Roseland have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roseland will increase 3.9% () in the next year.This home is valued 137% higher () than the median home in Roseland.The median Zestimate for this neighborhood is $83,973.",https://www.zillow.com/homedetails/10918-S-Edbrooke-Ave-Chicago-IL-60628/4140236_zpid/,"3,049 sqft","2,450",, 1,For Sale
198,Single Family,1913,"Other, Gas",None,2 spaces,$122,"$97,000","61 E 101st St, Chicago, IL 60628", No, 4, 2, 2,"Home values in Roseland have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roseland will rise 3.9% () in the next year.This home is valued 15.5% higher () than the median home in Roseland.The median Zestimate for this neighborhood is $83,973.",https://www.zillow.com/homedetails/61-E-101st-St-Chicago-IL-60628/4133935_zpid/,"3,746 sqft",798,,,For Sale
199,Multiple Occupancy,1902,Gas,No Data,2 spaces,,"$195,000","2243 S Avers Ave, Chicago, IL 60623", No, 4, 2, 2,"Home values in Little Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Little Village will decrease 0.5% () in the next year.This home is valued 30% higher () than the median home in Little Village.The median Zestimate for this neighborhood is $149,958.",https://www.zillow.com/homedetails/2243-S-Avers-Ave-Chicago-IL-60623/2077637104_zpid/,,,,,For Sale
200,Multiple Occupancy,2008,"Forced air, Gas",Central,3 spaces,$381,"$400,000","7654 S Colfax Ave, Chicago, IL 60649", No, 9, 6, 5,"Home values in South Shore have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% () in the next year.This home is valued 268.4% higher () than the median home in South Shore.The median Zestimate for this neighborhood is $108,577.",https://www.zillow.com/homedetails/7654-S-Colfax-Ave-Chicago-IL-60649/2094524032_zpid/,,"1,050",, 1,For Sale
201,Condo,No Data,"Forced air, Gas",Central,1 space,$433,"$715,000","Floor plan: 06, Triangle Square Condos, Chicago, IL 60614", Yes, 3, 2, 2,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 18.9% higher () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/community/triangle-square-condos/2079161485_zpid/,,,,,For Sale
202,Single Family,1958,Forced air,Central,2 spaces,$416,"$316,000","5061 N Kimberly Ave, Chicago, IL 60630", No, 4, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 0.4% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/5061-N-Kimberly-Ave-Chicago-IL-60630/3638840_zpid/,"3,423 sqft",760,None,,For Sale
203,Townhouse,1985,Forced air,Central,1 space,$370,"$625,000","801 S Plymouth Ct UNIT G, Chicago, IL 60605", No, 2, 3, 2,"Home values in 60605 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dearborn Park will rise 1.6% () in the next year.This home is valued 62.1% higher () than the median home in Dearborn Park.The median Zestimate for this neighborhood is $385,652.",https://www.zillow.com/homedetails/801-S-Plymouth-Ct-UNIT-G-Chicago-IL-60605/3872928_zpid/,0.4 acres,"1,691",$661/month, 1,For Sale
204,Multiple Occupancy,1913,"Forced air, Gas",No Data,2 spaces,,"$379,000","1918 S Ridgeway Ave, Chicago, IL 60623", No, 9, 3, 3,"Home values in 60623 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will increase 2.9% () in the next year.This home is valued 161.4% higher () than the median home in Lawndale.The median Zestimate for this neighborhood is $144,981.",https://www.zillow.com/homedetails/1918-S-Ridgeway-Ave-Chicago-IL-60623/2077637473_zpid/,,,,,For Sale
205,Single Family,2006,Gas,Central,4 spaces,$147,"$225,000","1502 S Karlov Ave, Chicago, IL 60623", No, 3, 3, 3,"Home values in 60623 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will rise 2.9% () in the next year.This home is valued 55.2% higher () than the median home in Lawndale.The median Zestimate for this neighborhood is $144,981.",https://www.zillow.com/homedetails/1502-S-Karlov-Ave-Chicago-IL-60623/80808990_zpid/,"3,131 sqft","1,526",None,,For Sale
206,Single Family,1977,"Forced air, Electric, Gas",Central,7 spaces,$248,"$899,900","5673 N Las Casas Ave, Chicago, IL 60646", No, 5, 6, 5,"Home values in Edgebrook have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgebrook will fall 1.4% () in the next year.This home is valued 105.5% higher () than the median home in Edgebrook.The median Zestimate for this neighborhood is $437,853.",https://www.zillow.com/homedetails/5673-N-Las-Casas-Ave-Chicago-IL-60646/3624872_zpid/,"6,098 sqft","3,624",, 1,For Sale
207,Single Family,1951,Forced air,Central,1 space,$168,"$369,900","3356 N Pittsburgh Ave, Chicago, IL 60634", No, 4, 3, 2,"Home values in Belmont Terrace have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Terrace will fall 3.7% () in the next year.This home is valued 38.2% higher () than the median home in Belmont Terrace.The median Zestimate for this neighborhood is $267,637.",https://www.zillow.com/homedetails/3356-N-Pittsburgh-Ave-Chicago-IL-60634/3596498_zpid/,"4,443 sqft","2,200",, 1,For Sale
208,Single Family,1960,Gas,Central,2 spaces,$309,"$299,900","6325 W Berenice Ave, Chicago, IL 60634", No, 5, 2, 2,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% () in the next year.This home is valued 3.5% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/6325-W-Berenice-Ave-Chicago-IL-60634/3658829_zpid/,"3,092 sqft",969,,,For Sale
209,Multiple Occupancy,1890,Forced air,Central,No Data,$945,"$378,000","3659 S Wood St, Chicago, IL 60609", No, 6, 3, 3,"Home values in McKinley Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in McKinley Park will decrease 2.5% () in the next year.This home is valued 58.9% higher () than the median home in McKinley Park.The median Zestimate for this neighborhood is $237,941.",https://www.zillow.com/homedetails/3659-S-Wood-St-Chicago-IL-60609/158884674_zpid/,,400,,,For Sale
210,Single Family,1960,"Electric, Gas",Central,2 spaces,$83,"$199,900","9806 S Escanaba Ave, Chicago, IL 60617", No, 3, 2, 1,"Home values in South Deering have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Deering will increase 2.6% () in the next year.This home is valued 115.3% higher () than the median home in South Deering.The median Zestimate for this neighborhood is $92,849.",https://www.zillow.com/homedetails/9806-S-Escanaba-Ave-Chicago-IL-60617/4168465_zpid/,"4,229 sqft","2,400",, 1,For Sale
211,Multiple Occupancy,1910,Gas,No Data,4 spaces,,"$385,000","3934 N Sawyer Ave, Chicago, IL 60618", No, 6, 3, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 4.1% lower () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3934-N-Sawyer-Ave-Chicago-IL-60618/2125203659_zpid/,,,,,For Sale
212,Single Family,1973,Gas,Central,None,$85,"$85,000","5210 S Emerald Ave, Chicago, IL 60609", No, 4, 2, 1,"Home values in Back of the Yards have risen 0.6% () over the past 12 months.Zillow predicts the home values in Back of the Yards will increase 12.3% () in the next year.This home is valued 9.1% lower () than the median home in Back of the Yards.The median Zestimate for this neighborhood is $93,520.",https://www.zillow.com/homedetails/5210-S-Emerald-Ave-Chicago-IL-60609/3984038_zpid/,"5,052 sqft","1,000",, 1,For Sale
213,Single Family,1902,Gas,No Data,2 spaces,$71,"$85,000","11810 S Parnell Ave, Chicago, IL 60628", No, 4, 1, 1,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% () in the next year.This home is valued 11.7% lower () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/11810-S-Parnell-Ave-Chicago-IL-60628/4154063_zpid/,"3,702 sqft","1,200",,,For Sale
214,Single Family,1924,Gas,No Data,No Data,$129,"$130,000","9227 S La Salle St, Chicago, IL 60620", No, 3, 1, 1,"Home values in 60620 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Princeton Park will fall 1.9% () in the next year.This home is valued 0.1% lower () than the median home in Princeton Park.The median Zestimate for this neighborhood is $130,070.",https://www.zillow.com/homedetails/9227-S-La-Salle-St-Chicago-IL-60620/4120036_zpid/,"4,338 sqft","1,004",,,For Sale
215,Multi Family,1908,Gas,No Data,2 spaces,No Data,"$450,000","4303 N Avers Ave, Chicago, IL 60618", No, 5, 3, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 12.1% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4303-N-Avers-Ave-Chicago-IL-60618/2077637607_zpid/,,,,,For Sale
216,Multi Family,1912,Forced air,No Data,2 spaces,$145,"$179,900","8735 S Escanaba Ave, Chicago, IL 60617", No, 11, 5, 4,"Home values in South Chicago have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Chicago will fall 5.1% () in the next year.This home is valued 85.9% higher () than the median home in South Chicago.The median Zestimate for this neighborhood is $96,782.",https://www.zillow.com/homedetails/8735-S-Escanaba-Ave-Chicago-IL-60617/159239536_zpid/,,"1,238",, 1,For Sale
217,Single Family,1957,Gas,Central,2 spaces,$100,"$129,900","13455 S Green Bay Ave, Chicago, IL 60633", No, 4, 1, 1,"Home values in Hegewisch have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hegewisch will rise 3.8% () in the next year.This home is valued 5.6% lower () than the median home in Hegewisch.The median Zestimate for this neighborhood is $137,622.",https://www.zillow.com/homedetails/13455-S-Green-Bay-Ave-Chicago-IL-60633/4175911_zpid/,"4,064 sqft","1,296",,,For Sale
218,Multi Family,1919,Forced air,No Data,None,No Data,"$199,000","3558 W Huron St, Chicago, IL 60624", No, 4, 2, 2,"Home values in East Garfield Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Garfield Park will increase 8.8% () in the next year.This home is valued 24.3% higher () than the median home in East Garfield Park.The median Zestimate for this neighborhood is $160,150.",https://www.zillow.com/homedetails/3558-W-Huron-St-Chicago-IL-60624/2107645888_zpid/,,,,,For Sale
219,Condo,2006,"Forced air, Gas",Central,1 space,$270,"$364,900","4913 N Kenmore Ave APT 3N, Chicago, IL 60640", No, 2, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 20.2% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4913-N-Kenmore-Ave-APT-3N-Chicago-IL-60640/80833648_zpid/,,"1,350",$217/mo,,For Sale
220,Condo,1999,Forced air,Central,2 spaces,$153,"$244,900","2409 W Flournoy St #B, Chicago, IL 60612", No, 2, 2, 1,"Home values in Tri-Taylor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Tri-Taylor will decrease 2.1% () in the next year.This home is valued 6% lower () than the median home in Tri-Taylor.The median Zestimate for this neighborhood is $260,631.",https://www.zillow.com/homedetails/2409-W-Flournoy-St-B-Chicago-IL-60612/54535555_zpid/,,"1,600",$217/month, 1,For Sale
221,Condo,1999,Forced air,Central,1 space,$390,"$429,000","1546 N Hoyne Ave APT 2, Chicago, IL 60622", No, 2, 2, 2,"Home values in Wicker Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% () in the next year.This home is valued 26.7% lower () than the median home in Wicker Park.The median Zestimate for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1546-N-Hoyne-Ave-APT-2-Chicago-IL-60622/54537130_zpid/,,"1,100",$162/month,,For Sale
