,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms,Status
56,Single Family,1903,Forced air,Central,2 spaces,None," $887,500","3853 N Hermitage Ave, Chicago, IL 60613","1,643", No, 4, 4, 3,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% (↓) in the next year.This home is valued 64.2% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3853-N-Hermitage-Ave-Chicago-IL-60613/3709443_zpid/,"2,700 sqft", 1,Sold
57,Multi Family,1890,Forced air,Other,2 spaces,," $620,000","1222 W Barry Ave, Chicago, IL 60657","1,200", No, 5, 2, 2,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 14.7% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1222-W-Barry-Ave-Chicago-IL-60657/2110376634_zpid/,,,Sold
58,Condo,2004,No Data,Central,No Data,$156/month," $361,125","1949 W Leland Ave APT 3, Chicago, IL 60640","1,145", No, 2, 2,,"Home values in Ravenswood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ravenswood will rise 2.6% (↑) in the next year.This home is valued 27.6% lower (↓) than the median home in Ravenswood.The median Zestimate® for this neighborhood is $498,877.",https://www.zillow.com/homedetails/1949-W-Leland-Ave-APT-3-Chicago-IL-60640/87694027_zpid/,,,Sold
59,Condo,1968,Forced air,Central,1 space,$667/month," $284,000","5901 N Sheridan Rd APT 3J, Chicago, IL 60660","1,500", No, 2, 2, 2,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% (↑) in the next year.This home is valued 17.3% higher (↑) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/5901-N-Sheridan-Rd-APT-3J-Chicago-IL-60660/3693684_zpid/,,,Sold
60,Single Family,2004,Forced air,Central,3 spaces,$125/month," $3,000,000","465 W Superior St, Chicago, IL 60654","8,768", No, 5, 8, 5,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will decrease 0.3% (↓) in the next year.This home is valued 605.8% higher (↑) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/465-W-Superior-St-Chicago-IL-60654/65542496_zpid/,"3,654 sqft", 3,Sold
61,Condo,1968,Forced air,No Data,None,$502/month," $90,000","1700 E 56th St APT 2303, Chicago, IL 60637",, No, 0, 1, 1,"Home values in East Hyde Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Hyde Park will fall 2.1% (↓) in the next year.This home is valued 62.1% lower (↓) than the median home in East Hyde Park.The median Zestimate® for this neighborhood is $237,756.",https://www.zillow.com/homedetails/1700-E-56th-St-APT-2303-Chicago-IL-60637/3989005_zpid/,,,Sold
62,Condo,1927,No Data,No Data,1 space,$375/month," $311,000","1409 W Elmdale Ave #3W, Chicago, IL 60660","1,600", No, 2, 1, 1,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will rise 1.3% (↑) in the next year.This home is valued 28.4% higher (↑) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/1409-W-Elmdale-Ave-3W-Chicago-IL-60660/3693054_zpid/,,,Sold
63,Single Family,1911,Forced air,Central,2 spaces,None," $705,000","2126 W Summerdale Ave, Chicago, IL 60625","2,356", No, 4, 3, 2,"Home values in Bowmanville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bowmanville will increase 4.8% (↑) in the next year.This home is valued 30.4% higher (↑) than the median home in Bowmanville.The median Zestimate® for this neighborhood is $540,497.",https://www.zillow.com/homedetails/2126-W-Summerdale-Ave-Chicago-IL-60625/3697278_zpid/,"3,689 sqft", 1,Sold
64,Condo,1928,No Data,No Data,None,$307/month," $289,000","529 W Melrose St #3D, Chicago, IL 60657","1,200", No, 1, 1, 1,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 8.4% lower (↓) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/529-W-Melrose-St-3D-Chicago-IL-60657/3719174_zpid/,,,Sold
65,Condo,2000,"Forced air, Gas",Central,1 space,$280/mo," $600,000","1654 W Augusta Blvd #1E, Chicago, IL 60622","2,700", No, 3, 3, 3,"Home values in East Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Ukrainian Village will rise 1.7% (↑) in the next year.This home is valued 12.9% higher (↑) than the median home in East Ukrainian Village.The median Zestimate® for this neighborhood is $531,329.",https://www.zillow.com/homedetails/1654-W-Augusta-Blvd-1E-Chicago-IL-60622/60202393_zpid/,,,Sold
66,Condo,2008,Forced air,Central,1 space,$200/month," $495,000","1423 N Artesian Ave #1, Chicago, IL 60622","2,465", No, 3, 3, 3,"Home values in Humboldt Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% (↑) in the next year.This home is valued 64.9% higher (↑) than the median home in Humboldt Park.The median Zestimate® for this neighborhood is $300,127.",https://www.zillow.com/homedetails/1423-N-Artesian-Ave-1-Chicago-IL-60622/89889034_zpid/,,,Sold
67,Condo,2002,Electric,Central,1 space,$360/month," $323,500","1740 N Maplewood Ave APT 420, Chicago, IL 60647","1,200", No, 2, 1, 1,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 19.9% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1740-N-Maplewood-Ave-APT-420-Chicago-IL-60647/63693720_zpid/,,,Sold
68,Single Family,1988,Forced air,Central,2 spaces,," $355,000","3950 W 101st St, Chicago, IL 60655","1,405", No, 3, 2, 1,"Home values in 60655 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Tally's Corner will rise 1.6% (↑) in the next year.This home is valued 42.5% higher (↑) than the median home in Tally's Corner.The median Zestimate® for this neighborhood is $249,049.",https://www.zillow.com/homedetails/3950-W-101st-St-Chicago-IL-60655/4074562_zpid/,"5,187 sqft", 1,Sold
69,Condo,2008,Forced air,Central,2 spaces,"$1,600/month"," $1,250,000","1211 S Prairie Ave APT 701, Chicago, IL 60605","2,920", No, 3, 3, 3,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% (↑) in the next year.This home is valued 231.7% higher (↑) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-701-Chicago-IL-60605/101321568_zpid/,,,Sold
70,Multi Family,1965,Forced air,No Data,2 spaces,," $240,000","12136 S Michigan Ave, Chicago, IL 60628",, No, 6, 2, 2,"Home values in West Pullman have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Pullman will rise 11.3% (↑) in the next year.This home is valued 149.3% higher (↑) than the median home in West Pullman.The median Zestimate® for this neighborhood is $96,277.",https://www.zillow.com/homedetails/12136-S-Michigan-Ave-Chicago-IL-60628/2078383439_zpid/,,,Sold
71,Condo,1960,Other,Wall,1 space,$633/month," $181,500","3600 N Lake Shore Dr APT 2105, Chicago, IL 60613",850, No, 1, 1, 1,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 42.5% lower (↓) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/3600-N-Lake-Shore-Dr-APT-2105-Chicago-IL-60613/3715596_zpid/,,,Sold
72,Condo,1966,Forced air,Central,2 spaces,"$1,331/month"," $374,000","1325 N State Pkwy APT 14E, Chicago, IL 60610","1,650", No, 2, 2, 2,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% (↓) in the next year.This home is valued 29.8% lower (↓) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1325-N-State-Pkwy-APT-14E-Chicago-IL-60610/3844202_zpid/,,,Sold
73,Condo,1920,Gas,Central,1 space,$123/month," $222,500","2214 N Campbell Ave APT 1C, Chicago, IL 60647",, No, 1, 1, 1,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% (↑) in the next year.This home is valued 44.9% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2214-N-Campbell-Ave-APT-1C-Chicago-IL-60647/87701060_zpid/,,,Sold
74,Condo,1926,No Data,No Data,None,"$2,704/month"," $555,000","1366 N Dearborn St #14BC, Chicago, IL 60610","2,700", No, 3, 4, 3,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% (↓) in the next year.This home is valued 4.2% higher (↑) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1366-N-Dearborn-St-14BC-Chicago-IL-60610/2079784440_zpid/,, 1,Sold
75,Condo,2004,Forced air,Central,2 spaces,"$2,466/month"," $2,000,000","201 W Grand Ave APT PH2, Chicago, IL 60654","3,000", No, 3, 3, 2,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will fall 0.3% (↓) in the next year.This home is valued 370.5% higher (↑) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/201-W-Grand-Ave-APT-PH2-Chicago-IL-60654/2080949852_zpid/,, 1,Sold
76,Single Family,1952,Forced air,Central,2 spaces,None," $345,000","7615 W Catalpa Ave, Chicago, IL 60656","1,500", No, 4, 3, 2,"Home values in Oriole Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Oriole Park will fall 3.1% (↓) in the next year.This home is valued 12.2% higher (↑) than the median home in Oriole Park.The median Zestimate® for this neighborhood is $307,393.",https://www.zillow.com/homedetails/7615-W-Catalpa-Ave-Chicago-IL-60656/3583767_zpid/,"4,961 sqft", 1,Sold
77,Condo,2006,Forced air,Central,1 space,$160/month," $203,000","3438 N Narragansett Ave UNIT 1, Chicago, IL 60634","1,200", No, 2, 2, 2,"Home values in Schorsch Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Schorsch Village will fall 3.8% (↓) in the next year.This home is valued 28.2% lower (↓) than the median home in Schorsch Village.The median Zestimate® for this neighborhood is $282,834.",https://www.zillow.com/homedetails/3438-N-Narragansett-Ave-UNIT-1-Chicago-IL-60634/80856118_zpid/,,,Sold
78,Single Family,1945,Gas,Central,2 spaces,," $147,000","8108 S Wood St, Chicago, IL 60620","1,398", No, 3, 2, 1,"Home values in Gresham have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gresham will fall 3.6% (↓) in the next year.This home is valued 16.6% higher (↑) than the median home in Gresham.The median Zestimate® for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8108-S-Wood-St-Chicago-IL-60620/4013045_zpid/,"4,029 sqft", 1,Sold
79,Multi Family,1910,Gas,No Data,2 spaces,," $430,000","6217 S Rhodes Ave, Chicago, IL 60637",, No, 9, 3, 3,"Home values in West Woodlawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Woodlawn will decrease 6.6% (↓) in the next year.This home is valued 296.5% higher (↑) than the median home in West Woodlawn.The median Zestimate® for this neighborhood is $108,444.",https://www.zillow.com/homedetails/6217-S-Rhodes-Ave-Chicago-IL-60637/2078520885_zpid/,,,Sold
80,Townhouse,2015,"Forced air, Gas",Central,2 spaces,," $410,000","3853 S Parnell Ave, Chicago, IL 60609","2,000", No, 3, 3, 2,"Home values in Bridgeport have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% (↓) in the next year.This home is valued 13.2% higher (↑) than the median home in Bridgeport.The median Zestimate® for this neighborhood is $362,289.",https://www.zillow.com/homedetails/3853-S-Parnell-Ave-Chicago-IL-60609/253421052_zpid/,825 sqft, 1,Sold
81,Condo,2001,Forced air,Central,1 space,$254/month," $444,000","1373 W Hubbard St APT 2E, Chicago, IL 60642","1,750", No, 2, 2, 2,"Home values in West Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% (↑) in the next year.This home is valued 12.5% lower (↓) than the median home in West Town.The median Zestimate® for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1373-W-Hubbard-St-APT-2E-Chicago-IL-60642/60266819_zpid/,,,Sold
82,Condo,1902,Forced air,Central,1 space,$536/month," $384,000","400 S Green St APT 417, Chicago, IL 60607","1,149", No, 1, 1, 1,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 8.7% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/400-S-Green-St-APT-417-Chicago-IL-60607/3873842_zpid/,,,Sold
83,Condo,1912,Forced air,Central,1 space,$916/month," $400,000","540 N Lake Shore Dr APT 701, Chicago, IL 60611","1,030", No, 1, 1, 1,"Home values in Streeterville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% (↓) in the next year.This home is valued 13.8% lower (↓) than the median home in Streeterville.The median Zestimate® for this neighborhood is $463,930.",https://www.zillow.com/homedetails/540-N-Lake-Shore-Dr-APT-701-Chicago-IL-60611/3867217_zpid/,,,Sold
84,Single Family,1916,Gas,No Data,2 spaces,," $270,000","5326 W Adams St, Chicago, IL 60644",968, No, 6, 2,,"Home values in South Austin have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Austin will rise 3.4% (↑) in the next year.This home is valued 59.3% higher (↑) than the median home in South Austin.The median Zestimate® for this neighborhood is $169,507.",https://www.zillow.com/homedetails/5326-W-Adams-St-Chicago-IL-60644/2104403720_zpid/,"3,920 sqft",,Sold
85,Single Family,1939,Gas,No Data,2 spaces,," $329,900","11541 S Bell Ave, Chicago, IL 60643","1,680", No, 3, 2, 1,"Home values in Morgan Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Morgan Park will decrease 1.9% (↓) in the next year.This home is valued 113.9% higher (↑) than the median home in Morgan Park.The median Zestimate® for this neighborhood is $154,237.",https://www.zillow.com/homedetails/11541-S-Bell-Ave-Chicago-IL-60643/4148877_zpid/,"10,300 sqft", 1,Sold
86,Multi Family,1914,Forced air,No Data,2 spaces,," $235,000","4438 S Maplewood Ave, Chicago, IL 60632",, No, 7, 4, 3,"Home values in Brighton Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Brighton Park will increase 5.7% (↑) in the next year.This home is valued 21.7% higher (↑) than the median home in Brighton Park.The median Zestimate® for this neighborhood is $193,113.",https://www.zillow.com/homedetails/4438-S-Maplewood-Ave-Chicago-IL-60632/2078458005_zpid/,, 1,Sold
87,Condo,1998,Forced air,Central,1 space,$830/month," $410,000","333 W Hubbard St APT 609, Chicago, IL 60654","1,039", No, 2, 1, 1,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will decrease 0.3% (↓) in the next year.This home is valued 3.5% lower (↓) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/333-W-Hubbard-St-APT-609-Chicago-IL-60654/58366713_zpid/,,,Sold
88,Townhouse,2007,Forced air,Central,2 spaces,$400/month," $1,000,000","111 S Racine Ave, Chicago, IL 60607","2,727", No, 4, 4, 4,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 137.7% higher (↑) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/111-S-Racine-Ave-Chicago-IL-60607/80841262_zpid/,955 sqft,,Sold
89,Single Family,1890,Gas,No Data,None,," $25,000","624 W Englewood Ave, Chicago, IL 60621","1,476", No, 4, 2, 2,"Home values in Englewood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Englewood will increase 9% (↑) in the next year.This home is valued 48.7% lower (↓) than the median home in Englewood.The median Zestimate® for this neighborhood is $48,744.",https://www.zillow.com/homedetails/624-W-Englewood-Ave-Chicago-IL-60621/65540190_zpid/,"3,985 sqft",,Sold
90,Multi Family,1914,Forced air,No Data,2 spaces,," $199,000","7625 S Green St, Chicago, IL 60620","2,358", No, 5, 2, 2,"Home values in Gresham have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% (↓) in the next year.This home is valued 57.8% higher (↑) than the median home in Gresham.The median Zestimate® for this neighborhood is $126,118.",https://www.zillow.com/homedetails/7625-S-Green-St-Chicago-IL-60620/2112714416_zpid/,,,Sold
91,Condo,1936,"Forced air, Gas",Central,1 space,"$1,223/mo"," $510,000","1209 N State Pkwy APT 7, Chicago, IL 60610","1,450", No, 2, 3, 2,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% (↓) in the next year.This home is valued 4.2% lower (↓) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1209-N-State-Pkwy-APT-7-Chicago-IL-60610/60265917_zpid/,, 1,Sold
92,Condo,1915,Gas,Wall,1 space,$366/month," $159,900","4312 N Clarendon Ave APT 1200, Chicago, IL 60613",850, No, 2, 1, 1,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will increase 2% (↑) in the next year.This home is valued 47.3% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4312-N-Clarendon-Ave-APT-1200-Chicago-IL-60613/3706672_zpid/,,,Sold
93,Single Family,1887,Gas,Central,1 space,None," $460,000","2344 W Altgeld St, Chicago, IL 60647","2,074", No, 3, 2, 2,"Home values in Bucktown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% (↑) in the next year.This home is valued 23.5% lower (↓) than the median home in Bucktown.The median Zestimate® for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2344-W-Altgeld-St-Chicago-IL-60647/101425699_zpid/,"1,846 sqft",,Sold
94,Condo,1907,Forced air,Central,1 space,$203/month," $398,000","2636 N Fairfield Ave APT 3N, Chicago, IL 60647","1,500", No, 3, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% (↑) in the next year.This home is valued 1.4% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2636-N-Fairfield-Ave-APT-3N-Chicago-IL-60647/60200463_zpid/,,,Sold
95,Condo,1925,No Data,No Data,1 space,$405/month," $399,900","2749 W Giddings St APT 3E, Chicago, IL 60625",, No, 2, 2, 2,"Home values in Ravenswood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ravenswood will increase 2.6% (↑) in the next year.This home is valued 19.8% lower (↓) than the median home in Ravenswood.The median Zestimate® for this neighborhood is $498,877.",https://www.zillow.com/homedetails/2749-W-Giddings-St-APT-3E-Chicago-IL-60625/2078315869_zpid/,,,Sold
96,Single Family,1906,Gas,Central,2 spaces,None," $180,000","825 N Harding Ave, Chicago, IL 60651","1,032", No, 4, 2, 2,"Home values in Humboldt Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% (↑) in the next year.This home is valued 40% lower (↓) than the median home in Humboldt Park.The median Zestimate® for this neighborhood is $300,127.",https://www.zillow.com/homedetails/825-N-Harding-Ave-Chicago-IL-60651/3794351_zpid/,"3,136 sqft",,Sold
97,Condo,2002,Forced air,Central,1 space,$139/month," $330,000","2641 N Talman Ave #2, Chicago, IL 60647",, No, 2, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 18.3% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2641-N-Talman-Ave-2-Chicago-IL-60647/2078267502_zpid/,,,Sold
98,Condo,2012,Forced air,Central,1 space,$249/month," $438,500","2435 W Belmont Ave APT 3W, Chicago, IL 60618","1,480", No, 3, 2, 2,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 18.9% lower (↓) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/2435-W-Belmont-Ave-APT-3W-Chicago-IL-60618/123130696_zpid/,,,Sold
99,Condo,2007,Forced air,Central,1 space,$441/month," $372,500","4846 N Clark St #507, Chicago, IL 60640","1,189", No, 2, 2, 2,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will rise 2% (↑) in the next year.This home is valued 22.7% higher (↑) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4846-N-Clark-St-507-Chicago-IL-60640/2078201987_zpid/,,,Sold
100,Single Family,1956,Forced air,Central,2 spaces,," $255,000","5124 N Melvina Ave, Chicago, IL 60630","1,008", No, 4, 2, 2,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% (↓) in the next year.This home is valued 15.9% lower (↓) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5124-N-Melvina-Ave-Chicago-IL-60630/3634280_zpid/,"4,268 sqft",,Sold
101,Condo,2001,"Forced air, Gas",Central,1 space,$147/mo," $506,500","1048 N Wolcott Ave #2, Chicago, IL 60622","1,239", No, 2, 2, 2,"Home values in East Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Ukrainian Village will increase 1.7% (↑) in the next year.This home is valued 4.7% lower (↓) than the median home in East Ukrainian Village.The median Zestimate® for this neighborhood is $531,329.",https://www.zillow.com/homedetails/1048-N-Wolcott-Ave-2-Chicago-IL-60622/65565037_zpid/,,,Sold
102,Condo,1909,Gas,Central,1 space,$304/month," $355,000","2950 W Palmer St #A2, Chicago, IL 60647",, No, 2, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 12.1% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2950-W-Palmer-St-A2-Chicago-IL-60647/3688414_zpid/,,,Sold
103,Townhouse,2004,Forced air,Central,1 space,$160/month," $390,000","3256 W Armitage Ave UNIT 3, Chicago, IL 60647","1,976", No, 3, 3, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 3.4% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/3256-W-Armitage-Ave-UNIT-3-Chicago-IL-60647/80845783_zpid/,954 sqft, 1,Sold
104,Condo,1984,Electric,Central,2 spaces,"$1,867/month"," $825,000","950 N Michigan Ave APT 3402, Chicago, IL 60611","2,175", No, 3, 4, 3,"Home values in Streeterville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% (↓) in the next year.This home is valued 77.8% higher (↑) than the median home in Streeterville.The median Zestimate® for this neighborhood is $463,930.",https://www.zillow.com/homedetails/950-N-Michigan-Ave-APT-3402-Chicago-IL-60611/2083798662_zpid/,, 1,Sold
105,Condo,2020,Forced air,Central,1 space,$249/month," $589,000","2755 W Lawrence Ave #3E, Chicago, IL 60625","1,850", No, 3, 2, 2,"Home values in Ravenswood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ravenswood will rise 2.6% (↑) in the next year.This home is valued 18.1% higher (↑) than the median home in Ravenswood.The median Zestimate® for this neighborhood is $498,877.",https://www.zillow.com/homedetails/2755-W-Lawrence-Ave-3E-Chicago-IL-60625/2078997090_zpid/,,,Sold
106,Condo,1919,Radiant,Central,1 space,$436/month," $389,000","1328 W Elmdale Ave #2E, Chicago, IL 60660","1,700", No, 2, 2, 2,"Home values in Edgewater Glen have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater Glen will rise 3.3% (↑) in the next year.This home is valued 18.5% lower (↓) than the median home in Edgewater Glen.The median Zestimate® for this neighborhood is $477,472.",https://www.zillow.com/homedetails/1328-W-Elmdale-Ave-2E-Chicago-IL-60660/3690034_zpid/,,,Sold
107,Condo,2001,"Forced air, Gas",Central,1 space,$147/mo," $506,500","1048 N Wolcott Ave #2, Chicago, IL 60622","1,239", No, 2, 2, 2,"Home values in East Ukrainian Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Ukrainian Village will rise 1.7% (↑) in the next year.This home is valued 4.7% lower (↓) than the median home in East Ukrainian Village.The median Zestimate® for this neighborhood is $531,329.",https://www.zillow.com/homedetails/1048-N-Wolcott-Ave-2-Chicago-IL-60622/65565037_zpid/,,,Sold
108,Condo,2020,Forced air,Central,1 space,$469/month," $935,000","2643 N Hermitage Ave #204N, Chicago, IL 60614","1,900", No, 3, 3, 2,"Home values in Lathrop Homes have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lathrop Homes will fall 0.4% (↓) in the next year.This home is valued 59.8% higher (↑) than the median home in Lathrop Homes.The median Zestimate® for this neighborhood is $585,007.",https://www.zillow.com/homedetails/2643-N-Hermitage-Ave-204N-Chicago-IL-60614/2078133447_zpid/,, 1,Sold
109,Single Family,1956,"Forced air, Gas",Central,2 spaces,," $255,000","5124 N Melvina Ave, Chicago, IL 60630","1,008", No, 4, 2, 2,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% (↓) in the next year.This home is valued 15.9% lower (↓) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5124-N-Melvina-Ave-Chicago-IL-60630/3634280_zpid/,"4,268 sqft",,Sold
110,Condo,1936,"Forced air, Gas",Central,1 space,"$1,223/mo"," $510,000","1209 N State Pkwy APT 7, Chicago, IL 60610","1,450", No, 2, 3, 2,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% (↓) in the next year.This home is valued 4.2% lower (↓) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1209-N-State-Pkwy-APT-7-Chicago-IL-60610/60265917_zpid/,, 1,Sold
111,Single Family,2020,Gas,Central,2 spaces,," $1,580,000","2142 W Waveland Ave, Chicago, IL 60618","4,000", No, 6, 5, 4,"Home values in North Center have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in North Center will rise 1.3% (↑) in the next year.This home is valued 106.5% higher (↑) than the median home in North Center.The median Zestimate® for this neighborhood is $765,003.",https://www.zillow.com/homedetails/2142-W-Waveland-Ave-Chicago-IL-60618/2130393977_zpid/,"3,136 sqft", 1,Sold
