,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms
229,Condo,No Data,Forced air,Central,42 spaces,$710,"$1,390,000","1400 W Monroe St #6G, Chicago, IL 60607", Yes, 3, 3, 3,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% () in the next year.This home is valued 230.4% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1400-W-Monroe-St-6G-Chicago-IL-60607/2077642883_zpid/,,"1,959",$547/month,
230,Condo,2000,Forced air,Central,1 space,$324,"$649,000","618 W Oakdale Ave APT 3, Chicago, IL 60657", No, 3, 2, 2,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 105.7% higher () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/618-W-Oakdale-Ave-APT-3-Chicago-IL-60657/58361256_zpid/,,"2,000",$231/month,
231,Single Family,1923,Gas,Central,2 spaces,$315,"$499,000","4969 N Kolmar Ave, Chicago, IL 60630", No, 4, 4, 4,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 58.6% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4969-N-Kolmar-Ave-Chicago-IL-60630/2085298934_zpid/,"3,550 sqft","1,584",,
232,Multiple Occupancy,1916,Gas,Central,2 spaces,,"$589,000","4341 N Mcvicker Ave, Chicago, IL 60634", No, 5, 3, 3,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% () in the next year.This home is valued 103.2% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/4341-N-Mcvicker-Ave-Chicago-IL-60634/2085257443_zpid/,,,,
233,Single Family,2009,"Forced air, Gas",Central,6 spaces,$772,"$7,999,000","460 W Huron St, Chicago, IL 60654", No, 7, 11, 8,"Home values in River North have risen 0.6% () over the past 12 months.Zillow predicts the home values in River North will fall 0.3% () in the next year.This home is valued 1781.9% higher () than the median home in River North.The median Zestimate for this neighborhood is $425,048.",https://www.zillow.com/homedetails/460-W-Huron-St-Chicago-IL-60654/70427044_zpid/,"7,405 sqft","10,360",, 3
234,Single Family,1987,Gas,Central,2 spaces,$110,"$140,000","2516 E 83rd St, Chicago, IL 60617", No, 3, 2, 2,"Home values in South Chicago have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Chicago will decrease 5.1% () in the next year.This home is valued 44.7% higher () than the median home in South Chicago.The median Zestimate for this neighborhood is $96,782.",https://www.zillow.com/homedetails/2516-E-83rd-St-Chicago-IL-60617/4026957_zpid/,"4,164 sqft","1,278",,
235,Condo,2005,Baseboard,Central,2 spaces,$518,"$1,295,000","21 E Huron St APT 3404, Chicago, IL 60611", No, 3, 4, 3,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will fall 0% () in the next year.This home is valued 232% higher () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/21-E-Huron-St-APT-3404-Chicago-IL-60611/70449502_zpid/,,"2,500","$1,929/month", 1
236,Condo,2007,"Forced air, Gas",Central,1 space,,"$339,900","828 W Grace St APT 1308, Chicago, IL 60613", No, 2, 1, 1,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 37.1% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/828-W-Grace-St-APT-1308-Chicago-IL-60613/89935628_zpid/,,,$422/mo,
237,Single Family,1947,No Data,No Data,1 space,$296,"$889,000","6958 N Tonty Ave, Chicago, IL 60646", No, 4, 4, 3,"Home values in Wildwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wildwood will decrease 0.3% () in the next year.This home is valued 101.5% higher () than the median home in Wildwood.The median Zestimate for this neighborhood is $441,218.",https://www.zillow.com/homedetails/6958-N-Tonty-Ave-Chicago-IL-60646/3553382_zpid/,"6,838 sqft","3,000",None, 1
238,Single Family,1918,Gas,Central,2 spaces,$124,"$460,000","6410 W Raven St, Chicago, IL 60631", No, 5, 3, 2,"Home values in Norwood Park East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Norwood Park East will decrease 1.2% () in the next year.This home is valued 37.4% higher () than the median home in Norwood Park East.The median Zestimate for this neighborhood is $334,700.",https://www.zillow.com/homedetails/6410-W-Raven-St-Chicago-IL-60631/3628024_zpid/,"6,229 sqft","3,700",, 1
239,Single Family,2004,Forced air,Central,2 spaces,"$1,588","$1,175,000","344 W Scott St, Chicago, IL 60610", No, 4, 4, 3,"Home values in Old Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town will fall 0.2% () in the next year.This home is valued 194.9% higher () than the median home in Old Town.The median Zestimate for this neighborhood is $398,382.",https://www.zillow.com/homedetails/344-W-Scott-St-Chicago-IL-60610/65563741_zpid/,"2,781 sqft",740,$235/month, 1
240,Townhouse,1926,"Forced air, Gas",Central,1 space,$422,"$1,350,000","245 W Concord Ln, Chicago, IL 60614", No, 4, 3, 3,"Home values in 60614 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% () in the next year.This home is valued 111.6% higher () than the median home in Old Town Triangle.The median Zestimate for this neighborhood is $638,027.",https://www.zillow.com/homedetails/245-W-Concord-Ln-Chicago-IL-60614/3743195_zpid/,0.80 Acres,"3,200",,
241,Single Family,1880,Forced air,Central,2 spaces,$292,"$729,000","3024 W Medill Ave, Chicago, IL 60647", No, 3, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 80.6% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/3024-W-Medill-Ave-Chicago-IL-60647/3688312_zpid/,"3,310 sqft","2,500",,
242,Condo,1917,Forced air,Central,1 space,$252,"$235,000","523 S Plymouth Ct APT 303, Chicago, IL 60605", No, 1, 1, 1,"Home values in Printers Row have risen 0.6% () over the past 12 months.Zillow predicts the home values in Printers Row will rise 0.5% () in the next year.This home is valued 12.3% lower () than the median home in Printers Row.The median Zestimate for this neighborhood is $267,990.",https://www.zillow.com/homedetails/523-S-Plymouth-Ct-APT-303-Chicago-IL-60605/3871350_zpid/,,931,$405/month,
243,Single Family,1905,"Forced air, Gas",Central,2 spaces,$138,"$199,500","3018 S Kedvale Ave, Chicago, IL 60623", No, 3, 3, 2,"Home values in Little Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Little Village will fall 0.5% () in the next year.This home is valued 33% higher () than the median home in Little Village.The median Zestimate for this neighborhood is $149,958.",https://www.zillow.com/homedetails/3018-S-Kedvale-Ave-Chicago-IL-60623/2077643475_zpid/,"3,136 sqft","1,446",, 1
244,Single Family,1921,Gas,Central,2 spaces,$90,"$269,000","8046 S Justine St, Chicago, IL 60620", No, 5, 3, 3,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% () in the next year.This home is valued 113.3% higher () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8046-S-Justine-St-Chicago-IL-60620/4014494_zpid/,"3,998 sqft","3,000",None,
245,Condo,1920,Forced air,Central,1 space,$309,"$339,900","1934 N Washtenaw Ave APT 216, Chicago, IL 60647", No, 2, 1, 1,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 15.8% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1934-N-Washtenaw-Ave-APT-216-Chicago-IL-60647/62008307_zpid/,,"1,100",$260/month,
246,Multiple Occupancy,1913,"Forced air, Gas",Central,2 spaces,,"$690,000","2628 N Ridgeway Ave, Chicago, IL 60647", No, 6, 3, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 70.9% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2628-N-Ridgeway-Ave-Chicago-IL-60647/2077643793_zpid/,,,,
247,Multiple Occupancy,1923,"Forced air, Gas",Central,3 spaces,,"$825,000","4919 N Saint Louis Ave, Chicago, IL 60625", No, 6, 4, 4,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 162.1% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4919-N-Saint-Louis-Ave-Chicago-IL-60625/2077643800_zpid/,,,,
248,Townhouse,1989,"Electric, Gas",Central,1 space,$291,"$719,900","2501 N Wayne Ave APT 21, Chicago, IL 60614", No, 3, 3, 2,"Home values in Wrightwood Neighbors have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wrightwood Neighbors will decrease 0.5% () in the next year.This home is valued 6.3% higher () than the median home in Wrightwood Neighbors.The median Zestimate for this neighborhood is $677,229.",https://www.zillow.com/homedetails/2501-N-Wayne-Ave-APT-21-Chicago-IL-60614/3729675_zpid/,0.57 acres,"2,475",$375/month, 1
249,Condo,1999,"Forced air, Gas",Central,1 space,$333,"$500,000","130 S Canal St APT 502, Chicago, IL 60606", No, 2, 2, 2,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will fall 0.5% () in the next year.This home is valued 47.6% higher () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/130-S-Canal-St-APT-502-Chicago-IL-60606/58368776_zpid/,,"1,500",$970/mo,
250,Single Family,1920,Forced air,Central,2 spaces,$583,"$2,450,000","1844 N Fremont St, Chicago, IL 60614", No, 5, 5, 4,"Home values in Ranch Triangle have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ranch Triangle will fall 3% () in the next year.This home is valued 244.7% higher () than the median home in Ranch Triangle.The median Zestimate for this neighborhood is $710,767.",https://www.zillow.com/homedetails/1844-N-Fremont-St-Chicago-IL-60614/158608404_zpid/,"3,000 sqft","4,200",None, 1
251,Condo,2001,Forced air,Central,None,$399,"$335,000","345 N La Salle Dr APT 3002, Chicago, IL 60654", No, 1, 1, 1,"Home values in River North have risen 0.6% () over the past 12 months.Zillow predicts the home values in River North will fall 0.3% () in the next year.This home is valued 21.2% lower () than the median home in River North.The median Zestimate for this neighborhood is $425,048.",https://www.zillow.com/homedetails/345-N-La-Salle-Dr-APT-3002-Chicago-IL-60654/63701005_zpid/,,840,$529/month,
252,Condo,1915,Forced air,Central,None,$274,"$329,000","4121 N Sheridan Rd APT 1N, Chicago, IL 60613", No, 2, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will increase 2% () in the next year.This home is valued 8.4% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4121-N-Sheridan-Rd-APT-1N-Chicago-IL-60613/65559325_zpid/,,"1,200",$377/month,
253,Townhouse,1988,Forced air,Central,1 space,$356,"$889,000","1701 N Halsted St #E1, Chicago, IL 60614", No, 3, 3, 3,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will decrease 0.8% () in the next year.This home is valued 60.8% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/1701-N-Halsted-St-E1-Chicago-IL-60614/3740597_zpid/,0.31 acres,"2,500",$488/month,
254,Condo,1985,"Forced air, Gas",Central,1 space,$381,"$629,000","1651 N Dayton St APT 100, Chicago, IL 60614", No, 3, 3, 2,"Home values in Ranch Triangle have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ranch Triangle will decrease 3% () in the next year.This home is valued 11.5% lower () than the median home in Ranch Triangle.The median Zestimate for this neighborhood is $710,767.",https://www.zillow.com/homedetails/1651-N-Dayton-St-APT-100-Chicago-IL-60614/3736990_zpid/,,"1,650",$286/mo, 1
255,Condo,2005,Gas,Central,1 space,$295,"$339,000","1525 S Sangamon St #417, Chicago, IL 60608", No, 2, 2, 2,"Home values in University Village - Little Italy have risen 0.6% () over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% () in the next year.This home is valued 3.5% lower () than the median home in University Village - Little Italy.The median Zestimate for this neighborhood is $351,164.",https://www.zillow.com/homedetails/1525-S-Sangamon-St-417-Chicago-IL-60608/65572048_zpid/,,"1,150",$500/month,
256,Condo,2000,Forced air,Central,2 spaces,No Data,"$499,000","3845 N Ashland Ave APT 2E, Chicago, IL 60613", No, 2, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 7.7% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3845-N-Ashland-Ave-APT-2E-Chicago-IL-60613/54534049_zpid/,,,$329/month,
257,Condo,2004,Forced air,Central,1 space,$396,"$594,000","1505 W School St #3, Chicago, IL 60657", No, 2, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 9.9% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1505-W-School-St-3-Chicago-IL-60657/70448435_zpid/,,"1,500",$224/month,
258,Condo,2004,Forced air,Central,1 space,$256,"$730,000","1520 N Cleveland Ave #1, Chicago, IL 60610", No, 3, 3, 3,"Home values in Old Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town will decrease 0.2% () in the next year.This home is valued 83.2% higher () than the median home in Old Town.The median Zestimate for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1520-N-Cleveland-Ave-1-Chicago-IL-60610/70463903_zpid/,,"2,850",$206/month,
259,Multiple Occupancy,2005,"Forced air, Gas",Central,No Data,$281,"$365,000","914 S Racine Ave APT 201, Chicago, IL 60607", No, 2, 2, 2,"Home values in University Village - Little Italy have risen 0.6% () over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% () in the next year.This home is valued 3.9% higher () than the median home in University Village - Little Italy.The median Zestimate for this neighborhood is $351,164.",https://www.zillow.com/homedetails/914-S-Racine-Ave-APT-201-Chicago-IL-60607/87710596_zpid/,,"1,300",,
260,Multiple Occupancy,No Data,"Forced air, Gas",Central,3 spaces,,"$999,000","1326 W George St, Chicago, IL 60657", No, 7, 4, 4,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 84.8% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1326-W-George-St-Chicago-IL-60657/2077644839_zpid/,,,,
261,Single Family,1964,Forced air,No Data,2 spaces,$71,"$69,000","1156 W 115th St, Chicago, IL 60643", No, 3, 1, 1,"Home values in Morgan Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Morgan Park will fall 1.9% () in the next year.This home is valued 55.3% lower () than the median home in Morgan Park.The median Zestimate for this neighborhood is $154,237.",https://www.zillow.com/homedetails/1156-W-115th-St-Chicago-IL-60643/4150650_zpid/,"3,171 sqft",969,None,
262,Condo,2003,"Forced air, Gas",Central,2 spaces,$298,"$424,900","949 N Willard Ct, Chicago, IL 60642", No, 3, 2, 2,"Home values in Goose Island have risen 0.6% () over the past 12 months.Zillow predicts the home values in Goose Island will decrease 0.6% () in the next year.This home is valued 8.4% lower () than the median home in Goose Island.The median Zestimate for this neighborhood is $463,950.",https://www.zillow.com/homedetails/949-N-Willard-Ct-Chicago-IL-60642/65564832_zpid/,,"1,428",$360/mo,
263,Condo,2005,Gas,Central,1 space,$469,"$435,000","201 N Westshore Dr APT 2304, Chicago, IL 60601", No, 1, 2, 1,"Home values in New Eastside have risen 0.6% () over the past 12 months.Zillow predicts the home values in New Eastside will fall 1.7% () in the next year.This home is valued 11.2% lower () than the median home in New Eastside.The median Zestimate for this neighborhood is $490,075.",https://www.zillow.com/homedetails/201-N-Westshore-Dr-APT-2304-Chicago-IL-60601/70471235_zpid/,,927,$670/mo, 1
264,Single Family,1955,Gas,Central,2 spaces,$214,"$314,900","11829 S Maplewood Ave, Chicago, IL 60655", No, 3, 2, 1,"Home values in Beverly Woods have risen 0.6% () over the past 12 months.Zillow predicts the home values in Beverly Woods will rise 3.9% () in the next year.This home is valued 40.2% higher () than the median home in Beverly Woods.The median Zestimate for this neighborhood is $224,622.",https://www.zillow.com/homedetails/11829-S-Maplewood-Ave-Chicago-IL-60655/4100049_zpid/,"4,965 sqft","1,473",, 1
265,Condo,1950,Baseboard,No Data,Attached Garage,No Data,"$95,000","4880 N Marine Dr APT 507, Chicago, IL 60640", No, 0, 1, 1,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will increase 2% () in the next year.This home is valued 68.7% lower () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4880-N-Marine-Dr-APT-507-Chicago-IL-60640/3702412_zpid/,,,$337/month,
266,Multiple Occupancy,1925,Forced air,No Data,2 spaces,,"$224,900","7512 S Calumet Ave, Chicago, IL 60619", No, 4, 2, 2,"Home values in Chatham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chatham will fall 5.4% () in the next year.This home is valued 69.8% higher () than the median home in Chatham.The median Zestimate for this neighborhood is $132,482.",https://www.zillow.com/homedetails/7512-S-Calumet-Ave-Chicago-IL-60619/2077645047_zpid/,,,,
267,Single Family,2005,Gas,Central,2 spaces,$184,"$699,000","2519 S Eleanor St, Chicago, IL 60608", No, 3, 4, 3,"Home values in Bridgeport have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bridgeport will fall 0.2% () in the next year.This home is valued 92.9% higher () than the median home in Bridgeport.The median Zestimate for this neighborhood is $362,289.",https://www.zillow.com/homedetails/2519-S-Eleanor-St-Chicago-IL-60608/65539771_zpid/,"4,399 sqft","3,800",, 1
268,Multiple Occupancy,No Data,"Forced air, Gas",Central,2 spaces,$625,"$624,900","1417 W Augusta Blvd, Chicago, IL 60642", No, 4, 3, 3,"Home values in Noble Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Noble Square will fall 0.4% () in the next year.This home is valued 28.4% higher () than the median home in Noble Square.The median Zestimate for this neighborhood is $486,715.",https://www.zillow.com/homedetails/1417-W-Augusta-Blvd-Chicago-IL-60642/2125154567_zpid/,,"1,000",,
269,Condo,2006,"Forced air, Gas",Central,1 space,$285,"$424,900","1935 S Archer Ave APT 415, Chicago, IL 60616", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 12.7% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1935-S-Archer-Ave-APT-415-Chicago-IL-60616/87699363_zpid/,,"1,489",$635/mo,
270,Multiple Occupancy,1904,Gas,No Data,2 spaces,,"$274,900","1651 N Harding Ave, Chicago, IL 60647", No, 4, 3, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 31.9% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1651-N-Harding-Ave-Chicago-IL-60647/2077645369_zpid/,,,,
271,Condo,1996,Forced air,Central,2 spaces,No Data,"$435,000","3248 N Seminary Ave #2, Chicago, IL 60657", No, 2, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 19.5% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3248-N-Seminary-Ave-2-Chicago-IL-60657/3712720_zpid/,,,$137/month,
272,Townhouse,2001,Forced air,Central,2 spaces,$241,"$539,900","4646 N Greenview Ave UNIT 8, Chicago, IL 60640", No, 3, 3, 3,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 77.9% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4646-N-Greenview-Ave-UNIT-8-Chicago-IL-60640/60263164_zpid/,1.46 acres,"2,240",$370/month,
273,Single Family,1954,Forced air,Central,1 space,$330,"$294,900","10928 S Albany Ave, Chicago, IL 60655", No, 3, 2, 2,"Home values in Mount Greenwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Mount Greenwood will increase 1.5% () in the next year.This home is valued 21.4% higher () than the median home in Mount Greenwood.The median Zestimate for this neighborhood is $242,860.",https://www.zillow.com/homedetails/10928-S-Albany-Ave-Chicago-IL-60655/4079755_zpid/,"4,356 sqft",894,None,
274,Condo,1940,No Data,No Data,1 space,$183,"$219,000","1262 W Pratt Blvd APT 3, Chicago, IL 60626", No, 2, 1, 1,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will increase 1.4% () in the next year.This home is valued 3.1% lower () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1262-W-Pratt-Blvd-APT-3-Chicago-IL-60626/3573926_zpid/,,"1,200",$343/mo,
275,Single Family,1966,Forced air,Central,2 spaces,$68,"$69,900","522 E 88th Pl, Chicago, IL 60619", No, 3, 2, 2,"Home values in Burnside have risen 0.6% () over the past 12 months.Zillow predicts the home values in Burnside will rise 2.4% () in the next year.This home is valued 43.5% lower () than the median home in Burnside.The median Zestimate for this neighborhood is $123,820.",https://www.zillow.com/homedetails/522-E-88th-Pl-Chicago-IL-60619/4116027_zpid/,"4,704 sqft","1,027",,
276,Condo,1973,"Forced air, Other",Central,1 space,$214,"$179,900","655 W Irving Park Rd APT 2912, Chicago, IL 60613", No, 1, 1, 1,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 66.7% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-2912-Chicago-IL-60613/65560959_zpid/,,840,$597/mo,
277,Condo,1898,Gas,Central,None,$357,"$324,900","6 N Michigan Ave #1010, Chicago, IL 60602", No, 1, 1, 1,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 12% lower () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/homedetails/6-N-Michigan-Ave-1010-Chicago-IL-60602/2146846006_zpid/,,911,$573/month,
278,Condo,1995,Forced air,Central,1 space,$399,"$599,000","1155 W Armitage Ave APT 209, Chicago, IL 60614", No, 2, 2, 2,"Home values in Ranch Triangle have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ranch Triangle will decrease 3% () in the next year.This home is valued 15.7% lower () than the median home in Ranch Triangle.The median Zestimate for this neighborhood is $710,767.",https://www.zillow.com/homedetails/1155-W-Armitage-Ave-APT-209-Chicago-IL-60614/3736077_zpid/,,"1,500",$628/month,
279,Condo,2001,Forced air,Central,1 space,$348,"$695,000","630 N State St APT 1006, Chicago, IL 60654", No, 3, 2, 2,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will fall 0% () in the next year.This home is valued 78.2% higher () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/630-N-State-St-APT-1006-Chicago-IL-60654/60203185_zpid/,,"2,000","$1,283/month",
280,Condo,2006,Forced air,Central,1 space,No Data,"$399,900","3125 W Fullerton Ave APT 203, Chicago, IL 60647", No, 3, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 0.9% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/3125-W-Fullerton-Ave-APT-203-Chicago-IL-60647/101299993_zpid/,,,$401/month,
281,Condo,2017,Forced air,Central,1 space,$422,"$549,000","1470 W Winona St UNIT 201, Chicago, IL 60640", No, 2, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 80.9% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1470-W-Winona-St-UNIT-201-Chicago-IL-60640/306332656_zpid/,,"1,300",$141/month,
282,Condo,2016,Forced air,Central,1 space,No Data,"$500,000","2312 W Belmont Ave #2E, Chicago, IL 60618", No, 3, 2, 2,"Home values in Roscoe Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Roscoe Village will rise 0.6% () in the next year.This home is valued 34.9% lower () than the median home in Roscoe Village.The median Zestimate for this neighborhood is $768,333.",https://www.zillow.com/homedetails/2312-W-Belmont-Ave-2E-Chicago-IL-60618/253421980_zpid/,,,$227/month,
283,Condo,2015,Gas,Central,1 space,$400,"$799,900","1801 W Chicago Ave #4S, Chicago, IL 60622", No, 3, 2, 2,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% () in the next year.This home is valued 57.6% higher () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1801-W-Chicago-Ave-4S-Chicago-IL-60622/253421108_zpid/,,"2,000",$348/mo,
284,Single Family,1956,Gas,Central,3 spaces,$270,"$295,000","5436 S Nagle Ave, Chicago, IL 60638", No, 3, 2, 2,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will rise 4.1% () in the next year.This home is valued 22.2% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5436-S-Nagle-Ave-Chicago-IL-60638/3920605_zpid/,"5,000 sqft","1,093",,
285,Single Family,1925,Gas,None,2 spaces,$81,"$89,900","7537 S Indiana Ave, Chicago, IL 60619", No, 4, 2, 2,"Home values in Chatham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chatham will decrease 5.4% () in the next year.This home is valued 32.1% lower () than the median home in Chatham.The median Zestimate for this neighborhood is $132,482.",https://www.zillow.com/homedetails/7537-S-Indiana-Ave-Chicago-IL-60619/4005428_zpid/,"6,054 sqft","1,105",,
286,Condo,No Data,Gas,No Data,1 space,$350,"$279,900","1355 N Sandburg Ter #1609, Chicago, IL 60610", No, 1, 1, 1,"Home values in Old Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town will decrease 0.2% () in the next year.This home is valued 29.7% lower () than the median home in Old Town.The median Zestimate for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1355-N-Sandburg-Ter-1609-Chicago-IL-60610/2077646308_zpid/,,800,$707/month,
287,Multi Family,1885,Forced air,No Data,None,No Data,"$219,000","2251 W Cullerton St, Chicago, IL 60608", No, 6, 2, 2,"Home values in Heart of Chicago have risen 0.6% () over the past 12 months.Zillow predicts the home values in Heart of Chicago will fall 7.8% () in the next year.This home is valued 11.9% lower () than the median home in Heart of Chicago.The median Zestimate for this neighborhood is $248,475.",https://www.zillow.com/homedetails/2251-W-Cullerton-St-Chicago-IL-60608/2077646381_zpid/,,,,
